team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,24.0,25.0,26.0,107.0
OB,2724366675,530,1,58,2,1,46.5,42.8,B. Paulsen,166.0,111.0,NaN,NaN,OB vs Roskilde,2024-09-22,46.7,53.6,0.00006891,NaN,NaN,NaN,7.3,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724366735,531,1,58,3,1,46.7,53.6,T. Trybull,166.0,111.0,NaN,NaN,OB vs Roskilde,2024-09-22,58.8,64.9,0.00031751,NaN,NaN,NaN,14.8,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724375709,531,1,65,13,1,27.3,5.0,M. Lysholm,187.0,126.0,NaN,NaN,OB vs Roskilde,2024-09-22,24.2,20.5,0.0000021,NaN,NaN,NaN,11.0,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724366957,532,1,58,5,1,58.8,64.9,M. Ejdum,166.0,111.0,NaN,NaN,OB vs Roskilde,2024-09-22,65.3,66.6,0.0007901,NaN,NaN,NaN,6.9,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724375777,532,1,65,16,1,23.3,22.9,H. Askham,187.0,126.0,NaN,NaN,OB vs Roskilde,2024-09-22,29.3,36.2,0.00000476,NaN,NaN,NaN,11.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724366961,533,1,58,14,0,92.4,74.7,W. Martin,166.0,111.0,NaN,NaN,OB vs Roskilde,2024-09-22,91.2,69.1,NaN,NaN,NaN,NaN,4.0,4.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724375821,533,1,65,20,1,29.7,33.5,N. Halse,187.0,126.0,NaN,NaN,OB vs Roskilde,2024-09-22,31.2,14.5,0.00000491,NaN,NaN,NaN,13.0,4.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724375871,534,1,65,23,1,32.0,9.4,M. Lysholm,187.0,126.0,NaN,NaN,OB vs Roskilde,2024-09-22,26.4,26.8,0.00000353,NaN,NaN,NaN,13.2,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724367237,534,49,58,26,1,17.4,11.9,V. Myhra,168.0,113.0,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724367309,535,1,58,26,0,17.4,11.9,V. Myhra,168.0,113.0,NaN,NaN,OB vs Roskilde,2024-09-22,76.9,26.5,NaN,NaN,NaN,NaN,63.3,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
