contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,16,17,18,20,22,25,26,29,56,61,63,64,65,72,73,74,75,76,77,78,80,81,82,83,84,100,102,103,108,120,139,146,147,153,154,214,215,230,231,233,321,322,323,324,326,327,328,338,374,375,391,395,396,458,468,sequenceId,possessionId,keyPass,140,141,318,210,23,6,9,24,107,60,71,79,89,133,160,280,281,282,353,390,472,113,121,138,273,276,87,101,136,85,275,21,114,314,62,86,28,254,300,19,216,217
b2vft81kyjurzbmekvgrqwr64,Hobro,2717044377,315,15,1,33,51,T. Hansen,e0rgqk3gxzs005m9ok9hvp1ck,1,95.4,56.8,2024-09-02T17:34:23.210,2024-09-04T18:29:48,1.0,"{""id"": 5193012305, ""qualifierId"": 22}",6vxmfx7bfhl9kzqpgldp56e50,Hobro vs B 93,1_Division,2024-09-02,DNK,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.4,1.9,true,NaN,NaN,99.4,51.4,NaN,true,true,NaN,NaN,NaN,331,0.3981054425239563,0.5296749472618103,NaN,NaN,1,1,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2717044943,334,15,1,36,3,M. Kristensen,bp232fgjrfyok2471ec7u1tcl,1,91.5,33.6,2024-09-02T17:36:35.947,2024-09-02T17:37:49,1.0,"{""id"": 5193015689, ""qualifierId"": 103, ""value"": ""19""}",6vxmfx7bfhl9kzqpgldp56e50,Hobro vs B 93,1_Division,2024-09-02,DNK,NaN,NaN,NaN,NaN,true,true,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,true,49.9,19,NaN,NaN,NaN,95.6,41.9,NaN,NaN,NaN,NaN,99.3,47.8,351,0.06778381019830704,0.0,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2717046099,373,15,1,40,22,M. Kristensen,bp232fgjrfyok2471ec7u1tcl,1,78.2,68.7,2024-09-02T17:40:54.713,2024-09-04T18:30:36,1.0,"{""id"": 5193022265, ""qualifierId"": 321, ""value"": ""0.021997665986418724""}",6vxmfx7bfhl9kzqpgldp56e50,Hobro vs B 93,1_Division,2024-09-02,DNK,NaN,NaN,NaN,true,true,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,46.1,3.8,NaN,true,NaN,98.0,53.1,NaN,NaN,NaN,true,NaN,NaN,384,0.021997665986418724,0.5134570002555847,NaN,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2717046827,416,15,1,43,29,O. Addo,kqj7nh6pqmqbt0abyyu0fcpg,1,77.4,54.0,2024-09-02T17:44:01.670,2024-09-02T17:53:56,1.0,"{""id"": 4611686018466889997, ""qualifierId"": 322, ""value"": ""0.0""}",6vxmfx7bfhl9kzqpgldp56e50,Hobro vs B 93,1_Division,2024-09-02,DNK,NaN,NaN,NaN,true,true,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,49.2,19,NaN,NaN,NaN,82.7,52.9,NaN,NaN,NaN,true,98.6,49.6,388,0.025051631033420563,0.0,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2717050991,450,13,2,46,21,M. Kristensen,bp232fgjrfyok2471ec7u1tcl,1,75.7,59.9,2024-09-02T18:02:59.787,2024-09-02T18:04:09,1.0,"{""id"": 5193051149, ""qualifierId"": 56, ""value"": ""Center""}",6vxmfx7bfhl9kzqpgldp56e50,Hobro vs B 93,1_Division,2024-09-02,DNK,NaN,NaN,NaN,true,true,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.5,6.9,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,97.7,52.3,NaN,0.023491883650422096,0.0,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2717054207,546,15,2,57,37,V. Rasmussen,dwuxps3jv2852642q000wep6,1,76.0,49.1,2024-09-02T18:14:16.230,2024-09-04T19:29:41,NaN,"{""id"": 5193068955, ""qualifierId"": 56, ""value"": ""Center""}",6vxmfx7bfhl9kzqpgldp56e50,Hobro vs B 93,1_Division,2024-09-02,DNK,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,47.7,10.8,NaN,NaN,NaN,98.0,50.4,NaN,NaN,NaN,true,NaN,NaN,558,0.022001447156071663,0.05803147330880165,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2717057383,647,15,2,68,53,S. Andreasen,4qyfoq5fjiochtj89w426lm21,1,85.2,57.7,2024-09-02T18:25:32.399,2024-09-04T19:29:45,NaN,"{""id"": 5193087351, ""qualifierId"": 147, ""value"": ""54.5""}",6vxmfx7bfhl9kzqpgldp56e50,Hobro vs B 93,1_Division,2024-09-02,DNK,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,48.8,1.3,NaN,NaN,NaN,94.5,54.5,NaN,NaN,NaN,true,NaN,NaN,657,0.128257155418396,0.2958386540412903,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2717058271,678,15,2,71,51,E. Nnamani,8i0o1b8rjsab9se3v6vteqmfo,1,87.4,36.2,2024-09-02T18:28:30.269,2024-09-04T19:29:56,1.0,"{""id"": 5193092117, ""qualifierId"": 20}",6vxmfx7bfhl9kzqpgldp56e50,Hobro vs B 93,1_Division,2024-09-02,DNK,NaN,NaN,NaN,NaN,true,true,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,51.1,3.2,NaN,NaN,NaN,97.3,44.4,NaN,true,NaN,NaN,NaN,NaN,674,0.10020481795072556,0.2612972855567932,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2717058577,681,13,2,72,52,O. Jakobsen,egnjbmbxkceiygmp2jty4b47o,1,81.1,41.5,2024-09-02T18:29:31.252,2024-09-02T18:30:42,NaN,"{""id"": 5193094105, ""qualifierId"": 103, ""value"": ""6.9""}",6vxmfx7bfhl9kzqpgldp56e50,Hobro vs B 93,1_Division,2024-09-02,DNK,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,41.7,6.9,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.6,49.5,NaN,0.02405327744781971,0.0,NaN,NaN,2,3,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2717060509,733,13,2,79,4,O. Jakobsen,egnjbmbxkceiygmp2jty4b47o,1,75.6,41.5,2024-09-02T18:35:42.760,2024-09-02T18:36:50,1.0,"{""id"": 5193105093, ""qualifierId"": 231, ""value"": ""49.5""}",6vxmfx7bfhl9kzqpgldp56e50,Hobro vs B 93,1_Division,2024-09-02,DNK,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.2,81.9,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,97.7,49.5,NaN,0.02134944684803486,0.0,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
