contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,20,22,23,25,26,28,29,56,62,63,64,72,73,74,75,76,78,79,80,81,82,83,84,100,101,102,103,108,113,114,122,146,147,153,154,160,214,215,230,231,233,280,281,282,321,322,323,324,326,327,328,338,362,374,375,391,395,396,458,468,472,sequenceId,possessionId,keyPass,140,141,318,210,6,9,24,107,61,77,89,133,136,254,300,353,390,60,86,87,484,85,120,121,138,274,65,139
b2vft81kyjurzbmekvgrqwr64,Hobro,2703444785,885,15,2,70,22,F. Christensen,9b89pmcjk6re94bjp0ixeatjo,1,93.1,54.8,2024-07-26T18:28:51.115,2024-07-26T18:57:42,1.0,"{""id"": 5118128737, ""qualifierId"": 78}",5x6tgnddq164y7hxajehmzpjo,Hobro vs Esbjerg,2024-07-26,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,,true,Center,,NaN,,NaN,NaN,NaN,,NaN,true,NaN,NaN,NaN,true,,NaN,true,,50.1,19,NaN,,,,95.1,53.4,NaN,true,NaN,NaN,NaN,99.1,50.7,691,NaN,NaN,NaN,0.10017550736665726,NaN,NaN,NaN,3,2,true,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2703472921,889,13,2,57,46,F. Christensen,9b89pmcjk6re94bjp0ixeatjo,1,91.4,46.9,2024-07-26T18:16:15.115,2024-07-26T20:07:45,1.0,"{""id"": 5118282025, ""qualifierId"": 22}",5x6tgnddq164y7hxajehmzpjo,Hobro vs Esbjerg,2024-07-26,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,,true,Center,,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,true,NaN,,41.0,16.7,NaN,,,,NaN,NaN,NaN,true,NaN,NaN,NaN,98.8,50.5,NaN,NaN,NaN,NaN,0.07600591331720352,NaN,NaN,NaN,3,2,true,NaN,,NaN,NaN,true,,,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2703443387,914,15,2,94,38,N. Strunck,auv81snxkpk2ybxzi8giy5azt,1,84.4,39.1,2024-07-26T18:53:07.320,2024-07-26T20:31:05,1.0,"{""id"": 5118118745, ""qualifierId"": 102, ""value"": ""50.1""}",5x6tgnddq164y7hxajehmzpjo,Hobro vs Esbjerg,2024-07-26,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,,true,Center,,NaN,,NaN,NaN,NaN,,NaN,true,NaN,NaN,NaN,true,,NaN,NaN,,50.1,19,NaN,,,,86.3,40.4,NaN,true,NaN,NaN,NaN,99.4,48.6,876,NaN,NaN,NaN,0.03744250163435936,NaN,NaN,NaN,3,2,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2705193313,19,16,1,0,51,J. Rothmann,e2aqcawslcbpp88nia8eko2y1,1,83.0,72.6,2024-08-02T17:02:22.978,2024-08-02T17:03:36,1.0,"{""id"": 5134198081, ""qualifierId"": 396, ""value"": ""51.3""}",5zftcocb0ir7a5my41uqv6bdg,Hobro vs HB Køge,2024-08-02,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,,true,Center,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,45.8,5.7,NaN,,,,NaN,NaN,NaN,NaN,,NaN,true,99.5,52.3,NaN,,,,0.027042265981435776,0.6049941182136536,,,2,2,NaN,,,2024-08-02 18:02:21.565,00:49.830,,99.0,51.3,NaN,,,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,,true,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2705194915,50,15,1,5,41,F. Christensen,9b89pmcjk6re94bjp0ixeatjo,1,89.8,59.3,2024-08-02T17:07:13.304,2024-08-02T17:33:24,1.0,"{""id"": 5127837865, ""qualifierId"": 22}",5zftcocb0ir7a5my41uqv6bdg,Hobro vs HB Køge,2024-08-02,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,,true,Center,,,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,true,,53.6,19,NaN,,,,96.4,55.6,NaN,true,,NaN,NaN,99.7,51.3,69,,,,0.06927710026502609,0.0,,,3,2,true,,,NaN,NaN,,NaN,NaN,NaN,,,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,,NaN,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2705194725,67,13,1,5,0,C. Jensen,74m58jsznzu8l89b8h7rkh1bd,1,88.2,47.9,2024-08-02T17:06:32.352,2024-08-02T17:07:51,NaN,"{""id"": 5127836635, ""qualifierId"": 17}",5zftcocb0ir7a5my41uqv6bdg,Hobro vs HB Køge,2024-08-02,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,,NaN,Center,,,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,59.3,27.8,true,,,,NaN,NaN,NaN,NaN,,NaN,NaN,98.4,50.5,NaN,,,,0.09389009326696396,0.0,,,2,2,true,,,NaN,NaN,,NaN,NaN,true,,,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,,NaN,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2705197427,123,15,1,12,45,M. Kristensen,bp232fgjrfyok2471ec7u1tcl,1,75.3,67.7,2024-08-02T17:14:17.524,2024-08-02T20:01:59,1.0,"{""id"": 5127851853, ""qualifierId"": 22}",5zftcocb0ir7a5my41uqv6bdg,Hobro vs HB Køge,2024-08-02,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,,true,Center,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,52.3,29.1,NaN,,,,98.5,48.9,NaN,NaN,,NaN,true,NaN,NaN,130,,,,0.020432962104678154,0.2154652327299118,,,2,2,NaN,,,NaN,NaN,,NaN,NaN,NaN,,,,,,,,,,,,NaN,,NaN,true,NaN,NaN,,,NaN,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2705197703,129,15,1,13,25,J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,1,93.4,44.6,2024-08-02T17:14:57.760,2024-08-02T20:02:01,1.0,"{""id"": 5127853429, ""qualifierId"": 326, ""value"": ""2""}",5zftcocb0ir7a5my41uqv6bdg,Hobro vs HB Køge,2024-08-02,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,,true,Center,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,46.4,20.3,NaN,,,,99.7,47.5,NaN,true,,NaN,NaN,NaN,NaN,134,,,,0.11456023156642914,0.3770042061805725,,,2,2,true,,,NaN,NaN,,NaN,NaN,NaN,,,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,,NaN,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2705198213,151,15,1,15,14,M. Jakobsen,5nved2kta2hk8103hkyhq33hm,1,67.7,62.7,2024-08-02T17:16:46.142,2024-08-02T17:48:23,1.0,"{""id"": 5127856439, ""qualifierId"": 327, ""value"": ""3""}",5zftcocb0ir7a5my41uqv6bdg,Hobro vs HB Køge,2024-08-02,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,,true,Center,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,,46.9,19,NaN,,,,84.1,54.7,NaN,NaN,,NaN,true,98.8,50.2,412,,,,0.011169901117682457,0.0,,,2,3,NaN,,,NaN,NaN,,NaN,NaN,NaN,,,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,,NaN,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2705199255,152,15,1,18,19,Z. Hyltoft,b0yv1pcxifawqx6r1cfqq3otm,1,76.8,64.4,2024-08-02T17:19:51.350,2024-08-05T14:29:25,NaN,"{""id"": 5127862491, ""qualifierId"": 20}",5zftcocb0ir7a5my41uqv6bdg,Hobro vs HB Køge,2024-08-02,NaN,NaN,NaN,true,true,NaN,NaN,true,NaN,,NaN,Center,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,,51.5,22.8,true,,,,98.6,50.2,NaN,NaN,,NaN,true,NaN,NaN,186,,,,0.018751826137304306,0.052802152931690216,,,1,3,NaN,,,NaN,NaN,,NaN,NaN,true,,,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,,NaN,,,,,,,,,,,,,
