contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,outcome,x,y,playerId,playerName,possessionValue.pvValue,possessionValue.pvAdded,assist,keyPass,label,match_id,date
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841721,22,5,1,1,54,1,86.7,-2.0,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841761,23,1,1,2,5,1,87.1,0.0,duahzgqspyuy2gu31u3s8ky96,M. Lassen,0.008386,0.0075973,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841773,24,1,1,2,6,1,87.4,6.8,11cna826ls27ahux2w0ckapqt,K. Kusk,0.0092504,0.0008644,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841779,25,1,1,2,8,1,89.0,1.9,duahzgqspyuy2gu31u3s8ky96,M. Lassen,0.0083183,-0.0009321,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841783,26,1,1,2,9,0,79.2,6.5,11cna826ls27ahux2w0ckapqt,K. Kusk,0.0045923,-0.003726,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841813,27,61,1,2,17,0,37.4,65.8,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,0.0013293,0.0,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841839,28,83,1,2,19,0,38.5,62.3,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841873,29,10,1,2,24,1,8.3,41.5,18vvlxsaoloypja4fdddj687o,O. Jebali,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841885,30,5,1,2,27,0,5.4,-1.4,18vvlxsaoloypja4fdddj687o,O. Jebali,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841947,31,12,1,2,46,1,9.5,45.4,18vvlxsaoloypja4fdddj687o,O. Jebali,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841955,32,44,1,2,48,1,30.2,29.4,11cna826ls27ahux2w0ckapqt,K. Kusk,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841963,33,1,1,2,49,1,31.5,30.9,11cna826ls27ahux2w0ckapqt,K. Kusk,0.0008025,0.000339,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841965,34,49,1,2,52,1,34.1,29.5,139g7ilwvcpl519v3scnweg2d,L. Jensen,0.0025792,0.0017767,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841981,35,1,1,2,52,1,32.3,32.5,139g7ilwvcpl519v3scnweg2d,L. Jensen,0.000485,-0.0020942,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841991,36,1,1,2,57,1,37.2,81.7,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,0.003016,0.002531,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841997,37,61,1,3,1,1,59.0,73.9,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842011,38,1,1,3,4,1,68.7,83.3,11cna826ls27ahux2w0ckapqt,K. Kusk,0.008386,0.00537,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842021,39,1,1,3,6,1,87.4,94.2,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,0.0188165,0.0104305,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842037,40,2,1,3,9,1,78.2,90.8,11cna826ls27ahux2w0ckapqt,K. Kusk,0.0258083,-0.0188165,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842149,41,1,1,3,46,1,31.9,77.0,18vvlxsaoloypja4fdddj687o,O. Jebali,0.0008548,0.0008548,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
