team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,210.0,213.0,22.0,23.0,6.0,9.0,24.0,25.0,26.0,107.0
Vendsyssel,2701841599,13,49,1,32,1,68.2,32.7,L. Jensen,6.0,6.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701841415,13,4,0,40,0,31.3,10.4,M. Juhl,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701841509,14,5,1,1,1,-0.8,61.8,M. Brylov,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701841607,14,1,1,32,1,68.2,32.7,L. Jensen,6.0,6.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,58.2,34.9,0.00044364,NaN,NaN,3.0,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701841613,15,1,1,33,1,58.4,34.8,A. Simon Okosun,6.0,6.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,86.0,8.8,0.00163099,NaN,NaN,5.7,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701841555,15,1,1,18,1,3.7,53.3,M. Brylov,5.0,5.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,4.1,27.7,0.00000045,NaN,NaN,4.7,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701841619,16,1,1,35,0,87.5,8.9,M. Lassen,6.0,6.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,89.3,40.4,NaN,NaN,NaN,1.5,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701841565,16,1,1,23,0,6.3,29.5,V. Montell,5.0,5.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,42.6,23.9,NaN,NaN,NaN,6.2,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701841633,17,5,1,39,1,75.0,-2.0,M. Lassen,NaN,6.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701841637,17,12,1,36,1,9.6,63.6,O. Skolnik,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,27.4,102.0,NaN,NaN,NaN,0.9,NaN,NaN,NaN,,NaN,NaN,,NaN
