contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,17,18,19,20,21,22,23,24,25,29,56,60,63,64,72,73,74,75,76,77,78,80,81,82,83,102,103,108,114,136,146,147,153,154,160,214,215,230,231,233,276,321,322,323,326,327,328,338,374,375,391,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,6,9,26,107,16,62,84,85,87,100,138,139,216,217,274,324
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701877675,832,16,2,86,25,M. Hannesbo,7ar33yy0wd5ah5o8om1l12pgq,1,90.2,49.7,2024-07-19T18:43:29.577,2024-07-22T12:09:39,1.0,"{""id"": 5109279465, ""qualifierId"": 22}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,true,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,49.1,8.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.6,50.7,NaN,NaN,0.1410718560218811,0.0351,NaN,1,1,true,NaN,2024-07-19 19:43:28.959,86:25.070,NaN,98.6,52.2,NaN,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701880323,877,16,2,92,20,A. Simon Okosun,a7eramyy1bd8msxmg84ctc8ut,1,91.4,41.5,2024-07-19T18:49:24.199,2024-07-22T12:09:33,1.0,"{""id"": 5109295613, ""qualifierId"": 102, ""value"": ""46.6""}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,NaN,true,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,46.6,25.9,NaN,NaN,true,NaN,NaN,NaN,true,NaN,true,NaN,98.6,48.6,NaN,NaN,0.09450260549783707,0.81,NaN,3,2,NaN,NaN,2024-07-19 19:49:23.556,92:19.667,NaN,99.0,46.8,NaN,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2703624115,8,13,1,0,38,L. Steffensen,9l89n30nejpn2u22ygvchwnze,1,96.5,39.8,2024-07-27T12:01:36.572,2024-07-27T12:06:36,1.0,"{""id"": 5119110835, ""qualifierId"": 60}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,NaN,NaN,,true,NaN,NaN,NaN,,true,true,Center,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,41.5,11.1,true,,,NaN,NaN,NaN,true,NaN,NaN,NaN,98.9,48.6,NaN,,0.06683410704135895,NaN,NaN,3,2,true,NaN,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2703624471,30,15,1,2,35,K. Kusk,11cna826ls27ahux2w0ckapqt,1,82.2,35.2,2024-07-27T12:03:33.756,2024-07-27T15:17:46,NaN,"{""id"": 5119112671, ""qualifierId"": 56, ""value"": ""Center""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,NaN,true,,NaN,NaN,true,NaN,,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,,51.2,19,NaN,,,90.8,43.0,NaN,NaN,NaN,NaN,true,98.4,46.4,31,,0.05476811155676842,NaN,NaN,2,3,NaN,NaN,NaN,NaN,,,,true,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2703624733,47,13,1,3,49,A. Bøndergaard,9jqox80arzpytv1b136jobhpm,1,84.5,33.7,2024-07-27T12:04:48.138,2024-07-27T12:27:03,1.0,"{""id"": 5119114041, ""qualifierId"": 56, ""value"": ""Center""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,NaN,NaN,,true,NaN,true,NaN,,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,42.7,54.2,true,,,NaN,NaN,NaN,NaN,NaN,NaN,true,98.6,48.2,NaN,,0.02704623155295849,NaN,NaN,2,2,true,NaN,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2703625229,73,15,1,5,53,K. Kusk,11cna826ls27ahux2w0ckapqt,1,74.0,49.5,2024-07-27T12:06:51.945,2024-07-27T15:17:48,NaN,"{""id"": 5119116721, ""qualifierId"": 72}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,NaN,true,,NaN,NaN,true,NaN,,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,,52.6,19,NaN,,,87.5,51.1,NaN,NaN,NaN,NaN,true,97.8,50,69,,0.025422604754567146,NaN,NaN,2,2,NaN,NaN,NaN,NaN,,,,true,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2703626937,140,15,1,14,28,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,90.0,60.8,2024-07-27T12:15:26.971,2024-07-27T13:02:29,1.0,"{""id"": 5119176545, ""qualifierId"": 146, ""value"": ""92.0""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,true,NaN,,NaN,NaN,true,NaN,,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,,54.7,19,NaN,,,92.0,59.6,NaN,true,NaN,NaN,NaN,98.8,51.8,145,,0.14395388960838318,NaN,NaN,2,2,NaN,NaN,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2703626847,142,13,1,13,52,G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,1,74.9,61.7,2024-07-27T12:14:50.398,2024-07-27T12:16:01,1.0,"{""id"": 5119125795, ""qualifierId"": 230, ""value"": ""98.9""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,NaN,true,,NaN,NaN,true,NaN,,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,,40.0,15.3,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,true,98.9,50.4,NaN,,0.024013957008719444,NaN,NaN,2,2,NaN,NaN,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2703628767,240,15,1,24,28,J. Lindekilde,23sc7wc7my7wes6cuaxw1v0no,1,86.8,44.0,2024-07-27T12:25:26.521,2024-07-27T12:27:14,1.0,"{""id"": 5119136643, ""qualifierId"": 17}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,true,NaN,,true,NaN,true,NaN,,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,,52.6,19,NaN,,,91.9,47.3,NaN,NaN,NaN,NaN,true,98.2,50,213,,0.14449170231819153,NaN,NaN,2,2,NaN,NaN,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2703629815,271,15,1,31,29,K. Kusk,11cna826ls27ahux2w0ckapqt,1,81.3,50.1,2024-07-27T12:32:27.266,2024-07-27T15:17:50,1.0,"{""id"": 5119205469, ""qualifierId"": 102, ""value"": ""52.3""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,NaN,true,,NaN,NaN,true,NaN,,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,52.3,3.2,NaN,,,98.6,49.6,NaN,NaN,NaN,NaN,true,NaN,NaN,286,,0.07991847395896912,0.1235,NaN,2,2,NaN,NaN,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
