contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,date,9,15,17,18,20,22,23,25,26,29,56,60,62,63,64,68,72,73,74,75,76,77,78,80,81,82,83,84,100,101,102,103,108,120,139,146,147,153,154,214,215,230,231,233,280,281,282,321,322,324,326,327,328,353,374,375,390,391,395,396,458,472,sequenceId,possessionId,keyPass,140,141,318,210,6,24,107,16,66,79,160
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2701863123,532,13,2,52,14,L. Qamili,3ejggtt1du1cui3wc1f8oqx62,1,87.4,28.0,2024-07-19T18:10:29.800,2024-07-20T19:29:28,"{""id"": 5110988385, ""qualifierId"": 215}",1.0,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,58.5,18.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,97.8,45.8,NaN,NaN,NaN,NaN,0.020271753892302513,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2701863957,548,13,2,53,51,A. Smed,dncrhma6gwcn6pxiu7hfc6qz8,1,78.4,64.4,2024-07-19T18:12:07.580,2024-07-20T20:29:25,"{""id"": 5109200289, ""qualifierId"": 327, ""value"": ""2""}",1.0,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,43.4,37.5,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,97.6,51.4,NaN,NaN,NaN,NaN,0.029515432193875313,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2701864557,558,14,2,55,21,S. Makienok,5e5fuj7mbkpvf0bug32ixxc5x,1,90.1,53.0,2024-07-19T18:13:37.127,2024-07-20T20:29:18,"{""id"": 5109204141, ""qualifierId"": 15}",1.0,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,NaN,true,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.2,39.9,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.8,49.6,NaN,NaN,NaN,NaN,0.07308035343885422,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2701865137,575,15,2,57,1,A. Smed,dncrhma6gwcn6pxiu7hfc6qz8,1,85.0,56.0,2024-07-19T18:15:17.487,2024-07-20T20:29:15,"{""id"": 5109207893, ""qualifierId"": 321, ""value"": ""0.06302174180746078""}",1.0,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.8,13.3,NaN,NaN,NaN,96.2,51.8,NaN,NaN,NaN,true,NaN,NaN,436,NaN,NaN,NaN,0.06302174180746078,0.2516,true,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2701865671,586,13,2,58,20,M. Fredslund,45dqseup0cmujyl4nprr29y0a,1,91.2,67.3,2024-07-19T18:16:35.992,2024-07-20T20:29:16,"{""id"": 5109210509, ""qualifierId"": 64}",1.0,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.6,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.9,54.2,NaN,NaN,NaN,NaN,0.05521627143025398,NaN,true,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2701866677,600,13,2,58,11,M. Olsen,dshwz1df0rbe0fztksawvd0wl,1,94.6,43.4,2024-07-19T18:16:26.929,2024-07-20T20:29:13,"{""id"": 5109216991, ""qualifierId"": 328}",1.0,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.5,33.3,NaN,NaN,NaN,94.6,53.3,true,true,NaN,NaN,99.7,47.3,NaN,NaN,NaN,NaN,0.10165396332740784,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2701877199,614,15,2,84,26,S. Jalaei,e0u730to91qqtvvx16uhajz10,1,89.8,62.2,2024-07-19T18:42:42.506,2024-07-20T21:29:13,"{""id"": 5109277221, ""qualifierId"": 322, ""value"": ""0.0314""}",1.0,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.6,11.4,NaN,NaN,NaN,98.2,53.6,NaN,true,NaN,true,NaN,NaN,796,NaN,NaN,NaN,0.0716925710439682,0.0314,true,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2701870425,689,13,2,69,29,C. Jakobsen,9r07ooissj5mz15g87x5rmbx1,1,93.3,42.5,2024-07-19T18:27:45.289,2024-07-20T20:29:23,"{""id"": 5109243071, ""qualifierId"": 102, ""value"": ""65.7""}",1.0,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,NaN,true,true,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.7,48.6,NaN,NaN,NaN,97.6,57.6,true,true,NaN,NaN,99.7,47.5,NaN,NaN,NaN,NaN,0.049998968839645386,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2701871153,712,13,2,71,20,J. Adjei-Broni,1cumsropo1r0msfzxxteml1w,1,81.8,62.4,2024-07-19T18:29:36.730,2024-07-20T20:29:21,"{""id"": 5109242341, ""qualifierId"": 103, ""value"": ""1.4""}",1.0,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.4,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.2,52.0,NaN,NaN,NaN,NaN,0.028109261766076088,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2701874757,768,15,2,79,6,S. Makienok,5e5fuj7mbkpvf0bug32ixxc5x,1,96.8,41.9,2024-07-19T18:37:21.864,2024-07-20T21:29:14,"{""id"": 5109271269, ""qualifierId"": 103, ""value"": ""19""}",1.0,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,true,47.7,19,NaN,NaN,NaN,98.0,44.0,NaN,true,true,NaN,96.9,48.6,583,NaN,NaN,NaN,0.11527976393699646,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
