team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,210.0,213.0,22.0,23.0,6.0,9.0,24.0,25.0,26.0,107.0
Hvidovre,2714948201,74,1,7,25,0,41.7,31.2,M. Olsen,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,44.4,33.1,NaN,NaN,NaN,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Horsens,2714947105,74,5,5,45,0,81.4,101.2,O. Kolskogen,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hvidovre,2714948223,75,4,7,27,0,41.9,38.7,M. Olsen,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Horsens,2714947475,75,83,6,25,0,24.0,84.5,C. Tapé,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hvidovre,2714948475,76,1,7,59,1,22.5,72.7,N. Clausen,32.0,19.0,NaN,NaN,Hvidovre vs Horsens,2024-08-30,29.4,72.3,0.00000328,NaN,NaN,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Horsens,2714947517,76,45,6,29,0,24.2,92.4,A. Herdonsson,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Horsens,2714947539,77,43,6,31,1,0.0,0.0,C. Tapé,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hvidovre,2714948479,77,1,8,1,0,27.3,81.4,M. Knudsen,32.0,19.0,NaN,NaN,Hvidovre vs Horsens,2024-08-30,19.9,100.8,NaN,NaN,NaN,2.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Horsens,2714947613,78,3,6,34,0,14.1,89.9,A. Herdonsson,26.0,16.0,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hvidovre,2714948485,78,5,8,3,0,21.8,101.2,M. Knudsen,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Horsens,2714947619,79,61,6,36,1,8.8,92.6,A. Herdonsson,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hvidovre,2714948613,79,43,8,18,1,0.0,0.0,N. Clausen,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Horsens,2714947639,80,5,6,37,0,13.1,101.4,A. Herdonsson,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hvidovre,2714948667,80,7,8,16,1,15.6,87.5,D. Stenderup,34.0,21.0,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hvidovre,2714948705,81,1,8,21,0,19.5,91.8,D. Stenderup,34.0,21.0,NaN,NaN,Hvidovre vs Horsens,2024-08-30,-0.5,89.7,NaN,NaN,NaN,3.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Horsens,2714947959,81,44,7,1,1,12.0,68.2,C. Tapé,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Horsens,2714947987,82,12,7,2,1,12.3,64.2,C. Tapé,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,13.2,64.6,NaN,NaN,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hvidovre,2714948709,82,6,8,22,0,5.1,89.9,J. Singh,NaN,NaN,NaN,NaN,Hvidovre vs Horsens,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
