sequence_id,receiver_Uuid,receiver_name,receiver_position,game_id,match_id,team_name,period,poss_player_Uuid,poss_player_name,poss_player_position,deep_run_opportunity,deep_run,pass_received,Low base,High base,Width,Pocket,num_teammates_in_box,poss_in_assist_zone,option_between_lines,time_on_ball,gameclock_first,gameclock_last,timemin_first,timemin_last,timesec_first,timesec_last,possessor_x,possessor_y,receiver_x,receiver_y,local_date,description
2,ef7l91pb4w6yk7lijxjxlievp,M. Greve,CB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,19gornjqd7f2ugeg8mg0gs4q,J. Linnet,RB,False,False,False,False,False,False,False,0,False,False,False,7.8,7.92,0,0,7,7,-18.87,28.83,9.67,14.25,2025-07-19,Hillerød vs Middelfart
3,19gornjqd7f2ugeg8mg0gs4q,J. Linnet,RB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,False,False,False,False,False,False,False,0,False,False,False,18.4,18.76,0,0,18,18,-1.58,22.79,4.28,32.09,2025-07-19,Hillerød vs Middelfart
3,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,False,False,True,False,False,False,False,0,False,False,False,18.4,18.76,0,0,18,18,-1.58,22.79,3.33,26.85,2025-07-19,Hillerød vs Middelfart
3,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,False,False,True,False,False,False,False,0,False,False,False,18.4,18.76,0,0,18,18,-1.58,22.79,8.15,23.6,2025-07-19,Hillerød vs Middelfart
3,4bkqvwlmbwul0s8lbbq6mifp,S. Reese,LCB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,False,False,False,False,False,False,False,0,False,False,False,18.4,18.76,0,0,18,18,-1.58,22.79,14.57,14.43,2025-07-19,Hillerød vs Middelfart
3,6j52ab9vnkhef31151cmjywnp,M. Boesen,ST,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,False,False,False,False,False,False,False,0,False,False,False,18.4,18.76,0,0,18,18,-1.58,22.79,-12.33,22.84,2025-07-19,Hillerød vs Middelfart
3,846p691upy8hsw0pgteb6ktuc,N. Rasmussen,LB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,False,False,False,False,False,False,False,0,False,False,False,18.4,18.76,0,0,18,18,-1.58,22.79,9.98,0.35,2025-07-19,Hillerød vs Middelfart
3,8i16xur310p25unjt0zjrluj9,C. Radza,GK,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,False,False,False,False,False,False,False,0,False,False,False,18.4,18.76,0,0,18,18,-1.58,22.79,37.98,5.4,2025-07-19,Hillerød vs Middelfart
3,8pit4oud8sym57oc8m0f3j8ix,R. Kakeeto,LCM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,False,False,False,False,False,False,False,0,False,True,False,18.4,18.76,0,0,18,18,-1.58,22.79,-2.5,16.21,2025-07-19,Hillerød vs Middelfart
3,a5ah5r5vl0pjgt655lc5qqvop,B. Bytyqi,LM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,False,False,False,False,False,False,False,0,False,False,False,18.4,18.76,0,0,18,18,-1.58,22.79,-1.27,26.28,2025-07-19,Hillerød vs Middelfart
