contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,league_name,date,country,15,17,18,20,22,23,25,26,29,56,62,63,64,65,72,74,76,77,78,79,80,81,82,83,84,87,89,100,101,102,103,108,120,121,136,138,146,147,154,160,214,215,230,231,233,254,274,300,321,322,324,326,327,328,374,375,458,468,sequenceId,possessionId,keyPass,140,141,318,210,6,9,24,107,16,61,68,73,75,85,153,216,217,276,280,281,282,395,396,472,391,60,66,113,114,133,139,323,338,86,353,390,273,19,21,275,314
a9vw7ikerpr4cuweeeka5aneg,Horsens,2726906423,219,13,1,19,47,O. Kjærgaard,cl4xl80n4gew1ox03r3ooshrd,1,71.7,51.9,2024-09-28T13:21:13.450,2024-09-28T13:22:22,"{""id"": 4611686018467555043, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,6iskr131jnlg9wrrp9he75qtw,Horsens vs Hobro,1_Division,2024-09-28,DNK,NaN,NaN,true,NaN,true,NaN,NaN,,true,Center,,NaN,NaN,,true,true,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,,,NaN,NaN,51.4,73.6,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,true,96.5,50.9,NaN,,,,0.024357326328754425,0.0,NaN,1,2,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,,,,NaN,NaN,NaN,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2726907999,230,13,1,21,2,O. Kjærgaard,cl4xl80n4gew1ox03r3ooshrd,1,85.3,50.6,2024-09-28T13:22:28.250,2024-09-28T13:23:35,"{""id"": 5247114721, ""qualifierId"": 328}",NaN,6iskr131jnlg9wrrp9he75qtw,Horsens vs Hobro,1_Division,2024-09-28,DNK,NaN,true,NaN,true,NaN,true,NaN,,NaN,Center,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,,,NaN,NaN,49.1,56.9,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96.7,50.2,NaN,,,,0.2202582061290741,0.0,NaN,1,3,true,NaN,NaN,true,NaN,,,,,,,,,,NaN,,NaN,,,NaN,NaN,true,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,,,,NaN,NaN,NaN,
b2vft81kyjurzbmekvgrqwr64,Hobro,2726914441,238,15,1,26,53,Z. Hyltoft,b0yv1pcxifawqx6r1cfqq3otm,1,75.6,53.0,2024-09-28T13:28:19.817,2024-10-01T10:30:55,"{""id"": 5247151717, ""qualifierId"": 233, ""value"": ""268""}",1.0,6iskr131jnlg9wrrp9he75qtw,Horsens vs Hobro,1_Division,2024-09-28,DNK,NaN,NaN,true,true,true,NaN,NaN,,true,Center,,NaN,NaN,,NaN,NaN,true,,NaN,NaN,,NaN,NaN,NaN,NaN,,,NaN,NaN,52.6,8.9,NaN,,,,NaN,95.5,52.7,true,NaN,NaN,NaN,NaN,NaN,268,,,,0.03665168955922127,0.04414130374789238,NaN,2,2,true,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,,,,NaN,NaN,NaN,
b2vft81kyjurzbmekvgrqwr64,Hobro,2726915027,243,13,1,27,39,M. Kristensen,bp232fgjrfyok2471ec7u1tcl,1,79.3,67.9,2024-09-28T13:29:05.305,2024-09-28T13:35:04,"{""id"": 5247153921, ""qualifierId"": 327, ""value"": ""2""}",1.0,6iskr131jnlg9wrrp9he75qtw,Horsens vs Hobro,1_Division,2024-09-28,DNK,NaN,NaN,true,true,NaN,NaN,true,,true,Center,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,true,NaN,NaN,NaN,,,NaN,NaN,41.8,76.4,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,true,96.3,52.7,NaN,,,,0.01484238263219595,0.0,NaN,2,2,true,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,,,,NaN,NaN,NaN,
b2vft81kyjurzbmekvgrqwr64,Hobro,2726917683,265,15,1,30,14,F. Dietz,ebd3uvtt54wkdsahc2127j02c,1,88.4,56.0,2024-09-28T13:31:40.762,2024-09-28T13:36:24,"{""id"": 4611686018467556707, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,6iskr131jnlg9wrrp9he75qtw,Horsens vs Hobro,1_Division,2024-09-28,DNK,true,true,NaN,NaN,NaN,NaN,true,,true,Center,,NaN,NaN,,NaN,NaN,NaN,,true,NaN,,NaN,true,NaN,NaN,,,true,NaN,51.1,19,NaN,,,,NaN,94.9,53.3,true,NaN,NaN,NaN,99.3,50,297,,,,0.015634730458259583,0.0,NaN,3,2,true,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,,,,NaN,NaN,NaN,
b2vft81kyjurzbmekvgrqwr64,Hobro,2726923057,308,15,1,34,30,S. Andreasen,4qyfoq5fjiochtj89w426lm21,1,95.2,37.0,2024-09-28T13:35:56.427,2024-09-28T13:45:24,"{""id"": 5247235241, ""qualifierId"": 29}",1.0,6iskr131jnlg9wrrp9he75qtw,Horsens vs Hobro,1_Division,2024-09-28,DNK,NaN,NaN,NaN,true,true,NaN,NaN,,true,Center,,NaN,NaN,,NaN,NaN,true,,NaN,NaN,,NaN,true,NaN,NaN,,,true,NaN,51.9,11.1,NaN,,,,NaN,97.8,43.5,true,NaN,NaN,NaN,98.5,49.8,334,,,,0.08069562911987305,0.0,NaN,3,2,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,,true,,,,,,,,,,,,NaN,NaN,NaN,
b2vft81kyjurzbmekvgrqwr64,Hobro,2726923155,309,13,1,34,33,M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,1,93.0,40.1,2024-09-28T13:35:59.211,2024-09-28T13:45:59,"{""id"": 4611686018467558397, ""qualifierId"": 322, ""value"": ""0.0""}",NaN,6iskr131jnlg9wrrp9he75qtw,Horsens vs Hobro,1_Division,2024-09-28,DNK,NaN,true,NaN,true,true,NaN,NaN,,NaN,Center,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,,,NaN,NaN,67.4,16.7,NaN,,,,NaN,98.1,59.6,NaN,NaN,NaN,true,98.5,49.6,NaN,,,,0.1845349669456482,0.0,NaN,2,2,NaN,NaN,NaN,true,NaN,,,,,,,,,,NaN,,NaN,,,true,NaN,NaN,true,,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,,,,NaN,NaN,NaN,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2726919051,310,15,1,31,18,E. Frederiksen,6k7khwtkxpem9z17bl5rrf2p6,1,66.2,29.7,2024-09-28T13:32:44.383,2024-09-28T13:36:40,"{""id"": 5247174899, ""qualifierId"": 56, ""value"": ""Center""}",1.0,6iskr131jnlg9wrrp9he75qtw,Horsens vs Hobro,1_Division,2024-09-28,DNK,NaN,NaN,NaN,NaN,true,NaN,NaN,,true,Center,,NaN,NaN,,true,NaN,NaN,,true,NaN,,NaN,NaN,NaN,NaN,,,NaN,NaN,49.7,5.1,NaN,,,,NaN,98.2,48.9,NaN,NaN,NaN,true,NaN,NaN,276,,,,0.01577642932534218,0.010128135792911053,NaN,1,2,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,,,,true,NaN,NaN,
b2vft81kyjurzbmekvgrqwr64,Hobro,2726925061,328,13,1,36,2,S. Andreasen,4qyfoq5fjiochtj89w426lm21,1,87.0,55.6,2024-09-28T13:37:28.635,2024-09-28T13:41:15,"{""id"": 5247205915, ""qualifierId"": 17}",1.0,6iskr131jnlg9wrrp9he75qtw,Horsens vs Hobro,1_Division,2024-09-28,DNK,true,true,NaN,NaN,true,NaN,NaN,,true,Center,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,,,NaN,NaN,40.7,27.8,NaN,,,,NaN,NaN,NaN,true,NaN,NaN,NaN,97.7,49.6,NaN,,,,0.025242002680897713,0.0,NaN,3,2,true,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,,,NaN,true,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,,,,NaN,NaN,NaN,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2726928573,374,15,1,39,13,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,78.4,49.1,2024-09-28T13:40:39.524,2024-10-01T11:04:04,"{""id"": 5247224315, ""qualifierId"": 18}",1.0,6iskr131jnlg9wrrp9he75qtw,Horsens vs Hobro,1_Division,2024-09-28,DNK,NaN,NaN,true,NaN,true,NaN,NaN,,true,Center,,NaN,NaN,,true,NaN,NaN,,true,NaN,,NaN,NaN,NaN,NaN,,,NaN,NaN,48.2,7.0,NaN,,,,NaN,97.7,49.1,NaN,NaN,NaN,true,NaN,NaN,352,,,,0.04723994433879852,0.03442544490098953,NaN,2,2,true,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,,,NaN,NaN,NaN,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,,,,NaN,NaN,NaN,
