team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,210.0,213.0,22.0,23.0,6.0,9.0,24.0,25.0,26.0,107.0
Hillerød,2703431355,597,1,73,22,1,53.0,55.4,J. Witt,236.0,141.0,NaN,NaN,Horsens vs Hillerød,2024-07-26,76.1,86.2,0.00124531,NaN,NaN,0.7,NaN,,NaN,,NaN,NaN,NaN,NaN
Horsens,2703429403,597,4,68,36,0,67.6,84.0,M. Larsen,NaN,NaN,NaN,NaN,Horsens vs Hillerød,2024-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN
Hillerød,2703431361,598,1,73,25,0,77.4,86.2,L. Bøje-Larsen,236.0,141.0,NaN,NaN,Horsens vs Hillerød,2024-07-26,85.7,80.4,NaN,NaN,NaN,5.9,NaN,,NaN,,NaN,NaN,NaN,NaN
Horsens,2703429741,598,74,69,19,1,29.6,48.2,O. Kolskogen,228.0,138.0,NaN,NaN,Horsens vs Hillerød,2024-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN
Horsens,2703429785,599,1,69,23,0,21.8,18.0,M. Kallesøe,229.0,138.0,NaN,NaN,Horsens vs Hillerød,2024-07-26,27.6,13.5,NaN,NaN,NaN,5.8,NaN,,NaN,,NaN,NaN,NaN,NaN
Hillerød,2703431379,599,61,73,32,1,86.6,94.8,A. Justinussen,NaN,NaN,NaN,NaN,Horsens vs Hillerød,2024-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN
Hillerød,2703431399,600,1,73,32,1,81.3,91.8,G. Arndal-Lauritzen,238.0,143.0,NaN,NaN,Horsens vs Hillerød,2024-07-26,71.2,80.7,0.00105483,NaN,NaN,3.8,NaN,,NaN,,NaN,NaN,NaN,NaN
Horsens,2703430119,600,5,69,46,1,37.6,101.6,M. Kallesøe,NaN,NaN,NaN,NaN,Horsens vs Hillerød,2024-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN
Hillerød,2703431413,601,1,73,33,1,71.2,80.7,A. Alicino,238.0,143.0,NaN,NaN,Horsens vs Hillerød,2024-07-26,79.6,81.7,0.00200452,NaN,NaN,0.1,NaN,,NaN,,NaN,NaN,NaN,NaN
Horsens,2703430125,601,27,70,0,1,34.4,102.0,NaN,NaN,NaN,NaN,NaN,Horsens vs Hillerød,2024-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN
