team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,24.0,25.0,26.0,107.0
Hillerød,2725047805,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,Hillerød vs Fredericia,2024-09-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
Fredericia,2725051485,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,Hillerød vs Fredericia,2024-09-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
Hillerød,2725066443,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Hillerød vs Fredericia,2024-09-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
Fredericia,2725066425,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Hillerød vs Fredericia,2024-09-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
Fredericia,2725066463,3,1,0,0,1,49.7,49.1,A. Bøndergaard,1.0,1.0,NaN,NaN,Hillerød vs Fredericia,2024-09-23,31.9,51.3,0.00001536,NaN,NaN,18.7,3.1,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
Hillerød,2725066557,3,7,0,11,0,55.3,49.7,M. Etim,2.0,2.0,NaN,NaN,Hillerød vs Fredericia,2024-09-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
Hillerød,2725066565,4,61,0,16,1,64.3,48.1,M. Etim,2.0,2.0,NaN,NaN,Hillerød vs Fredericia,2024-09-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
Fredericia,2725066475,4,1,0,4,1,38.4,36.4,W. Madsen,1.0,1.0,NaN,NaN,Hillerød vs Fredericia,2024-09-23,54.5,23.3,0.00011879,NaN,NaN,19.1,5.8,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
Hillerød,2725066573,5,3,0,17,0,71.6,43.4,T. Arndal,3.0,2.0,NaN,NaN,Hillerød vs Fredericia,2024-09-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
Fredericia,2725066503,5,1,0,5,1,57.2,22.8,M. Opondo,1.0,1.0,NaN,NaN,Hillerød vs Fredericia,2024-09-23,29.4,10.6,0.00000874,NaN,NaN,30.3,3.4,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN
