contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,17,18,20,22,24,25,26,29,56,60,61,63,64,65,72,73,74,75,76,77,78,80,81,82,83,100,102,103,108,114,133,139,146,147,153,154,214,215,230,231,233,254,321,322,324,326,327,328,374,375,391,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,23,6,9,107,16,28,79,89,101,138,273,280,281,282,323,338,472,62,86,160,468,85,120,216,217,276,121,84,87,68,21,300,136,274,19,122,275,353,390
6wwwud48qahpwrfxs20334qk5,Fredericia,2780217897,830,15,2,85,4,P. Egelund,6lb4k3g75nzgi8bp1y1mzxkru,1,81.2,34.4,2025-02-23T15:43:20.757,2025-02-23T15:44:39,1.0,"{""id"": 5537198385, ""qualifierId"": 102, ""value"": ""52.2""}",70l21a9n11ueyveorre6vcdg4,Fredericia vs HB Køge,1_Division,2025-02-23,DNK,NaN,NaN,true,true,true,NaN,,,true,Center,,NaN,,NaN,,NaN,NaN,NaN,NaN,true,,NaN,,,true,,NaN,52.2,19,NaN,,,,83.6,36.6,NaN,NaN,NaN,true,99.1,47.5,674,,0.04413358122110367,0.0,true,2,2,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,NaN,,NaN,NaN,,,,,,,,,,,,NaN,,,,,,,NaN,,,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2780224879,881,15,2,91,47,J. Kudsk,b1kyjkhaaiw32cb4bubbpm7tg,1,88.0,42.5,2025-02-23T15:50:04.266,2025-02-23T15:51:12,1.0,"{""id"": 5537235909, ""qualifierId"": 160}",70l21a9n11ueyveorre6vcdg4,Fredericia vs HB Køge,1_Division,2025-02-23,DNK,NaN,true,NaN,NaN,NaN,NaN,,,true,Center,,NaN,,NaN,,true,NaN,NaN,NaN,NaN,,true,,,true,,NaN,49.5,19,NaN,,,,89.4,43.3,NaN,true,NaN,NaN,99.0,48.4,728,,0.08071340620517731,0.0,NaN,3,2,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,NaN,,NaN,NaN,,,,,,,,,,,,true,,,,,,,NaN,,,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2780229513,927,15,2,96,50,J. Jessen,6wfu6s6xo5zjeke21fgbouql0,1,81.9,56.0,2025-02-23T15:55:07.181,2025-02-23T15:55:56,NaN,"{""id"": 5537273001, ""qualifierId"": 146, ""value"": ""92.0""}",70l21a9n11ueyveorre6vcdg4,Fredericia vs HB Køge,1_Division,2025-02-23,DNK,NaN,NaN,true,NaN,true,NaN,,,NaN,Center,,NaN,,NaN,,true,NaN,NaN,NaN,NaN,,true,,,true,,NaN,50.4,19,NaN,,,,92.0,52.9,NaN,NaN,NaN,true,99.0,50.9,763,,0.08432354778051376,0.0,NaN,1,3,true,NaN,NaN,,NaN,NaN,true,,,,,,,,NaN,,,,NaN,,NaN,NaN,,,,,,,,,,,,NaN,,,,,,,NaN,,,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2780229551,928,15,2,96,53,P. Egelund,6lb4k3g75nzgi8bp1y1mzxkru,1,85.6,44.4,2025-02-23T15:55:09.342,2025-02-23T15:55:56,NaN,"{""id"": 5537274171, ""qualifierId"": 103, ""value"": ""19""}",70l21a9n11ueyveorre6vcdg4,Fredericia vs HB Køge,1_Division,2025-02-23,DNK,NaN,true,NaN,NaN,true,NaN,,,NaN,Center,,NaN,,NaN,,true,NaN,NaN,NaN,NaN,,true,,,true,,true,49.3,19,NaN,,,,96.3,48.0,NaN,NaN,NaN,NaN,99.1,48.2,770,,0.10711746662855148,0.0,NaN,2,3,true,NaN,NaN,,NaN,NaN,true,,,,,,,,NaN,,,,NaN,,NaN,NaN,,,,,,,,,,,,NaN,,,,,,,NaN,,,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2780324575,946,15,2,59,34,F. Rieper,3od63zrf6cay4d6ync9i2iuqc,1,91.1,44.8,2025-02-23T15:17:51.200,2025-02-25T17:29:05,1.0,"{""id"": 5537784927, ""qualifierId"": 17}",70l21a9n11ueyveorre6vcdg4,Fredericia vs HB Køge,1_Division,2025-02-23,DNK,true,true,NaN,NaN,NaN,NaN,,,true,Center,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,,true,,,NaN,,NaN,48.2,10.1,NaN,,,,99.9,47.8,NaN,true,NaN,NaN,NaN,NaN,780,,0.0631575882434845,0.052094437181949615,NaN,3,2,true,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,NaN,,NaN,NaN,,,,,,,,,,,,true,,,,,,,NaN,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2781527877,103,15,1,10,7,F. Høgh,9tt9eo9bsff7dp7aqjal1obo4,1,90.2,54.6,2025-02-27T18:10:38.337,2025-02-27T18:11:59,1.0,"{""id"": 5544462051, ""qualifierId"": 22}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,true,true,NaN,NaN,true,NaN,NaN,,true,Center,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,NaN,true,,,52.3,19,NaN,,,,92.1,54.2,NaN,true,NaN,NaN,98.9,51.6,115,,0.05134539306163788,0.0,NaN,3,2,true,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,NaN,NaN,NaN,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2781527329,104,13,1,8,14,O. Buch,y4dl1rer075c9wz6zhx7skbt,1,83.1,51.7,2025-02-27T18:08:44.929,2025-02-27T18:16:10,NaN,"{""id"": 5544458819, ""qualifierId"": 56, ""value"": ""Center""}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,true,NaN,true,true,NaN,NaN,,NaN,Center,NaN,,,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,,NaN,NaN,,,40.5,18.1,true,,,,NaN,NaN,NaN,NaN,NaN,true,98.6,50.4,NaN,,0.03565791994333267,0.0,NaN,3,2,true,NaN,NaN,,NaN,NaN,true,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,NaN,NaN,NaN,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2781528549,132,13,1,12,26,C. Jakobsen,9r07ooissj5mz15g87x5rmbx1,1,92.1,55.1,2025-02-27T18:12:57.080,2025-02-27T18:14:12,1.0,"{""id"": 5544602595, ""qualifierId"": 154}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,true,true,NaN,NaN,true,NaN,NaN,,true,Center,NaN,,,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,NaN,NaN,,,53.9,65.3,NaN,,,,NaN,NaN,NaN,true,NaN,NaN,98.5,52.9,NaN,,0.08882768452167511,0.0,NaN,3,2,true,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,NaN,NaN,NaN,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2781529819,160,15,1,16,46,M. Staghøj Huldahl,876cmwkx9p9wsqgdddfzmipzo,1,89.3,51.9,2025-02-27T18:17:17.280,2025-03-01T12:29:07,1.0,"{""id"": 5544473353, ""qualifierId"": 322, ""value"": ""0.11463221162557602""}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,true,true,NaN,NaN,true,NaN,NaN,,true,Center,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,NaN,NaN,,,52.0,15.2,NaN,,,,98.5,50.0,NaN,true,NaN,NaN,NaN,NaN,180,,0.04215748980641365,0.11463221162557602,NaN,3,2,true,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,NaN,NaN,NaN,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2781530435,185,13,1,19,43,O. Buch,y4dl1rer075c9wz6zhx7skbt,1,90.6,53.7,2025-02-27T18:20:13.832,2025-02-27T18:21:20,1.0,"{""id"": 5544477079, ""qualifierId"": 328}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,true,NaN,NaN,true,NaN,NaN,,true,Center,NaN,,,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,43.7,2.8,NaN,,,,NaN,NaN,NaN,true,true,NaN,98.6,52.0,NaN,,0.44943779706954956,0.0,NaN,1,1,true,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,true,true,NaN,,,,,,,,,,
