contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,16,17,18,19,20,22,23,24,25,29,56,60,72,73,74,76,77,78,80,81,82,83,84,87,100,101,102,103,108,120,133,139,146,147,153,154,214,215,230,231,233,300,321,322,323,326,327,328,338,374,375,391,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,6,9,26,107,63,64,75,79,136,160,280,281,282,324,468,472,86,121,61,65,114,85,353,390,276,89
a9vw7ikerpr4cuweeeka5aneg,Horsens,2829164713,456,14,2,46,55,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,89.9,55.8,2025-07-25T18:06:37.507,2025-07-25T18:09:45,1.0,"{""id"": 5807575531, ""qualifierId"": 22}",busfsm4t1ka6tafil06i8jfo4,Horsens vs Kolding,1_Division,2025-07-25,DNK,NaN,NaN,true,NaN,,NaN,true,NaN,NaN,NaN,true,Center,,true,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,,,,,44.7,7.6,true,,,,NaN,NaN,,true,true,NaN,97.3,52.0,NaN,NaN,0.31093907356262207,0.0,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,NaN,true,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2829165169,457,16,2,47,2,F. Brandhof,ca1b5707pdpx0ucug40ggnahh,1,93.0,50.7,2025-07-25T18:06:44.425,2025-07-28T12:29:17,NaN,"{""id"": 5807578599, ""qualifierId"": 231, ""value"": ""50.2""}",busfsm4t1ka6tafil06i8jfo4,Horsens vs Kolding,1_Division,2025-07-25,DNK,NaN,NaN,true,NaN,,NaN,true,NaN,NaN,NaN,NaN,Center,,true,NaN,NaN,NaN,,true,NaN,NaN,NaN,,,,,,51.0,7.0,NaN,,,,NaN,NaN,,NaN,true,NaN,96.9,50.2,NaN,NaN,0.1781686544418335,0.15105757117271423,NaN,3,2,true,NaN,2025-07-25 19:06:43.983,47:02.322,NaN,97.6,50,true,,,,,,,,,,NaN,,NaN,NaN,NaN,,true,NaN,POST,224123,2289,,,456,NaN,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2829166807,491,16,2,52,42,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,88.3,58.5,2025-07-25T18:12:24.483,2025-07-28T12:29:17,1.0,"{""id"": 5807587793, ""qualifierId"": 15}",busfsm4t1ka6tafil06i8jfo4,Horsens vs Kolding,1_Division,2025-07-25,DNK,true,NaN,true,NaN,,NaN,true,NaN,NaN,NaN,true,Center,,NaN,NaN,NaN,NaN,,NaN,NaN,true,NaN,,,,,,46.4,29.1,NaN,,,,NaN,NaN,,true,NaN,NaN,98.0,50.7,NaN,NaN,0.031329430639743805,0.20291896164417267,NaN,2,2,true,NaN,2025-07-25 19:12:23.668,52:42.007,NaN,98.0,48.4,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2829168383,528,13,2,58,41,I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,1,95.4,45.0,2025-07-25T18:18:22.738,2025-07-25T18:19:30,1.0,"{""id"": 5807735115, ""qualifierId"": 214}",busfsm4t1ka6tafil06i8jfo4,Horsens vs Kolding,1_Division,2025-07-25,DNK,true,true,NaN,NaN,,NaN,true,NaN,NaN,NaN,true,Center,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,,,,,40.0,31.9,NaN,,,,NaN,NaN,,true,true,NaN,99.9,48.9,NaN,NaN,0.3575664162635803,0.0,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,NaN,true,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2829169151,566,15,2,61,46,S. Yatéké,9ircna8pbskreztmy1wiqwx9m,1,76.8,58.3,2025-07-25T18:21:28.392,2025-07-25T18:22:37,1.0,"{""id"": 5807601137, ""qualifierId"": 147, ""value"": ""57.6""}",busfsm4t1ka6tafil06i8jfo4,Horsens vs Kolding,1_Division,2025-07-25,DNK,NaN,NaN,NaN,true,,true,true,NaN,NaN,NaN,true,Center,,NaN,NaN,NaN,NaN,,true,NaN,NaN,true,,,,,,51.2,19,NaN,,,,79.2,57.6,,NaN,NaN,true,98.4,51.6,527,NaN,0.020251162350177765,0.0,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2829170743,574,15,2,69,18,K. Kirkegaard,3ylgelxr6ssp42hidfnchqp2i,1,79.9,70.5,2025-07-25T18:28:59.951,2025-07-25T18:30:13,1.0,"{""id"": 5807610137, ""qualifierId"": 233, ""value"": ""626""}",busfsm4t1ka6tafil06i8jfo4,Horsens vs Kolding,1_Division,2025-07-25,DNK,NaN,NaN,NaN,true,,true,true,NaN,NaN,NaN,true,Center,,NaN,NaN,NaN,true,,NaN,NaN,NaN,true,,,,,,51.8,19,NaN,,,,83.3,67.3,,NaN,NaN,true,99.1,50.5,626,NaN,0.01989658921957016,0.0,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2829172223,668,13,2,74,35,S. Yatéké,9ircna8pbskreztmy1wiqwx9m,1,68.1,21.7,2025-07-25T18:34:17.193,2025-07-25T18:35:26,1.0,"{""id"": 5807618175, ""qualifierId"": 327, ""value"": ""1""}",busfsm4t1ka6tafil06i8jfo4,Horsens vs Kolding,1_Division,2025-07-25,DNK,NaN,NaN,NaN,true,,true,NaN,true,NaN,NaN,true,Center,,NaN,NaN,NaN,NaN,,NaN,NaN,true,NaN,,,,,,31.1,66.7,true,,,,NaN,NaN,,NaN,NaN,true,95.4,43.9,NaN,NaN,0.010674660094082355,0.0,NaN,2,1,true,NaN,NaN,NaN,true,NaN,NaN,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2829174895,683,13,2,80,47,P. Olsen,8jotzm26md7pzdy2gn474chqt,1,68.8,60.9,2025-07-25T18:40:28.747,2025-07-25T18:41:38,NaN,"{""id"": 5807633321, ""qualifierId"": 103, ""value"": ""8.3""}",busfsm4t1ka6tafil06i8jfo4,Horsens vs Kolding,1_Division,2025-07-25,DNK,NaN,NaN,NaN,true,,true,true,NaN,NaN,NaN,NaN,Center,,NaN,true,NaN,NaN,,NaN,NaN,NaN,NaN,,,,,,62.4,8.3,NaN,,,,NaN,NaN,,NaN,NaN,true,97.5,50.5,NaN,NaN,0.011240432038903236,0.0,NaN,1,3,true,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2829173231,703,13,2,77,7,N. Morberg,5u9zrgsm6wycfcbk04m64wd1w,1,86.2,50.9,2025-07-25T18:36:48.797,2025-07-25T18:37:57,NaN,"{""id"": 5807623859, ""qualifierId"": 20}",busfsm4t1ka6tafil06i8jfo4,Horsens vs Kolding,1_Division,2025-07-25,DNK,NaN,NaN,true,NaN,,true,true,NaN,NaN,NaN,NaN,Center,,NaN,NaN,true,NaN,,NaN,NaN,NaN,NaN,,,,,,48.4,70.8,true,,,,NaN,NaN,,NaN,NaN,NaN,98.6,50.9,NaN,NaN,0.11557140201330185,0.0,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2829174047,714,13,2,78,57,C. Jørgensen,9fvf8z6p8ok0n5vu999ysfywa,1,72.3,53.0,2025-07-25T18:38:39.013,2025-07-25T18:39:48,NaN,"{""id"": 5807628839, ""qualifierId"": 230, ""value"": ""98.2""}",busfsm4t1ka6tafil06i8jfo4,Horsens vs Kolding,1_Division,2025-07-25,DNK,NaN,NaN,NaN,true,,NaN,NaN,NaN,NaN,NaN,NaN,Center,,true,NaN,true,NaN,,NaN,NaN,NaN,NaN,,,,,,50.8,76.4,NaN,,,,NaN,NaN,,NaN,NaN,NaN,98.2,49.8,NaN,NaN,0.038928285241127014,0.0,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,true,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,,,,,,,,
