contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,16,17,18,20,22,23,25,26,29,56,63,72,73,76,78,79,80,81,82,83,84,85,89,100,102,103,108,114,120,121,138,139,146,147,153,154,160,214,215,230,231,233,254,274,314,321,322,323,324,326,327,328,338,374,375,391,395,396,458,468,sequenceId,possessionId,keyPass,140,141,318,210,6,9,24,107,60,61,74,75,77,133,64,65,69,86,101,136,275,280,281,282,317,353,390,472,28,62,87,19,21,276,300,68,273,216,217
dbl7ir1qugqz8nvp1vzn8im50,OB,2724267673,43,15,1,3,8,L. Deedson,5wmik73cqursg7sv3w14ue5pm,1,94.2,34.4,2024-09-22T13:05:37.663,2024-09-24T16:30:02,1.0,"{""id"": 5232525721, ""qualifierId"": 22}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,true,true,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,48.9,19,NaN,true,NaN,NaN,NaN,NaN,96.0,39.0,NaN,NaN,NaN,NaN,true,97.7,42.4,22,NaN,NaN,NaN,0.12106696516275406,0.0,NaN,true,2,2,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2724269273,55,15,1,4,12,M. Jensen,1b32j0lqi7ggcabdra4tygxzo,1,86.7,46.0,2024-09-22T13:06:41.422,2024-09-22T13:07:49,1.0,"{""id"": 5232535559, ""qualifierId"": 103, ""value"": ""19""}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,50.8,19,NaN,NaN,NaN,NaN,NaN,NaN,89.3,46.9,NaN,NaN,NaN,NaN,true,93.6,48.4,30,NaN,NaN,NaN,0.1592232584953308,0.0,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2724280053,100,15,1,10,52,A. Taranis,m031ocyfq011rual3olkegdm,1,87.7,61.1,2024-09-22T13:13:22.343,2024-09-24T16:30:29,1.0,"{""id"": 5232593339, ""qualifierId"": 327, ""value"": ""1""}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.4,23.4,NaN,NaN,NaN,NaN,NaN,NaN,98.5,52.0,NaN,true,NaN,true,NaN,NaN,NaN,123,NaN,NaN,NaN,0.2173379361629486,0.20882901549339294,NaN,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2724282363,130,15,1,12,16,M. Ejdum,2z8u8kyv91shp0la8alkn6kus,1,91.7,58.1,2024-09-22T13:14:46.182,2024-09-24T16:30:34,1.0,"{""id"": 5232608527, ""qualifierId"": 29}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.6,3.2,NaN,NaN,NaN,NaN,NaN,NaN,95.6,55.1,NaN,true,NaN,true,NaN,NaN,NaN,103,NaN,NaN,NaN,0.36328959465026855,0.3487822413444519,NaN,NaN,2,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2724282407,131,15,1,12,19,J. Bonde,e9o7q10wnhex4e8eo47mobbvt,1,92.1,60.7,2024-09-22T13:14:48.885,2024-09-22T13:16:54,NaN,"{""id"": 5232606135, ""qualifierId"": 17}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,53.8,19,NaN,NaN,NaN,NaN,NaN,true,95.3,57.9,NaN,NaN,NaN,true,NaN,93.8,57.8,NaN,NaN,NaN,NaN,0.16146059334278107,0.0,true,NaN,2,2,true,130,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2724304823,235,15,1,26,55,M. Jensen,1b32j0lqi7ggcabdra4tygxzo,1,88.4,39.5,2024-09-22T13:29:24.965,2024-09-22T13:33:20,1.0,"{""id"": 4611686018467371011, ""qualifierId"": 322, ""value"": ""0.0""}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,47.3,19,NaN,NaN,NaN,NaN,NaN,NaN,90.1,40.6,NaN,true,NaN,NaN,true,98.0,46.8,225,NaN,NaN,NaN,0.10795243084430695,0.0,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2724306865,244,16,1,28,18,L. Deedson,5wmik73cqursg7sv3w14ue5pm,1,94.3,53.4,2024-09-22T13:30:47.657,2024-09-24T16:30:07,1.0,"{""id"": 5232739647, ""qualifierId"": 102, ""value"": ""52.7""}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,true,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.7,12.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,98.8,50,NaN,NaN,NaN,NaN,0.3526897430419922,0.8726754784584045,NaN,NaN,1,1,true,NaN,2024-09-22 14:30:47.272,28:17.863,NaN,1.2,49.3,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2724315951,279,13,1,34,4,B. Paulsen,dqtarwrqvkopmzbt2ovp2dln9,1,93.3,63.0,2024-09-22T13:36:34.329,2024-09-22T13:38:26,1.0,"{""id"": 5232780927, ""qualifierId"": 230, ""value"": ""99.1""}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,56.8,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,99.1,51.6,NaN,NaN,NaN,NaN,0.014651947654783726,0.0,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2724321069,317,15,1,37,29,J. Bonde,e9o7q10wnhex4e8eo47mobbvt,1,92.1,44.0,2024-09-22T13:39:58.816,2024-09-24T17:31:09,1.0,"{""id"": 5232808147, ""qualifierId"": 22}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.7,18.4,NaN,NaN,NaN,NaN,NaN,NaN,99.3,48.2,NaN,true,NaN,NaN,NaN,NaN,NaN,311,NaN,NaN,NaN,0.06660439819097519,0.04818505421280861,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2724326973,353,16,1,41,25,M. Ejdum,2z8u8kyv91shp0la8alkn6kus,1,86.9,58.5,2024-09-22T13:43:54.787,2024-09-24T17:30:58,NaN,"{""id"": 5232845849, ""qualifierId"": 375, ""value"": ""41:24.483""}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,46.1,28.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.1,51.8,NaN,NaN,NaN,NaN,0.07824534922838211,0.6710646152496338,NaN,NaN,1,3,true,NaN,2024-09-22 14:43:53.892,41:24.483,NaN,2.0,49.1,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2724338113,400,13,1,30,29,L. Deedson,5wmik73cqursg7sv3w14ue5pm,1,91.1,55.4,2024-09-22T13:32:58.409,2024-09-22T13:53:49,1.0,"{""id"": 5232902401, ""qualifierId"": 17}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.3,2.8,NaN,NaN,NaN,NaN,NaN,NaN,98.5,57.0,true,true,true,NaN,NaN,99.0,50.2,NaN,NaN,NaN,true,0.11491762846708298,0.0,NaN,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2724341669,403,15,1,27,41,M. Fenger,80s55a7uw8kypoikefwhtdm5m,1,95.9,47.9,2024-09-22T13:30:10.409,2024-09-24T16:30:16,1.0,"{""id"": 5234639513, ""qualifierId"": 327, ""value"": ""2""}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,true,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,48.0,23.4,NaN,NaN,NaN,NaN,NaN,NaN,97.8,47.8,NaN,true,NaN,NaN,NaN,NaN,NaN,227,NaN,NaN,NaN,0.22637538611888885,0.5475903749465942,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2724352545,412,16,2,47,44,A. Maarup,cf6zq49y8v1ekw07e7yi3uac,1,90.5,57.9,2024-09-22T14:07:15.921,2024-09-24T17:31:26,1.0,"{""id"": 5232982603, ""qualifierId"": 327, ""value"": ""2""}",6guiqom5ylpwrcdv38o7euvpw,OB vs Roskilde,1_Division,2024-09-22,DNK,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.2,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,98.1,51.1,NaN,true,NaN,NaN,0.09471608698368073,0.8080738186836243,NaN,true,3,2,NaN,NaN,2024-09-22 15:07:15.241,47:43.573,NaN,1.9,47.1,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
