team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,210.0,213.0,22.0,23.0,6.0,9.0,24.0,25.0,26.0,107.0
Vendsyssel,2701846951,164,1,18,51,1,3.1,59.7,L. Schulz,69.0,44.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,18.5,96.3,0.00000071,NaN,NaN,1.0,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846213,165,1,16,20,1,86.8,84.1,R. Arabaci,61.0,37.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,90.9,90.5,0.00153117,NaN,NaN,0.8,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701846967,165,1,18,53,0,18.5,96.3,G. Mortensen,69.0,44.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,8.4,101.4,NaN,NaN,NaN,2.8,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846219,166,3,16,23,1,89.1,78.3,O. Juul,61.0,37.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701846973,166,5,18,55,0,13.1,101.2,G. Mortensen,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846221,167,50,16,24,1,88.4,75.6,O. Juul,61.0,37.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847143,167,49,19,20,1,30.3,76.6,K. Kusk,71.0,46.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846251,168,1,16,30,0,43.5,96.0,O. Skolnik,63.0,39.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,44.6,95.7,NaN,NaN,NaN,6.1,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847193,168,1,19,23,1,40.5,83.3,K. Kusk,71.0,46.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,66.2,91.8,0.00023081,NaN,NaN,0.2,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847221,169,1,19,29,1,73.9,86.8,A. Ahmad,71.0,46.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,72.8,62.4,0.00338501,NaN,NaN,4.6,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846265,169,5,16,31,1,42.6,102.0,O. Skolnik,NaN,39.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846343,170,1,16,50,0,51.7,102.0,O. Juul,64.0,39.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,71.0,93.9,NaN,NaN,NaN,6.0,NaN,NaN,NaN,,NaN,NaN,,true
Vendsyssel,2701847225,170,61,19,31,0,72.8,62.4,K. Kusk,71.0,46.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847243,171,1,19,35,0,46.7,69.7,O. Jebali,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,62.8,76.9,NaN,NaN,NaN,0.3,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846369,171,44,16,55,1,64.9,95.5,K. Nyegaard,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846373,172,1,16,55,0,63.6,95.1,K. Nyegaard,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,62.4,102.0,NaN,NaN,NaN,1.8,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847249,172,44,19,36,0,64.7,77.2,O. Øhlenschlæger,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846377,173,5,16,56,0,62.6,102.0,K. Nyegaard,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847251,173,61,19,38,1,62.7,76.9,O. Øhlenschlæger,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846577,174,5,17,35,1,-1.2,48.5,M. Juhl,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847275,174,1,19,41,0,57.7,75.1,A. Simon Okosun,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,56.1,101.4,NaN,NaN,NaN,1.7,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846689,175,1,18,2,1,3.5,54.2,M. Brylov,66.0,41.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,8.0,34.6,0.00000061,NaN,NaN,5.1,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847281,175,5,19,41,0,56.3,101.1,A. Simon Okosun,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846703,176,1,18,4,1,6.3,28.6,V. Montell,66.0,41.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,3.2,48.8,0.00000018,NaN,NaN,1.8,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847471,176,52,20,16,1,8.8,37.4,L. Schulz,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847503,177,1,20,18,1,9.1,38.2,L. Schulz,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,17.1,25.6,0.00000079,NaN,NaN,5.5,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846725,177,1,18,7,0,1.5,54.6,M. Brylov,66.0,41.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,54.3,63.6,NaN,NaN,NaN,0.1,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847509,178,1,20,20,1,17.6,25.9,M. Greve,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,31.0,5.2,0.00000314,NaN,NaN,5.5,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846739,178,61,18,14,0,25.3,75.6,O. Skolnik,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847515,179,1,20,23,1,31.0,5.2,M. Lassen,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,24.6,20.0,0.00000239,NaN,NaN,2.2,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846743,179,45,18,14,0,24.2,75.7,O. Skolnik,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847521,180,1,20,25,1,24.8,20.7,M. Greve,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,27.5,36.7,0.00000399,NaN,NaN,1.3,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846765,180,7,18,19,0,11.2,52.2,M. Juhl,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846783,181,12,18,21,1,13.9,47.5,A. Maarup,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,23.2,82.7,NaN,NaN,NaN,1.2,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847525,181,1,20,27,1,26.4,38.0,O. Øhlenschlæger,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,13.3,49.6,0.00000096,NaN,NaN,2.6,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847589,182,1,20,29,1,13.3,49.6,L. Schulz,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,20.9,70.3,0.00000154,NaN,NaN,1.1,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846785,182,49,18,23,1,23.0,82.1,O. Juul,68.0,43.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846807,183,1,18,26,1,27.9,87.7,O. Juul,68.0,43.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,29.4,77.8,0.00000381,NaN,NaN,4.9,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847597,183,1,20,38,1,33.8,69.1,O. Jebali,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,39.9,56.9,0.0000227,NaN,NaN,5.4,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846817,184,1,18,29,1,28.6,77.0,N. Halse,68.0,43.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,33.9,91.8,0.00000508,NaN,NaN,1.1,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847615,184,1,20,40,1,39.8,56.7,A. Simon Okosun,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,34.6,68.1,0.00001238,NaN,NaN,2.2,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847637,185,1,20,44,1,37.0,67.8,O. Jebali,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,36.3,38.9,0.00001812,NaN,NaN,4.7,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846831,185,1,18,30,1,33.9,91.8,O. Juul,68.0,43.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,23.8,76.7,0.00000263,NaN,NaN,3.9,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846861,186,1,18,34,1,24.4,70.8,O. Skolnik,68.0,43.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,24.0,33.4,0.00000337,NaN,NaN,4.7,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847669,186,1,20,49,1,40.4,33.7,M. Greve,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,58.8,16.2,0.00016259,NaN,NaN,5.7,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846879,187,1,18,42,1,26.4,25.9,V. Montell,68.0,43.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,28.7,12.0,0.000003,NaN,NaN,5.0,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847691,187,1,20,52,1,58.8,16.2,L. Jensen,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,58.7,3.2,0.00009189,NaN,NaN,4.7,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846911,188,1,18,45,1,31.2,8.9,M. Juhl,68.0,43.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,68.1,16.4,0.00042928,NaN,NaN,0.1,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847715,188,1,20,55,1,67.5,7.9,M. Lassen,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,74.0,3.2,0.00034475,NaN,NaN,5.8,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847735,189,1,20,58,1,74.3,6.5,L. Jensen,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,71.4,15.3,0.00067742,NaN,NaN,2.0,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701846917,189,61,18,47,0,68.9,15.5,E. Nielsen,68.0,43.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847031,190,5,18,55,1,86.9,-1.2,A. Maarup,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847747,190,1,21,2,1,69.4,21.9,K. Kusk,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,81.8,72.3,0.0087243,NaN,NaN,1.2,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847037,191,1,19,1,1,82.3,-1.1,M. Juhl,70.0,45.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,72.5,12.8,0.00018412,NaN,NaN,2.4,NaN,NaN,NaN,,NaN,NaN,,true
Vendsyssel,2701847749,191,44,21,5,1,80.2,72.5,G. Mortensen,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847077,192,1,19,3,1,71.6,16.2,K. Nyegaard,70.0,45.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,57.2,48.1,0.00055417,NaN,NaN,2.2,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847755,192,1,21,6,1,81.8,72.3,G. Mortensen,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,69.6,75.4,0.00075042,NaN,NaN,3.0,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847093,193,1,19,7,1,57.2,56.3,O. Skolnik,70.0,45.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,59.5,28.8,0.00040493,NaN,NaN,4.8,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847781,193,1,21,8,1,70.3,77.6,M. Kaastrup,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,62.8,80.0,0.00042144,NaN,NaN,2.9,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847099,194,1,19,10,1,62.9,24.3,V. Montell,70.0,45.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,69.9,9.1,0.00044257,NaN,NaN,5.3,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847791,194,1,21,13,1,64.4,77.9,O. Jebali,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,62.9,59.9,0.00078179,NaN,NaN,4.6,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847107,195,1,19,11,1,70.0,8.6,M. Juhl,70.0,45.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,70.2,21.3,0.00085813,NaN,NaN,1.5,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847807,195,1,21,15,1,57.8,55.2,A. Simon Okosun,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,64.8,31.6,0.00085069,NaN,NaN,5.1,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847131,196,1,19,12,1,70.2,21.3,K. Nyegaard,70.0,45.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,77.9,14.3,0.00130343,NaN,NaN,5.8,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847831,196,1,21,19,1,64.3,39.1,K. Kusk,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,80.6,91.7,0.00165587,NaN,NaN,1.1,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847137,197,1,19,17,0,85.4,10.7,A. Maarup,70.0,45.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,75.8,17.9,NaN,NaN,NaN,2.7,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847853,197,1,21,22,1,80.5,92.0,G. Mortensen,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,86.6,51.3,0.03330029,NaN,NaN,4.9,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847155,198,83,19,22,0,67.1,14.7,K. Nyegaard,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701847859,198,61,21,25,0,86.6,51.3,A. Ahmad,74.0,48.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701848081,199,45,22,9,0,59.1,14.0,M. Lassen,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847215,199,1,19,33,0,20.2,34.5,V. Montell,72.0,47.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,53.8,21.5,NaN,NaN,NaN,6.0,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701848125,200,7,22,14,0,41.2,21.0,O. Øhlenschlæger,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847231,200,44,19,36,1,35.3,22.8,A. Maarup,NaN,47.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701848155,201,83,22,21,0,17.5,18.8,O. Øhlenschlæger,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847233,201,1,19,36,0,33.3,22.4,A. Maarup,NaN,47.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,35.1,22.2,NaN,NaN,NaN,6.2,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847261,202,1,19,38,0,32.1,31.3,K. Nyegaard,NaN,47.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,45.4,22.1,NaN,NaN,NaN,5.9,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701848171,202,8,22,24,1,32.7,7.0,L. Jensen,77.0,50.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701848175,203,49,22,24,1,33.7,4.9,L. Jensen,77.0,50.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847285,203,5,19,41,1,43.7,-1.1,K. Nyegaard,NaN,47.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN
Roskilde,2701847345,204,1,19,53,1,43.5,-0.8,M. Juhl,73.0,47.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,28.9,14.1,0.00000195,NaN,NaN,2.6,NaN,NaN,NaN,,NaN,NaN,,true
Vendsyssel,2701848193,204,1,22,25,0,34.8,4.0,L. Jensen,77.0,50.0,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,65.4,8.6,NaN,NaN,NaN,0.1,NaN,NaN,NaN,,NaN,NaN,,NaN
Vendsyssel,2701848279,205,1,22,50,0,20.4,15.2,M. Lassen,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,2024-07-19,38.4,11.0,NaN,NaN,NaN,6.1,NaN,NaN,NaN,,NaN,NaN,,NaN
