competition,season,team,ID,player_name,number,position,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,games
1.Div,2024,ACH,60641,Mads Fenger,13.0,RCB,10148.521587743733,3100.374651810585,4737.766713091923,1450.4415041782727,668.2688022284123,191.6699164345404,87.43036211699165,33.402158774373255,21.62256267409471,3474.774025069638,405.1598189415042,136.66399721448468,55.46657381615599,2224.8206824512536,92.38474930362116,21.60376044568245,10.341225626740947,1
1.Div,2024,ACH,68250,Matej Delac,1.0,GK,4728.175813392708,3620.7248391551543,943.1830450685676,118.39333321635725,39.04289538698621,6.832125819891186,5.307890794129732,0.5966786760390445,1.1978809134026125,1570.6089434643318,21.055303628937306,5.443959215846756,3.187781562795239,1414.44469457559,9.277310293900358,0.7914879280053864,0.9222283179318803,24
1.Div,2024,ACH,89226,Jakob Ankersen,7.0,CAM,11334.223952758155,2741.816804536166,5761.007551727206,1805.561074198152,807.0924244614586,218.7414358305081,102.72025043441447,131.8349717942183,61.16227440050244,4478.279687041685,350.74892106210876,84.48494676904616,40.605343062226396,1816.9468394496764,15.259244371429093,2.412092097723217,0.9526329716856311,4
1.Div,2024,ACH,89226,Jakob Ankersen,7.0,LW,10851.641097326576,2966.650358203739,4789.761313996156,1621.3021142757293,915.0183470207933,558.908963830159,120.77581687925912,259.83784728289356,55.6701030927835,4302.128953346147,413.364668879958,275.97274156910714,60.38790843962956,2298.6468635331116,46.06465140660492,23.09837497815831,4.717805346846059,4
1.Div,2024,ACH,96565,Alexander Ludwig,33.0,CB,10366.758620689656,3232.003448275862,4747.210344827587,1588.748275862069,574.7172413793103,224.0793103448276,82.75862068965517,49.665517241379305,17.586206896551726,4309.862068965517,352.21034482758625,174.41379310344826,61.03448275862068,2194.551724137931,25.944827586206895,0.0,4.137931034482759,4
1.Div,2024,ACH,96565,Alexander Ludwig,33.0,LCB,9557.109047806778,3240.7539586821076,4391.2280583178745,1255.467742600144,486.61300897641576,183.04627923023514,71.31479282375608,33.35520275593762,17.792325750358238,3626.848568320993,288.10355497761066,112.75472270585809,41.83654298880766,2169.422158878684,76.20571166817743,36.93635376843947,11.685924084590186,4
1.Div,2024,ACH,96565,Alexander Ludwig,33.0,SUB,9183.354037267081,3623.1920496894413,3847.6442236024845,1198.9073291925467,424.2991304347826,89.31130434782608,53.66459627329193,34.94906832298137,18.782608695652176,3174.073043478261,262.46012422360246,48.67378881987578,33.54037267080746,1707.969689440994,18.12521739130435,5.688447204968944,1.3416149068322982,4
1.Div,2024,ACH,172829,Mikkel Kallesoe,25.0,RB,10747.81041194708,2970.5624978081883,5078.456429736189,1725.9636360296884,684.9558947332638,287.86994346813714,96.35483680134541,130.45967518326952,39.63354930473255,4172.253526126186,357.1860769381605,142.75270389469668,51.00786957298356,2491.5529295384085,48.827864471311635,14.657182613824338,5.713417923629311,24
1.Div,2024,ACH,186663,Marvin Egho,45.0,LF,10736.044692737432,3042.84217877095,5372.949720670391,1429.541899441341,691.9064245810057,198.81703910614524,100.5586592178771,152.8114525139665,62.84916201117319,4422.695530726258,290.67737430167597,44.484636871508386,33.93854748603352,1908.6662011173187,34.59217877094972,1.520949720670391,3.7709497206703912,5
1.Div,2024,ACH,186663,Marvin Egho,45.0,LM,10174.282929267683,3251.431642089478,5214.259435141214,1130.6663334166458,470.4788802799299,107.46013496625845,60.73481629592601,34.510872281929515,33.74156460884779,3294.9447638090473,151.74256435891027,64.31142214446388,24.293926518370405,2099.4541364658835,35.442139465133714,8.637840539865033,2.699325168707823,5
1.Div,2024,ACH,186663,Marvin Egho,45.0,RF,8387.257104194858,3434.1759133964815,3934.6928281461433,812.9472259810553,187.31935047361299,18.121786197564276,19.485791610284167,10.242219215155615,12.178619756427604,3143.1921515561567,83.24086603518266,4.177266576454668,7.307171853856562,1953.1583220568336,6.028416779431664,3.702300405953992,0.0,5
1.Div,2024,ACH,186663,Marvin Egho,45.0,ST,10223.779045978757,3431.4905654953054,4853.162555376768,1082.045101262487,575.512031022477,281.57615980671335,84.55852666863795,170.18796697560714,57.270377781227346,3923.77816047555,187.01267915096446,106.74421881138046,25.339628319693503,2110.552660267318,11.693398895533136,4.643974019725764,1.9485205677171038,5
1.Div,2024,ACH,210956,Soren Reese,20.0,LCB,9847.221948645796,3076.1195919803026,4438.79810059796,1648.6239887442844,578.9947238832219,104.67604642982765,70.27787548364404,3.2479774885684134,11.396412240590927,3965.1537108688008,411.27752374252555,101.42806894125923,56.982061202954625,1958.1885332395357,21.67217727752374,0.0,1.8994020400984875,1
1.Div,2024,ACH,224123,Sebastian Pingel,11.0,CAM,11276.581898277933,2936.923107729275,5154.285943131758,1921.0332398878652,891.0756908289948,373.26391670004006,110.29235082098519,241.215859030837,74.60953143772527,4413.456547857429,317.8906688025631,113.22266720064077,31.357629154985986,2705.0172206647976,38.72126551862235,18.836203444132963,4.325190228273929,25
1.Div,2024,ACH,224123,Sebastian Pingel,11.0,CF,10231.664989484083,2941.2912633430255,4648.140074078678,1701.1382094066428,693.0183603195374,248.07708233620033,90.77126177067612,170.39151362875387,51.01552338336197,4223.978598888786,292.8526765876747,76.824954596301,37.2520411458776,2206.192169356394,25.434641288797014,0.8543499733344193,2.503697241436551,25
1.Div,2024,ACH,224123,Sebastian Pingel,11.0,LF,10501.288290496186,2864.7713953784382,4933.105716822084,1753.452234213458,719.7664266693648,230.19447010910935,96.7174452975241,137.59634807839882,51.70077506914511,4107.792585833036,288.92620846648373,73.29669644162936,37.038487980139635,2247.3234681733106,45.39839795335694,19.30375306966042,7.978182248239336,25
1.Div,2024,ACH,224123,Sebastian Pingel,11.0,RF,10507.794217557544,2914.637366859532,4640.834759967203,1841.8706121308644,824.1617803213812,286.2891118784803,120.47115511823863,193.82555749235945,69.68146967285169,4058.6558004814183,313.55650669288394,82.65456170156037,43.93231087878622,2212.504030708959,66.60907324037316,9.806662688012308,6.857374566600719,25
