team,ID,player_name,number,position,ssiId_player,optaUuid_player,Minutes_seconds,Distance,Walking,Jogging,Running,High Speed Running,Sprinting,No. of High Intensity Runs,Sprint Distance TIP,No. of High Intensity Runs TIP,Distance OTIP,HSR Distance OTIP,Sprint Distance OTIP,No. of High Intensity Runs OTIP,Distance BOP,HSR Distance BOP,Sprint Distance BOP,No. of High Intensity Runs BOP,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,game_id,match_description,season,competition
HBK,69893,Mike Jensen,7,RCM,444cdba6-6e31-4fb5-ae7f-6f0263ca1f3a,619s1phj5bkgkug3aszc1y9cl,5715,11320.38,3138.93,4724.74,2005.83,984.95,465.94,160,243.36,73,3731.77,465.3,183.01,75,2170.9,73.07,39.57,12,10696.422047244094,2965.9181102362204,4464.321259842519,1895.272440944882,930.6614173228347,440.25826771653544,151.1811023622047,229.9464566929134,68.97637795275591,3526.0818897637796,439.6535433070866,172.9228346456693,70.86614173228347,2051.244094488189,69.04251968503937,37.38897637795276,11.338582677165354,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
HBK,132843,Nemanja Cavnic,4,LCB,2111ab5c-241b-4643-acc5-dca188ab1c52,76haeglj7ab88ikhym8hw6uol,5234,9151.27,3335.89,4116.78,1061.76,483.11,153.74,65,45.77,11,2930.2,321.87,91.9,45,2285.84,84.11,16.08,9,9441.508979747803,3441.6901031715706,4247.346580053496,1095.4344669468858,498.43217424531906,158.61597248758122,67.06152082537257,47.22162781811235,11.348872755063049,3023.133358807795,332.0783339701949,94.81467329002676,46.427206725257925,2358.337027130302,86.7776079480321,16.589988536492164,9.285441345051586,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
HBK,183001,Sebastian Linnet John,1,GK,8c505829-aa9c-4af6-98e0-ff3832ee2f56,3j17sy1es1n95b6wldq0guuad,5715,5155.26,3665.29,1296.0,174.88,19.09,0.0,2,0.0,1,1383.14,3.75,0.0,1,1295.78,3.05,0.0,0,4871.111811023622,3463.2661417322834,1224.5669291338584,165.24094488188976,18.03779527559055,0.0,1.889763779527559,0.0,0.9448818897637795,1306.903937007874,3.543307086614173,0.0,0.9448818897637795,1224.3590551181103,2.8818897637795273,0.0,0.0,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
HBK,424538,Pierre Larsen,10,RW,957237a8-7f91-4f32-871d-5f6a557385e1,akiwokthm1z7rbifshqhs24t1,5715,11455.58,3134.38,5307.14,1765.52,869.78,378.77,139,252.44,84,3682.09,352.23,89.96,44,2566.46,76.42,36.37,11,10824.170078740157,2961.6188976377957,5014.620472440945,1668.207874015748,821.8393700787401,357.8929133858268,131.33858267716533,238.52598425196848,79.37007874015748,3479.140157480315,332.81574803149607,85.00157480314961,41.574803149606296,2425.0015748031497,72.20787401574803,34.36535433070866,10.393700787401574,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
HBK,446335,Marcus Gudmann,2,RCB,c3b85c5e-cca1-4547-9e72-6dfa9885a318,am3509ake84cde1xhb9264i22,5715,10813.56,3095.28,5142.33,1619.81,680.92,275.22,109,105.63,29,3376.8,348.59,141.4,66,2488.29,99.32,28.19,14,10217.537007874016,2924.6740157480317,4858.8944881889765,1530.5291338582676,643.3889763779528,260.0503937007874,102.99212598425197,99.80787401574804,27.401574803149607,3190.677165354331,329.3763779527559,133.60629921259843,62.362204724409445,2351.140157480315,93.84566929133858,26.636220472440947,13.228346456692913,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
HBK,519888,Jubril Adedeji,14,LW,2c034fa5-de5e-420c-b38c-5c6fe38902c2,4sgxth7onhb5mu29bgyupby3u,4920,8754.74,2872.23,3249.09,1359.34,773.9,500.17,151,272.85,81,2898.88,370.64,190.47,63,1684.95,42.05,36.85,7,9608.860975609756,3152.44756097561,3566.0743902439026,1491.958536585366,849.4024390243902,548.9670731707317,165.7317073170732,299.469512195122,88.90243902439025,3181.6975609756096,406.79999999999995,209.05243902439025,69.14634146341463,1849.3353658536585,46.15243902439025,40.44512195121951,7.682926829268293,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
HBK,520060,William Madsen,8,LCM,5905cb8b-fba7-41b4-904d-bf3ee7219f6b,7ztdirfvd9d0x2yw1v051xzbo,4945,10216.95,2524.0,4962.06,1818.87,700.81,211.2,97,142.77,54,3021.11,268.0,65.57,37,2072.33,50.92,2.86,6,11157.033367037413,2756.2386248736093,5418.629726996966,1986.228109201213,765.2930232558139,230.63296258847316,105.92517694641052,155.9065722952477,58.96865520728008,3299.088776541962,292.6592517694641,71.60323559150656,40.404448938321536,2263.0095045500507,55.605257836198184,3.123154701718908,6.552072800808898,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
HBK,544843,Casper Jorgensen,24,LB,a15078ea-add1-41eb-bee8-740d7b9e0c45,9fvf8z6p8ok0n5vu999ysfywa,5715,11838.5,3031.34,5743.34,1957.67,827.04,279.11,115,116.23,45,3797.99,425.97,144.38,60,2830.39,109.29,18.51,10,11185.984251968504,2864.2582677165356,5426.777952755905,1849.7669291338582,781.4551181102361,263.7259842519685,108.66141732283464,109.8236220472441,42.51968503937008,3588.6519685039366,402.4913385826772,136.42204724409447,56.69291338582677,2674.3842519685036,103.26614173228347,17.48976377952756,9.448818897637794,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
HBK,545544,Janus Rex Seehusen,6,CDM,b0476021-437c-471b-a9cd-41db44de4515,cptyf0icqfjv8wm49pcy0uw44,4531,9805.35,2365.17,4887.23,1604.68,606.66,341.6,112,109.92,43,3176.97,323.1,222.13,64,1887.62,55.8,9.55,5,11685.917016111234,2818.785698521298,5824.551313175899,1912.4414036636506,723.0112557934231,407.11542705804465,133.48046788788346,131.0015449128228,51.246965349812406,3786.2807327300816,385.06731405870676,264.732288677996,76.27455307879055,2249.646435665416,66.5018759655705,11.381593467225779,5.958949459280512,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
HBK,575319,Erkan Semovski,19,CF,e60f8d6d-c6e3-4cc0-9f22-5fc1d2c943f6,8qzac8nxm8nxbckdaisnooutw,5715,12112.25,2921.75,5662.57,1860.98,1008.21,658.74,178,401.85,101,3833.8,441.26,231.13,71,2387.66,48.98,25.76,6,11444.64566929134,2760.7086614173227,5350.459842519685,1758.4062992125985,952.6393700787402,622.4314960629921,168.18897637795277,379.70078740157487,95.43307086614173,3622.488188976378,416.93858267716536,218.39055118110235,67.08661417322836,2256.0566929133856,46.280314960629916,24.34015748031496,5.669291338582677,68567c55-c461-482e-808a-197434a57ebb,HIL - HBK : 2023-7-21,2023,1.Div
