team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,game_id,match_description,season,competition
HBK,16,1037.1,102593.07,14360.27,4803.07,1597.76,646,322,297,27,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div
HVI,16,1037.0666666666666,106881.64,15263.19,5587.72,1642.44,707,380,290,37,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div
ROS,15,1046.6333333333334,118587.16,18429.34,8360.33,3858.85,1361,785,497,79,b1aae451-aa19-496b-9e69-0c70ea677d93,VFN - ROS : 2024-7-19,2024,1.Div
VFN,16,1046.6333333333334,123076.22,20520.34,8466.14,4385.29,1401,627,685,89,b1aae451-aa19-496b-9e69-0c70ea677d93,VFN - ROS : 2024-7-19,2024,1.Div
B93,16,1076.8833333333334,112663.88,16371.63,5816.4800000000005,1895.58,830,380,379,71,b1d958a4-bfa8-428c-aca6-76634ba11a4e,B93 - KIF : 2024-7-19,2024,1.Div
KIF,15,1022.2666666666667,111990.40999999999,16154.47,6111.09,2172.62,887,447,357,83,b1d958a4-bfa8-428c-aca6-76634ba11a4e,B93 - KIF : 2024-7-19,2024,1.Div
EFB,16,1095.7833333333333,111402.58,15278.51,7206.65,2895.9,935,474,402,59,4536eff5-0dea-4dc7-bd46-0d599206b66a,EFB - OB : 2024-7-20,2024,1.Div
OB,14,1095.7833333333333,110659.18,14580.38,6580.76,2369.59,895,479,362,54,4536eff5-0dea-4dc7-bd46-0d599206b66a,EFB - OB : 2024-7-20,2024,1.Div
ACH,16,1042.4333333333334,118954.36,19350.23,6750.78,2322.23,823,444,334,45,efd96506-32b5-4a25-87c4-777fb0c075c6,ACH - FRE : 2024-7-21,2024,1.Div
FRE,16,1042.4333333333334,114489.72,17911.65,5989.389999999999,1903.68,747,362,344,41,efd96506-32b5-4a25-87c4-777fb0c075c6,ACH - FRE : 2024-7-21,2024,1.Div
HIK,16,1091.7166666666667,120528.86,17017.43,6322.44,2839.9,941,459,426,56,2f5c33f3-dbfb-4020-b717-fd8feb451ed5,HIL - HIK : 2024-7-21,2024,1.Div
HIL,16,1091.7333333333333,122046.82,18764.39,6574.85,2634.83,959,542,369,48,2f5c33f3-dbfb-4020-b717-fd8feb451ed5,HIL - HIK : 2024-7-21,2024,1.Div
EFB,15,1076.5166666666667,140394.83,26658.66,13375.27,8222.69,2142,1032,919,191,4e523cfa-0502-4a6e-93c8-0d80917e9ecd,HIK - EFB : 2024-7-26,2024,1.Div
HIK,16,1076.5333333333333,134416.11,25803.989999999998,13363.07,8100.23,2104,1069,833,202,4e523cfa-0502-4a6e-93c8-0d80917e9ecd,HIK - EFB : 2024-7-26,2024,1.Div
