competition,season,team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,games
1.Div,2025,AAB,15.5,1077.8768518518518,119164.32277777778,19935.014444444445,8334.754444444443,3143.681111111111,1179.3333333333333,594.8333333333334,518.7222222222222,65.77777777777777,18
1.Div,2025,ACH,15.705882352941176,1074.3049019607843,114150.69235294117,17891.71294117647,7418.087058823529,2874.0729411764705,1027.8823529411766,517.2352941176471,448.1764705882353,62.470588235294116,17
1.Div,2025,ARF,15.9375,1072.4291666666666,117667.998125,18539.5225,7925.019375,3387.7218749999997,1182.0,584.125,534.0,63.875,16
1.Div,2025,B93,15.764705882352942,1066.520588235294,122373.71352941178,21220.690588235295,8950.276470588236,3614.5070588235294,1304.8235294117646,665.4705882352941,576.1764705882352,63.1764705882353,17
1.Div,2025,EFB,15.823529411764707,1064.7686274509804,118497.88117647059,19150.678235294115,8742.193529411765,3982.52,1279.5294117647059,655.4705882352941,556.7647058823529,67.29411764705883,17
1.Div,2025,HBK,15.5,1060.8990740740742,115563.19388888888,18246.095555555556,7939.943888888888,3195.086111111111,1130.2777777777778,625.3333333333334,432.44444444444446,72.5,18
1.Div,2025,HIK,14.875,1067.5375,117149.33375,18016.019375,7108.196875,2888.37,1032.75,544.9375,426.5,61.3125,16
1.Div,2025,HIL,15.555555555555555,1067.6333333333334,121754.21722222223,20091.33,7701.334444444444,2706.978888888889,1091.7222222222222,575.9444444444445,460.94444444444446,54.833333333333336,18
1.Div,2025,HVI,15.117647058823529,1068.571568627451,117297.48647058824,18327.01529411765,7933.5,3149.601764705882,1105.0,586.2352941176471,454.1764705882353,64.58823529411765,17
1.Div,2025,KIF,15.375,1071.871875,124158.6,21815.9775,9364.408125,4050.4856250000003,1388.0625,678.4375,627.9375,81.6875,16
1.Div,2025,LBK,15.5625,1081.2791666666667,120164.581875,19668.455,8382.8275,3643.804375,1249.4375,629.6875,544.125,75.625,16
1.Div,2025,MID,15.5,1064.1685185185186,117021.89277777777,18667.176666666666,8014.625555555556,3270.5061111111113,1147.2777777777778,629.2777777777778,460.6111111111111,57.388888888888886,18
