competition,season,team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,games
1.Div,2024,ACH,15.67741935483871,1059.641935483871,116123.83838709678,18274.0,7416.8748387096775,2787.515161290323,1020.8709677419355,490.64516129032256,470.2258064516129,60.0,31
1.Div,2024,B93,15.785714285714286,1060.6892857142857,119901.62321428572,20040.1125,8023.731785714285,2940.3574999999996,1107.2142857142858,563.1071428571429,478.5,65.60714285714286,28
1.Div,2024,EFB,15.566666666666666,1059.1583333333333,116715.254,18586.785333333337,8523.160666666667,3789.652666666667,1211.3666666666666,607.7333333333333,541.9666666666667,61.666666666666664,30
1.Div,2024,FRE,15.833333333333334,1051.933888888889,117641.538,19611.570333333333,7938.359333333333,2959.1476666666663,1096.9666666666667,544.6666666666666,486.53333333333336,65.76666666666667,30
1.Div,2024,HBK,15.46875,1063.6177083333334,114219.8946875,17457.2615625,7281.99625,2848.885625,1046.625,584.34375,407.875,54.40625,32
1.Div,2024,HIK,15.483870967741936,1064.8881720430106,117880.86903225807,18050.274516129033,7640.846774193548,3284.6667741935485,1111.6774193548388,579.1290322580645,472.258064516129,60.29032258064516,31
1.Div,2024,HIL,15.655172413793103,1062.1080459770114,120241.68103448275,19249.029655172413,7462.745862068966,2462.6096551724136,1013.2068965517242,534.7586206896551,429.9310344827586,48.51724137931034,29
1.Div,2024,HVI,15.064516129032258,1055.2129032258065,113028.17806451613,17131.776774193546,7213.161612903226,2413.7851612903223,955.483870967742,533.8709677419355,369.9032258064516,51.70967741935484,31
1.Div,2024,KIF,15.482758620689655,1063.5718390804598,121168.81896551725,21158.56206896552,9098.219310344826,3597.916551724138,1311.2758620689656,655.4827586206897,563.9655172413793,91.82758620689656,29
1.Div,2024,OB,15.40625,1064.8557291666666,116084.1415625,17616.1365625,7131.051875,2656.2978125,978.78125,486.9375,439.0625,52.78125,32
1.Div,2024,ROS,15.483870967741936,1057.4935483870968,113835.45290322581,16536.65451612903,6820.160967741936,2618.0574193548387,974.2258064516129,494.03225806451616,429.03225806451616,51.16129032258065,31
1.Div,2024,VFN,15.6,1064.2633333333333,115404.17866666666,18217.943000000003,7459.494333333334,2928.2039999999997,1090.0,560.7333333333333,452.3666666666667,76.9,30
1.Div,2024,,0.0,61.43333333333333,6996.84,871.7,442.76,236.54,63.0,14.0,49.0,0.0,1
