team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,game_id,match_description,season,competition
HIL,15,1059.85,119734.81,19795.01,7948.91,2972.87,1011,516,446,49,501a06b1-5615-4e02-8544-942050901ad5,HIL - ACH : 2024-5-24,2023,1.Div
HIK,15,1071.9,123677.29,19233.38,9629.51,4872.36,1352,746,560,46,641c09c2-f351-44bc-98d9-b49d3c8ae06f,HIK - SJE : 2024-5-24,2023,1.Div
SJE,16,1071.9,127352.39,22445.22,10504.710000000001,5067.7,1437,741,636,60,641c09c2-f351-44bc-98d9-b49d3c8ae06f,HIK - SJE : 2024-5-24,2023,1.Div
AAB,13,1096.6666666666667,119682.91,19158.5,8515.38,4271.64,1354,701,577,76,d8636bab-f5ba-470c-8df0-7e8490508769,KIF - AAB : 2024-5-24,2023,1.Div
KIF,16,1096.6166666666666,119168.28,19556.35,9195.72,4643.81,1457,712,660,85,d8636bab-f5ba-470c-8df0-7e8490508769,KIF - AAB : 2024-5-24,2023,1.Div
FRE,15,1056.4833333333333,123749.77,20512.53,9212.92,3929.42,1395,602,711,82,f44e717a-61bb-4a0d-8c89-d5141b401f62,VFN - FRE : 2024-5-24,2023,1.Div
VFN,15,1056.4833333333333,121894.59,21087.35,8272.14,3682.2200000000003,1272,719,487,66,f44e717a-61bb-4a0d-8c89-d5141b401f62,VFN - FRE : 2024-5-24,2023,1.Div
B93,16,1025.85,119107.82,19845.5,7958.54,3125.55,1140,576,514,50,6e6bcdff-db84-412d-9d74-7e008719e44b,HEL - B93 : 2024-5-26,2023,1.Div
HEL,16,1025.85,113169.48,18313.22,7100.51,2620.34,983,543,405,35,6e6bcdff-db84-412d-9d74-7e008719e44b,HEL - B93 : 2024-5-26,2023,1.Div
HBK,15,1101.5833333333333,111720.52,15849.97,6515.0199999999995,2636.9,944,505,382,57,9ed74566-fe18-41eb-9e43-cf4d2c93ea31,HBK - NVD : 2024-5-26,2023,1.Div
NVD,15,1036.8666666666666,109052.99,16970.760000000002,6287.0,2285.11,841,475,336,30,9ed74566-fe18-41eb-9e43-cf4d2c93ea31,HBK - NVD : 2024-5-26,2023,1.Div
B93,16,1065.3,117671.35,18655.42,6766.84,2072.7,891,518,343,30,68fef0f3-ba96-4ffe-92ac-e3bd36843569,B93 - HIL : 2024-6-1,2023,1.Div
HIL,16,1065.3,113607.69,15635.310000000001,5611.51,2030.03,774,354,396,24,68fef0f3-ba96-4ffe-92ac-e3bd36843569,B93 - HIL : 2024-6-1,2023,1.Div
HEL,16,1125.1,121290.67,19658.239999999998,7895.36,2293.7,1031,520,472,39,e4b248fd-e029-46da-a6f9-9d5fde6f4685,NVD - HEL : 2024-6-1,2023,1.Div
NVD,16,1125.1,118827.12,18700.77,7860.87,2748.65,1107,616,461,30,e4b248fd-e029-46da-a6f9-9d5fde6f4685,NVD - HEL : 2024-6-1,2023,1.Div
ACH,16,1069.3833333333334,112110.29,13940.61,5599.83,1975.46,701,390,294,17,eb33d362-ae9a-447f-a13d-194d081707ed,ACH - HBK : 2024-6-1,2023,1.Div
HBK,16,1069.3833333333334,109726.48,14242.24,5074.54,1985.57,690,352,325,13,eb33d362-ae9a-447f-a13d-194d081707ed,ACH - HBK : 2024-6-1,2023,1.Div
FRE,16,1058.55,110800.74,15888.05,6369.01,1930.53,826,425,369,32,456419e1-d31f-4f03-b8eb-c611ae619aa2,FRE - HIK : 2024-6-2,2023,1.Div
HIK,16,1058.5333333333333,110115.45999999999,14903.029999999999,6357.9800000000005,2748.25,909,422,464,23,456419e1-d31f-4f03-b8eb-c611ae619aa2,FRE - HIK : 2024-6-2,2023,1.Div
AAB,16,1102.5666666666666,113777.75,16952.16,7237.64,3580.82,1038,499,490,49,4bf97bfe-0218-4e60-adc6-76c2607369cb,AAB - VFN : 2024-6-2,2023,1.Div
VFN,14,1102.5666666666666,105318.11,14974.63,6293.18,2379.86,818,491,292,35,4bf97bfe-0218-4e60-adc6-76c2607369cb,AAB - VFN : 2024-6-2,2023,1.Div
KIF,16,1093.4,123459.32,20789.57,9567.699999999999,3707.84,1278,777,405,96,ab5593c5-d60d-462b-9a6a-6b275928fc47,SJE - KIF : 2024-6-2,2023,1.Div
SJE,16,1093.3833333333334,120353.04,20328.79,8993.38,3404.0499999999997,1244,486,662,96,ab5593c5-d60d-462b-9a6a-6b275928fc47,SJE - KIF : 2024-6-2,2023,1.Div
