competition,season,team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,games
1.Div,2023,AAB,15.0,1086.2520833333333,120666.4321875,19438.36,8065.3928125,3171.67125,1139.375,606.75,466.34375,66.28125,32
1.Div,2023,ACH,15.6,1063.4972222222223,115777.17566666666,17772.688333333335,7269.318333333333,2735.550333333333,1016.6666666666666,570.7333333333333,398.7,47.233333333333334,30
1.Div,2023,B93,15.67741935483871,1068.2387096774194,118045.5664516129,18996.98483870968,7517.5635483870965,2419.187741935484,1006.3870967741935,527.8064516129032,435.7096774193548,42.87096774193548,31
1.Div,2023,FRE,15.806451612903226,1069.6354838709676,116298.91032258065,18252.94387096774,7386.883225806452,2683.3045161290324,1041.7096774193549,490.5483870967742,500.2258064516129,50.935483870967744,31
1.Div,2023,HBK,15.241379310344827,1073.9660919540229,116262.5775862069,17910.218620689655,7524.76,2945.0010344827588,1107.9310344827586,603.7241379310345,449.1034482758621,55.10344827586207,29
1.Div,2023,HEL,15.741935483870968,1081.3306451612902,120427.9564516129,19794.413548387096,7993.232903225807,2828.775806451613,1114.4516129032259,600.0322580645161,453.38709677419354,61.03225806451613,31
1.Div,2023,HIK,15.4,1069.4777777777776,116642.40833333334,17521.754,7283.7193333333325,2905.021333333333,1058.9,546.6666666666666,462.56666666666666,49.666666666666664,30
1.Div,2023,HIL,15.580645161290322,1066.6774193548388,120331.79290322581,19336.962903225805,7469.028387096774,2590.501612903226,1050.3870967741937,540.0,457.16129032258067,53.225806451612904,31
1.Div,2023,KIF,15.758620689655173,1082.3298850574713,117724.10827586208,19159.735517241377,8310.445172413793,3297.589655172414,1219.103448275862,618.1379310344828,509.82758620689657,91.13793103448276,29
1.Div,2023,NVD,15.333333333333334,1079.9377777777777,116835.15833333334,18482.629666666668,7493.325,2821.315666666667,1078.3,563.3,448.0,67.0,30
1.Div,2023,SJE,15.966666666666667,1072.9777777777776,121000.79566666667,20381.792333333335,8769.322666666667,3456.692666666667,1274.8666666666666,627.5666666666667,567.6,79.7,30
1.Div,2023,VFN,15.3125,1077.2010416666667,118244.0465625,19121.0165625,8122.6884375,3000.7678125,1169.40625,619.84375,480.78125,68.78125,32
