team,ID,player_name,number,position,ssiId_player,optaUuid_player,Minutes_seconds,Distance,Walking,Jogging,Running,High Speed Running,Sprinting,No. of High Intensity Runs,Sprint Distance TIP,No. of High Intensity Runs TIP,Distance OTIP,HSR Distance OTIP,Sprint Distance OTIP,No. of High Intensity Runs OTIP,Distance BOP,HSR Distance BOP,Sprint Distance BOP,No. of High Intensity Runs BOP,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,game_id,match_description,season,competition,Minutes
HBK,630742,Emil Villumsen,31.0,RB,45db220d-e0dd-4f31-b02a-8becd68bcb87,18g25rcpd99fe1gvr48uoqmtw,3693,7877.66,2155.05,3672.36,1362.22,499.06,188.97,83,59.29,31,3390.77,254.97,127.01,48,1899.03,31.96,2.67,4,11518.917952883836,3151.1697806661255,5369.819658813973,1991.87327376117,729.7384240454916,276.31681559707556,121.3647441104793,86.6953696181966,45.32900081234769,4958.071486596264,372.8237205523965,185.71730300568646,70.1868399675061,2776.8107229894395,46.73273761169781,3.9041429731925263,5.848903330625508,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,61.55
HVI,69889,Simon Makienok,24.0,CF,a8cd00c6-8f85-4929-95c3-18fd52c15be4,5e5fuj7mbkpvf0bug32ixxc5x,5657,9257.19,3618.01,3971.81,1209.44,406.07,51.87,42,15.23,18,3192.66,214.39,28.33,21,2221.02,27.36,8.3,3,8836.6317836309,3453.642213187202,3791.368923457663,1154.4946084497085,387.62206116316065,49.513523068764364,40.091921513169524,14.53809439632314,17.182252077072654,3047.616050910376,204.65016793353365,27.042955630192683,20.045960756584762,2120.1180837899947,26.11702315715043,7.9229273466501695,2.863708679512109,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,94.28333333333333
HVI,79465,Daniel Stenderup,2.0,LCB,d4b1b018-6c1f-4120-98d4-3535afe1b603,a30gduuv9d1s4pkthgu2jhyol,5657,9295.19,3434.1,4331.75,1076.04,359.33,93.96,41,3.12,0,3488.99,286.65,83.59,33,2307.75,50.4,7.25,8,8872.905426904721,3278.087325437511,4134.956690825526,1027.1550291674032,343.005479936362,89.69135584231924,39.13735195333216,2.978257026692593,0.0,3330.4836485769843,273.627364327382,79.79246950680573,31.500795474633197,2202.90790171469,48.11030581580343,6.92062930882093,7.6365564786989575,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,94.28333333333333
HVI,95216,Mathias Gehrt,8.0,CDM,d1bd4d3e-7e16-497f-819a-4bd1ba06c62e,d4w0nytrfhhtw8xqh7rofq6z9,3781,8279.58,2099.84,4072.42,1659.55,387.03,60.73,44,45.83,27,2971.69,167.64,14.9,17,1724.51,14.74,0.0,0,11824.843163184341,2998.978048135414,5816.204178788681,2370.1586881777307,552.7537688442211,86.73419730230097,62.84051838138059,65.45411266860619,38.56122718857445,4244.148637926475,239.42237503306,21.28008463369479,24.279291192806138,2462.9341444062416,21.051573657762496,0.0,0.0,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,63.016666666666666
HVI,212394,Christian Jakobsen,14.0,LCM,45cd3a17-e7f7-484d-a1cf-8fd4c26329e6,9r07ooissj5mz15g87x5rmbx1,5657,10820.9,3421.21,4678.36,1890.1,644.08,187.16,84,150.14,52,3782.86,250.78,37.02,30,2586.36,23.12,0.0,2,10329.301750044193,3265.7829238112076,4465.820045960756,1804.2319250486123,614.8191621000531,178.6572388191621,80.18384302633905,143.31907371398268,49.63761711154322,3611.003005126392,239.38695421601557,35.33816510517943,28.637086795121085,2468.8605267809794,22.069648223439987,0.0,1.9091391196747394,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,94.28333333333333
HVI,228054,Mads Kaalund Larsen,11.0,RCM,f0296137-878b-4bc6-9a5b-0a9bf9cabace,6uwvbagahvoavs630k8uksxjp,4667,8439.03,2675.17,3953.29,1247.65,466.36,96.56,48,11.66,13,3043.36,296.32,77.21,32,1809.22,18.29,7.7,3,9764.465823869725,3095.332761945576,4574.194557531605,1443.6061709877865,539.6065995286051,111.72573387615171,55.53889007928005,13.491322048425113,15.041782729805014,3521.3507606599533,342.8600814227555,89.33661881294192,37.02592671952004,2093.3764731090637,21.16263124062567,8.909363616884509,3.471180629955003,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,77.78333333333333
HVI,439089,Andreas Smed,22.0,LW,5111bafd-5e91-4933-8181-da697d872728,dncrhma6gwcn6pxiu7hfc6qz8,5134,10573.46,2938.97,4874.53,1842.55,715.6,201.81,93,97.44,45,3588.17,419.99,96.37,41,2774.4,43.87,8.0,7,11121.28632645111,3091.242306194001,5127.086482275029,1938.0151928320997,752.6762758083366,212.26606934164394,97.81846513439814,102.48850798597584,47.331515387612,3774.0783015192837,441.7502921698481,101.36306973120375,43.12426957537983,2918.1456953642387,46.14296844565641,8.414491624464356,7.3626801714063115,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,85.56666666666666
HVI,514437,Lirim Qamili,7.0,RW,fd7ff32d-b971-49ca-ac7b-256bdcc38220,3ejggtt1du1cui3wc1f8oqx62,5657,9707.72,3486.83,3904.23,1335.75,637.68,343.23,101,138.6,49,3399.44,296.69,198.72,49,2306.78,39.14,5.91,3,9266.694007424428,3328.4217783277354,3726.8591126038536,1275.0662895527664,608.7099169170939,327.63691002298043,96.41152554357433,132.30334099345941,46.773908432031114,3245.001944493548,283.2112427081492,189.6920629308821,46.773908432031114,2201.9819692416477,37.36185257203465,5.641506098638855,2.863708679512109,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,94.28333333333333
HVI,544949,Matti Olsen,5.0,RCB,e7b6e1f7-7c01-4e90-83bb-c21a30a8d3af,dshwz1df0rbe0fztksawvd0wl,5657,9319.84,3008.66,4723.28,1112.91,357.46,117.54,48,2.96,5,3466.8,284.61,114.58,41,2214.08,19.51,0.0,2,8896.435566554712,2871.9752519003005,4508.699310588651,1062.350008838607,341.22043485946614,112.20010606328442,45.81933887219375,2.8255258971186143,4.772847799186848,3309.301750044193,271.6800424253138,109.37458016616581,39.13735195333216,2113.493371044723,18.623652112427084,0.0,1.9091391196747394,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,94.28333333333333
HVI,544954,Ahmed Iljazovski,15.0,LB,dc7941c6-3ba4-4c5d-bcdb-c4dcc291d186,bfvdr7ckiersz26ya2kq9f1g4,4679,8614.27,2594.15,4022.82,1244.92,564.69,187.69,65,91.79,33,2976.36,300.68,95.9,31,2032.1,20.12,0.0,1,9941.666595426374,2993.889720025647,4642.707416114555,1436.753152382988,651.7046377431076,216.61166916007696,75.01602906603975,105.93417396879676,38.08506091045095,3434.9955118615094,347.0126095319513,110.67749519128019,35.77687540072665,2345.231887155375,23.22034622782646,0.0,1.15409275486215,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,77.98333333333333
