player_matchName,player_playerId,contestantId,team_name,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,label,match_id,date,totalLongBalls,accurateCrossNocorner,totalCross,possLostAll,goals,attemptsConcededIbox,goalAssist
V. Birksø,eiy7fhqxdx3ypg4dq4454hpbe,6wwwud48qahpwrfxs20334qk5,Fredericia,NaN,NaN,Goalkeeper,Centre,NaN,18,NaN,NaN,1,22,1,NaN,NaN,27,24,90,19,4,6,7,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,10,NaN,NaN,9,NaN,5,NaN
D. Kristjánsson,4bojyjyvkdgm1lss6n37q2t5g,6wwwud48qahpwrfxs20334qk5,Fredericia,NaN,NaN,Defender,Left,NaN,30,NaN,1,1,19,3,NaN,12,36,23,62,14,3,5,15,6,8,NaN,1,NaN,2,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,1,NaN,1,7,NaN,4,NaN
J. Juelsgård,ei3xmwfz8dah5e4lcbu4w98t1,6wwwud48qahpwrfxs20334qk5,Fredericia,5,1,Defender,Left/Centre,NaN,49,NaN,3,2,30,3,NaN,19,59,32,90,23,7,9,29,6,9,NaN,1,NaN,6,1,NaN,1,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,11,NaN,2,14,NaN,5,NaN
F. Rieper,3od63zrf6cay4d6ync9i2iuqc,6wwwud48qahpwrfxs20334qk5,Fredericia,2,2,Defender,Centre/Right,NaN,68,NaN,5,2,51,5,NaN,24,75,52,90,37,13,6,30,11,14,NaN,2,NaN,1,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,6,NaN,NaN,7,NaN,5,NaN
A. Dahl,65g5cfsdr10378yvmkpm19444,6wwwud48qahpwrfxs20334qk5,Fredericia,4,NaN,Defender,Right,NaN,34,NaN,4,5,11,3,NaN,26,43,13,90,11,7,6,34,12,17,2,NaN,2,2,NaN,3,NaN,NaN,3,NaN,NaN,1,2,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,2,2,3,14,NaN,5,NaN
G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,6wwwud48qahpwrfxs20334qk5,Fredericia,7,1,Midfielder,Left/Centre,NaN,41,7,11,4,12,4,5,29,50,15,90,9,7,4,36,20,25,2,NaN,2,NaN,NaN,1,NaN,2,10,NaN,NaN,NaN,NaN,NaN,NaN,2,2,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,7,NaN,1,18,NaN,5,NaN
F. Winther,7rt4wpc0qphwnvhn8jeazesfe,6wwwud48qahpwrfxs20334qk5,Fredericia,NaN,NaN,Midfielder,Centre,NaN,8,NaN,1,1,5,1,NaN,3,10,5,12,3,NaN,1,5,3,3,1,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,2,NaN,1,NaN
J. Jessen,6wfu6s6xo5zjeke21fgbouql0,6wwwud48qahpwrfxs20334qk5,Fredericia,7,NaN,Midfielder,Centre/Right,NaN,36,5,6,6,12,1,3,25,44,14,76,11,5,2,32,15,21,3,NaN,3,1,1,1,1,1,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,3,NaN,1,14,NaN,4,NaN
A. Muçolli,289rctmvd5ppy9zqn98jbe4et,6wwwud48qahpwrfxs20334qk5,Fredericia,4,1,Striker,Left/Centre,NaN,28,6,4,5,8,NaN,4,22,39,8,90,12,6,3,36,13,23,3,NaN,3,3,NaN,4,NaN,2,10,1,NaN,NaN,1,NaN,NaN,1,1,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,4,1,4,18,NaN,5,NaN
A. Bøndergaard,9jqox80arzpytv1b136jobhpm,6wwwud48qahpwrfxs20334qk5,Fredericia,4,1,Striker,Centre,NaN,8,1,3,NaN,3,NaN,1,8,9,3,76,1,NaN,NaN,9,8,9,1,1,1,NaN,NaN,NaN,NaN,2,11,2,NaN,NaN,NaN,NaN,NaN,2,2,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,4,NaN,4,NaN
