x,y,playerName,teamName,pass_receiver,period,gameClock,label,date,bypassed_opponents,bypassed_defenders,closest_opponent_distance
49.1,59.0,O. Addo,B 93,G. Hojbjerg,1,142.0,B 93 vs Esbjerg,2024-10-04,0,0,2.2
81.2,70.6,G. Hojbjerg,B 93,N. Thomsen,1,146.0,B 93 vs Esbjerg,2024-10-04,-1,0,5.17
79.8,49.3,N. Thomsen,B 93,O. Addo,1,148.0,B 93 vs Esbjerg,2024-10-04,-2,-2,2.17
5.2,58.7,J. Meyer,Esbjerg,D. Gadegaard,1,170.0,B 93 vs Esbjerg,2024-10-04,0,0,12.3
9.7,36.7,D. Gadegaard,Esbjerg,T. Freriks,1,174.0,B 93 vs Esbjerg,2024-10-04,6,0,6.5
45.7,50.0,M. Mouritz,B 93,J. Egeris,1,180.0,B 93 vs Esbjerg,2024-10-04,-3,-2,2.53
69.0,6.7,J. Mortensen,Esbjerg,L. From,1,192.0,B 93 vs Esbjerg,2024-10-04,1,0,2.05
7.6,45.7,A. Vaporakis,B 93,J. Egeris,1,206.0,B 93 vs Esbjerg,2024-10-04,0,0,4.27
13.3,31.5,J. Egeris,B 93,N. Morberg,1,210.0,B 93 vs Esbjerg,2024-10-04,0,0,7.1
16.2,48.5,N. Morberg,B 93,J. Okore,1,213.0,B 93 vs Esbjerg,2024-10-04,0,0,7.6
9.2,59.0,J. Okore,B 93,J. Egeris,1,215.0,B 93 vs Esbjerg,2024-10-04,0,0,11.0
13.8,35.4,J. Egeris,B 93,J. Okore,1,218.0,B 93 vs Esbjerg,2024-10-04,0,0,5.08
17.4,79.4,J. Okore,B 93,G. Hojbjerg,1,222.0,B 93 vs Esbjerg,2024-10-04,0,0,16.36
32.5,93.8,G. Hojbjerg,B 93,J. Okore,1,225.0,B 93 vs Esbjerg,2024-10-04,0,0,10.41
26.8,78.1,J. Okore,B 93,G. Hojbjerg,1,228.0,B 93 vs Esbjerg,2024-10-04,0,0,10.48
35.0,92.9,G. Hojbjerg,B 93,J. Okore,1,230.0,B 93 vs Esbjerg,2024-10-04,-1,0,4.58
27.6,75.9,J. Okore,B 93,J. Egeris,1,233.0,B 93 vs Esbjerg,2024-10-04,0,0,12.03
25.1,41.6,J. Egeris,B 93,O. Jakobsen,1,235.0,B 93 vs Esbjerg,2024-10-04,6,1,10.04
48.6,44.2,O. Jakobsen,B 93,J. Okore,1,242.0,B 93 vs Esbjerg,2024-10-04,-1,0,3.37
35.4,66.9,J. Okore,B 93,O. Addo,1,243.0,B 93 vs Esbjerg,2024-10-04,2,0,12.92
52.1,70.6,O. Addo,B 93,J. Okore,1,245.0,B 93 vs Esbjerg,2024-10-04,-2,0,4.85
33.0,70.9,J. Okore,B 93,O. Addo,1,246.0,B 93 vs Esbjerg,2024-10-04,1,0,7.13
63.5,62.7,N. Strunck,Esbjerg,L. Montano,1,254.0,B 93 vs Esbjerg,2024-10-04,-4,-2,2.16
41.3,79.2,L. Montano,Esbjerg,T. Stagaard,1,257.0,B 93 vs Esbjerg,2024-10-04,-2,0,14.0
36.5,73.5,T. Stagaard,Esbjerg,Y. Bourhane,1,260.0,B 93 vs Esbjerg,2024-10-04,1,0,9.74
44.2,55.5,Y. Bourhane,Esbjerg,T. Stagaard,1,261.0,B 93 vs Esbjerg,2024-10-04,-1,0,2.98
