type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
territorial,50.7,49.3,NaN,5,26-30,50.0,50.0,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,5,31-35,55.4,44.6,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,5,36-40,58.9,41.1,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,5,41-45,69.0,31.0,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,5,46-50,46.9,53.1,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,5,51-55,24.1,75.9,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,5,56-60,45.0,55.0,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,5,61-65,59.5,40.5,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,5,66-70,45.6,54.4,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,5,71-75,24.4,75.6,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,5,76-80,52.0,48.0,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,5,81-85,34.1,65.9,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
