type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
territorialThird,38.9,16.6,44.5,15,16-30,36.2,25.4,38.4,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,15,31-45,43.2,18.7,38.1,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,15,46-60,37.5,11.8,50.7,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,15,61-75,37.1,6.8,56.1,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,15,76-90,37.1,15.5,47.4,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,45,0-45,40.4,21.4,38.2,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
territorialThird,38.9,16.6,44.5,45,46-90,37.2,11.2,51.6,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
ballPossession,45.0,55.0,NaN,5,0-5,45.8,54.2,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,6-10,57.8,42.2,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,11-15,71.4,28.6,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,16-20,61.4,38.6,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,21-25,43.3,56.7,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,26-30,52.7,47.3,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,31-35,16.2,83.8,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,36-40,56.5,43.5,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,41-45,37.9,62.1,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,46-50,21.0,79.0,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,51-55,51.7,48.3,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,56-60,50.0,50.0,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,61-65,63.2,36.8,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,66-70,34.1,65.9,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,71-75,59.4,40.6,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,76-80,28.6,71.4,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,81-85,49.0,51.0,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,5,86-90,38.1,61.9,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,15,0-15,57.8,42.2,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,15,16-30,51.2,48.8,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,15,31-45,33.2,66.8,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,15,46-60,39.5,60.5,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,15,61-75,52.6,47.4,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,15,76-90,39.1,60.9,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,45,0-45,46.6,53.4,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,45.0,55.0,NaN,45,46-90,43.2,56.8,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,0-5,27.1,72.9,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,6-10,34.4,65.6,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,11-15,69.0,31.0,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,16-20,47.7,52.3,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,21-25,41.8,58.2,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,26-30,56.4,43.6,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,31-35,50.0,50.0,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,36-40,63.0,37.0,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,41-45,53.4,46.6,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,46-50,45.2,54.8,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,51-55,48.3,51.7,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,56-60,45.2,54.8,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,61-65,68.4,31.6,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,66-70,86.4,13.6,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,71-75,65.6,34.4,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,76-80,71.4,28.6,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,81-85,54.9,45.1,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,5,86-90,27.0,73.0,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,15,0-15,41.6,58.4,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,15,16-30,48.2,51.8,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,15,31-45,54.3,45.7,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,15,46-60,46.3,53.7,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,15,61-75,73.7,26.3,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,15,76-90,48.1,51.9,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,45,0-45,48.4,51.6,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorial,51.5,48.5,NaN,45,46-90,55.0,45.0,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,0-5,58.3,6.2,35.5,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,6-10,45.3,15.6,39.1,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,11-15,11.9,45.2,42.9,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,16-20,34.1,27.3,38.6,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,21-25,35.8,29.9,34.3,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,26-30,16.4,38.2,45.4,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,31-35,28.7,28.7,42.6,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,36-40,30.4,41.3,28.3,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,41-45,25.9,20.7,53.4,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,46-50,41.9,11.3,46.8,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,51-55,20.7,20.7,58.6,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,56-60,31.0,19.0,50.0,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,61-65,12.3,42.1,45.6,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,66-70,2.3,54.5,43.2,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,71-75,15.6,50.0,34.4,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,76-80,16.7,45.2,38.1,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,81-85,21.6,23.5,54.9,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,5,86-90,47.6,12.7,39.7,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,15,0-15,40.3,20.8,38.9,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,15,16-30,28.9,31.9,39.2,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,15,31-45,28.3,29.3,42.4,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,15,46-60,31.5,16.7,51.8,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,15,61-75,9.8,48.1,42.1,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,15,76-90,30.8,25.0,44.2,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,45,0-45,32.1,27.6,40.3,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
territorialThird,28.7,28.2,43.1,45,46-90,24.8,28.8,46.4,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19,Vendsyssel,Roskilde
ballPossession,52.8,47.2,NaN,5,0-5,56.1,43.9,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,6-10,65.3,34.7,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,11-15,36.2,63.8,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,16-20,36.6,63.4,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,21-25,81.6,18.4,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,26-30,57.4,42.6,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,31-35,34.8,65.2,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,36-40,61.1,38.9,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,41-45,41.0,59.0,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,46-50,55.4,44.6,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,51-55,64.2,35.8,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,56-60,55.6,44.4,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,61-65,76.9,23.1,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,66-70,61.9,38.1,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,71-75,60.5,39.5,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,76-80,34.2,65.8,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,81-85,31.6,68.4,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,5,86-90,50.0,50.0,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,15,0-15,51.8,48.2,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,15,16-30,57.9,42.1,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,15,31-45,44.1,55.9,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,15,46-60,58.6,41.4,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,15,61-75,68.5,31.5,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,15,76-90,42.8,57.2,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,45,0-45,51.0,49.0,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
ballPossession,52.8,47.2,NaN,45,46-90,54.6,45.4,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,0-5,56.1,43.9,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,6-10,57.1,42.9,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,11-15,79.3,20.7,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,16-20,61.0,39.0,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,21-25,55.3,44.7,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,26-30,53.2,46.8,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,31-35,52.2,47.8,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,36-40,19.4,80.6,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,41-45,47.5,52.5,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,46-50,36.9,63.1,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,51-55,58.5,41.5,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,56-60,33.3,66.7,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,61-65,57.7,42.3,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,66-70,71.4,28.6,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,71-75,71.1,28.9,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,76-80,89.5,10.5,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,81-85,73.7,26.3,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,5,86-90,49.0,51.0,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,15,0-15,64.6,35.4,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,15,16-30,56.3,43.7,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,15,31-45,42.0,58.0,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,15,46-60,44.1,55.9,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,15,61-75,64.9,35.1,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,15,76-90,62.8,37.2,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,45,0-45,54.7,45.3,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorial,55.9,44.1,NaN,45,46-90,57.1,42.9,NaN,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,0-5,17.5,24.6,57.9,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,6-10,14.3,38.8,46.9,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,11-15,12.1,43.1,44.8,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,16-20,22.0,29.3,48.7,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,21-25,28.9,21.1,50.0,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,26-30,23.4,25.5,51.1,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,31-35,41.3,43.5,15.2,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,36-40,50.0,13.9,36.1,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,41-45,34.4,27.9,37.7,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,46-50,29.2,16.9,53.9,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,51-55,15.1,26.4,58.5,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,56-60,37.0,33.3,29.7,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,61-65,17.3,26.9,55.8,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,66-70,9.5,42.9,47.6,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,71-75,5.3,36.8,57.9,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
territorialThird,24.4,31.9,43.7,5,76-80,5.3,57.9,36.8,Esbjerg vs OB,5vjn0dtuqrd9fmnqncz9uxn9w,2024-07-20,Esbjerg,OB
