team_name,label,Transition xG difference,Transition xG,Transition xG against,Transition xG share
Hillerød,Horsens vs Hillerød 2024-07-26,-0.1,0.37,-0.47,0.44
Hillerød,Hvidovre vs Hillerød 2024-08-20,0.07,0.5,-0.43,0.88
Hillerød,Kolding vs Hillerød 2024-10-18,-1.44,0.0,-1.44,0.0
Hillerød,OB vs Hillerød 2024-08-10,0.3,0.43,-0.13,0.5
Hillerød,Vendsyssel vs Hillerød 2024-09-14,0.52,0.58,-0.05,0.36
Hobro,B 93 vs Hobro 2024-11-22,1.68,1.76,-0.09,0.73
Hobro,Esbjerg vs Hobro 2024-11-03,-0.82,0.59,-1.41,0.27
Hobro,Fredericia vs Hobro 2024-09-16,1.18,1.75,-0.57,0.61
Hobro,HB Køge vs Hobro 2024-10-18,0.61,0.65,-0.04,0.34
Hobro,Hillerød vs Hobro 2024-07-21,-0.62,0.94,-1.56,0.7
Hobro,Hobro vs B 93 2024-09-02,-0.13,0.67,-0.8,0.41
Hobro,Hobro vs Esbjerg 2024-07-26,-1.34,0.7,-2.04,0.35
Hobro,Hobro vs Fredericia 2024-10-27,-0.94,0.18,-1.12,0.27
Hobro,Hobro vs HB Køge 2024-08-02,0.13,0.28,-0.15,0.14
Hobro,Hobro vs Hillerød 2024-11-11,0.34,0.51,-0.17,0.35
Hobro,Hobro vs Hvidovre 2024-08-17,0.26,0.36,-0.09,0.43
Hobro,Hobro vs Kolding 2024-09-20,-0.07,0.27,-0.34,0.25
Hobro,Hobro vs OB 2024-08-25,-1.31,0.0,-1.31,0.0
Hobro,Hobro vs Roskilde 2024-10-04,-0.17,0.08,-0.25,0.03
Hobro,Horsens vs Hobro 2024-09-28,-0.82,0.42,-1.24,0.82
Hobro,Roskilde vs Hobro 2024-08-10,-0.02,0.16,-0.18,0.06
Hobro,Vendsyssel vs Hobro 2024-08-21,0.28,0.88,-0.6,0.67
Horsens,B 93 vs Horsens 2024-09-21,1.99,2.03,-0.05,0.59
Horsens,Esbjerg vs Horsens 2024-08-04,-0.06,0.16,-0.22,0.6
Horsens,Fredericia vs Horsens 2024-10-05,0.56,0.76,-0.2,0.42
Horsens,HB Køge vs Horsens 2024-08-11,2.85,2.92,-0.07,0.69
Horsens,Hillerød vs Horsens 2024-10-25,-0.3,0.53,-0.83,0.62
Horsens,Horsens vs B 93 2024-11-01,1.57,1.84,-0.27,0.64
Horsens,Horsens vs Fredericia 2024-07-21,-0.05,0.11,-0.16,0.14
Horsens,Horsens vs HB Køge 2024-11-24,-0.06,0.44,-0.5,0.48
Horsens,Horsens vs Hillerød 2024-07-26,0.1,0.47,-0.37,0.34
Horsens,Horsens vs Hobro 2024-09-28,0.82,1.24,-0.42,0.43
Horsens,Horsens vs Hvidovre 2024-10-20,1.99,2.39,-0.4,0.6
Horsens,Horsens vs Kolding 2024-08-16,-1.46,0.03,-1.5,0.09
Horsens,Horsens vs OB 2024-09-14,0.16,0.47,-0.31,0.2
Horsens,Horsens vs Vendsyssel 2024-08-24,0.2,0.24,-0.04,0.08
Horsens,Hvidovre vs Horsens 2024-08-30,-0.59,0.46,-1.05,0.23
Horsens,OB vs Horsens 2024-11-09,-0.08,0.47,-0.55,0.44
Horsens,Roskilde vs Horsens 2024-08-20,-0.61,0.33,-0.95,0.27
Hvidovre,Fredericia vs Hvidovre 2024-08-25,0.28,0.65,-0.38,0.57
