playerName,playerId,contestantId,team_name,typeId,321,322,9,24,25,26,label,match_id,date
M. Ladefoged,bdxcd38y99nrbv72uh2v4fhg4,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,16,0.5724717974662781,0.9906999468803406,,,NaN,NaN,Roskilde vs Esbjerg,6b3jwbgjt8nnugx6thlhzbo5w,2024-08-30
L. From,6hmsrr08cllpl4iumu92zskbt,f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,15,0.0266432985663414,0.0,,,true,NaN,Roskilde vs Esbjerg,6b3jwbgjt8nnugx6thlhzbo5w,2024-08-30
F. Engqvist,e0nkqbugb4xkpluu5e42zf2ms,bd4qakf7j0wwie8wke9km7uj8,Roskilde,13,0.271060585975647,0.0,,,NaN,NaN,Roskilde vs Esbjerg,6b3jwbgjt8nnugx6thlhzbo5w,2024-08-30
A. Muçolli,289rctmvd5ppy9zqn98jbe4et,6wwwud48qahpwrfxs20334qk5,Fredericia,15,0.02048611454665661,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
W. Madsen,7ztdirfvd9d0x2yw1v051xzbo,6wwwud48qahpwrfxs20334qk5,Fredericia,13,0.03361338749527931,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
M. Kristensen,bp232fgjrfyok2471ec7u1tcl,b2vft81kyjurzbmekvgrqwr64,Hobro,13,0.034978173673152924,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
Z. Hyltoft,b0yv1pcxifawqx6r1cfqq3otm,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.017278648912906647,0.0388367623090744,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,b2vft81kyjurzbmekvgrqwr64,Hobro,13,0.007230521645396948,0.0,NaN,,true,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
A. Bøndergaard,9jqox80arzpytv1b136jobhpm,6wwwud48qahpwrfxs20334qk5,Fredericia,15,0.08908981829881668,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
A. Muçolli,289rctmvd5ppy9zqn98jbe4et,6wwwud48qahpwrfxs20334qk5,Fredericia,13,0.04008447751402855,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.14399482309818268,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.12079761922359467,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
E. Søgaard,cflwegqpzch8y30pb3dhigqnd,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.09430917352437973,0.22609050571918488,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,6wwwud48qahpwrfxs20334qk5,Fredericia,13,0.027365483343601227,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
A. Bøndergaard,9jqox80arzpytv1b136jobhpm,6wwwud48qahpwrfxs20334qk5,Fredericia,14,0.06933798640966415,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.05740969255566597,0.11032517999410629,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
O. Buch,y4dl1rer075c9wz6zhx7skbt,6wwwud48qahpwrfxs20334qk5,Fredericia,13,0.05513569712638855,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.02780749462544918,0.08177310228347778,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
J. Jessen,6wfu6s6xo5zjeke21fgbouql0,6wwwud48qahpwrfxs20334qk5,Fredericia,15,0.030631545931100845,0.09138511121273041,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
V. Rasmussen,dwuxps3jv2852642q000wep6,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.03971723094582558,0.16167357563972473,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
J. Lindekilde,23sc7wc7my7wes6cuaxw1v0no,6wwwud48qahpwrfxs20334qk5,Fredericia,15,0.11110001802444458,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,6wwwud48qahpwrfxs20334qk5,Fredericia,15,0.09774590283632278,0.03168446943163872,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,b2vft81kyjurzbmekvgrqwr64,Hobro,13,0.17582426965236664,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.7098640203475952,0.5197956562042236,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
A. Dahl,65g5cfsdr10378yvmkpm19444,6wwwud48qahpwrfxs20334qk5,Fredericia,15,0.06138845160603523,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
W. Madsen,7ztdirfvd9d0x2yw1v051xzbo,6wwwud48qahpwrfxs20334qk5,Fredericia,14,0.04109451547265053,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,b2vft81kyjurzbmekvgrqwr64,Hobro,13,0.026584282517433167,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.06377747654914856,0.2520599961280823,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
