playerName,playerId,contestantId,team_name,318.0,9.0,24.0,25.0,26.0,label,match_id,date
E. Nnamani,8i0o1b8rjsab9se3v6vteqmfo,ajtb177oqwawkdwbqhldmq6mx,B 93,0.00001501,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
J. Bonde,e9o7q10wnhex4e8eo47mobbvt,dbl7ir1qugqz8nvp1vzn8im50,OB,0.00061214,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
M. Wohlgemuth,e8vt8711wb40afht2v13omket,ajtb177oqwawkdwbqhldmq6mx,B 93,0.00004249,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
V. Myhra,4clmd8g8jogdfvauhijd7n55h,dbl7ir1qugqz8nvp1vzn8im50,OB,0.00000055,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
M. Wohlgemuth,e8vt8711wb40afht2v13omket,ajtb177oqwawkdwbqhldmq6mx,B 93,0.00001003,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
T. Slotsager,wrckom9vy4352nos44600ydw,dbl7ir1qugqz8nvp1vzn8im50,OB,0.00000069,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
B. Paulsen,dqtarwrqvkopmzbt2ovp2dln9,dbl7ir1qugqz8nvp1vzn8im50,OB,0.00000067,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
J. Egeris,2uellcocrvapu7o70g5zdcmad,ajtb177oqwawkdwbqhldmq6mx,B 93,0.00000645,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
L. Owusu,e42jh6bbwn4aybdnysonrvutx,dbl7ir1qugqz8nvp1vzn8im50,OB,0.00021966,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
M. Ejdum,2z8u8kyv91shp0la8alkn6kus,dbl7ir1qugqz8nvp1vzn8im50,OB,0.0011444,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
O. Søe,9213debwtuph6cjborx73sx78,ajtb177oqwawkdwbqhldmq6mx,B 93,0.00001708,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
M. Jensen,1b32j0lqi7ggcabdra4tygxzo,dbl7ir1qugqz8nvp1vzn8im50,OB,0.26898903,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
M. Mouritz,ezbixgm2km8iapnsl57bn4wkp,ajtb177oqwawkdwbqhldmq6mx,B 93,0.00000524,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
N. Mouritsen,eyvv6b94feknnp1uew6n0ytat,ajtb177oqwawkdwbqhldmq6mx,B 93,0.00001477,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
T. Slotsager,wrckom9vy4352nos44600ydw,dbl7ir1qugqz8nvp1vzn8im50,OB,0.00000126,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
M. Wohlgemuth,e8vt8711wb40afht2v13omket,ajtb177oqwawkdwbqhldmq6mx,B 93,0.00000846,,NaN,NaN,NaN,B 93 vs OB,63xeqztss8336rl4y45w74zys,2024-08-16
