contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,16,17,18,19,20,22,23,24,25,26,28,29,56,63,64,72,73,74,75,76,77,78,79,80,81,82,84,85,89,102,103,108,120,122,133,138,146,147,153,154,214,215,230,231,233,274,276,280,281,282,321,322,326,327,328,374,375,391,395,396,458,468,472,sequenceId,possessionId,keyPass,140,141,318,210,6,9,107,60,61,83,87,113,324,353,390,62,86,100,254,323,338,121,136,160
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2833770811,629,13,2,60,13,G. Larsen,3mgrufy83uhzs9liw8pwxi784,1,94.0,34.6,2025-08-10T15:18:58.305,2025-08-10T15:20:06,1.0,"{""id"": 5833236389, ""qualifierId"": 22}",c0oowstsjlw429lgzrkqhbu38,HB Køge vs AaB,1_Division,2025-08-10,DNK,NaN,NaN,NaN,NaN,,true,true,NaN,,NaN,NaN,,true,Center,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,true,,55.1,58.3,,,,,,NaN,NaN,,NaN,NaN,true,98.9,46.6,NaN,,,,,,0.05226344242691994,0.0,3,2,NaN,NaN,NaN,,,,NaN,,,,,,,,,,,,,,NaN,NaN,,,true,,,NaN,NaN,NaN,NaN,NaN,NaN,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2833779721,675,13,2,71,24,A. Maarup,cf6zq49y8v1ekw07e7yi3uac,1,92.1,46.4,2025-08-10T15:30:09.665,2025-08-10T15:31:20,1.0,"{""id"": 5833286765, ""qualifierId"": 17}",c0oowstsjlw429lgzrkqhbu38,HB Køge vs AaB,1_Division,2025-08-10,DNK,NaN,NaN,true,NaN,,true,true,NaN,,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,40.5,8.3,,,,,,NaN,NaN,,true,NaN,NaN,98.6,49.3,NaN,,,,,,0.20816262066364288,0.0,2,2,true,NaN,NaN,,,,NaN,,,,,,,,,,,,,,NaN,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2833787475,740,14,2,79,1,N. Helenius,rv6r0bwbl75er38wklyfpsr9,1,91.7,49.7,2025-08-10T15:37:47.095,2025-08-10T16:07:43,1.0,"{""id"": 5833455833, ""qualifierId"": 230, ""value"": ""97.8""}",c0oowstsjlw429lgzrkqhbu38,HB Køge vs AaB,1_Division,2025-08-10,DNK,true,NaN,true,NaN,,NaN,NaN,NaN,,true,NaN,,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,48.5,39.9,,,,,,NaN,NaN,,true,NaN,NaN,97.8,48.0,NaN,,,,,,0.09259422868490219,0.0,3,2,true,NaN,NaN,,,,NaN,,,,,,,,,,,,,,NaN,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2833788163,764,15,2,79,34,A. Gøthler,d2ukggo2v5jsw4pctznmaijo4,1,90.9,56.8,2025-08-10T15:38:19.876,2025-08-10T16:17:55,1.0,"{""id"": 5833333699, ""qualifierId"": 321, ""value"": ""0.07127100229263306""}",c0oowstsjlw429lgzrkqhbu38,HB Køge vs AaB,1_Division,2025-08-10,DNK,true,NaN,true,NaN,,NaN,true,NaN,,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,NaN,NaN,NaN,,49.7,28.5,,,,,,98.5,52.2,,true,NaN,NaN,NaN,NaN,743,,,,,,0.07127100229263306,0.1275523453950882,2,2,true,NaN,NaN,,,,NaN,,,,,,,,,,,,,,NaN,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2833803181,874,13,2,94,14,S. Larsen,4m7gr5z6b40dj02yrmlwgeluc,1,78.0,34.0,2025-08-10T15:52:59.800,2025-08-10T15:54:15,NaN,"{""id"": 5833417773, ""qualifierId"": 22}",c0oowstsjlw429lgzrkqhbu38,HB Køge vs AaB,1_Division,2025-08-10,DNK,NaN,NaN,NaN,true,,NaN,true,NaN,,NaN,NaN,,NaN,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,57.6,15.3,,,,,,NaN,NaN,,NaN,NaN,true,99.5,48.0,NaN,,,,,,0.024076975882053375,0.0,2,3,NaN,NaN,NaN,,,,true,,,,,,,,,,,,,,NaN,true,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2833799157,880,15,2,89,31,N. Helenius,rv6r0bwbl75er38wklyfpsr9,1,95.4,52.3,2025-08-10T15:48:16.949,2025-08-10T15:49:46,1.0,"{""id"": 5833397635, ""qualifierId"": 147, ""value"": ""52.0""}",c0oowstsjlw429lgzrkqhbu38,HB Køge vs AaB,1_Division,2025-08-10,DNK,NaN,true,NaN,NaN,,true,true,NaN,,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,true,NaN,NaN,,51.2,19,,,,,,96.7,52.0,,true,NaN,NaN,98.6,50.7,825,,,,,,0.28154227137565613,0.0,3,1,NaN,NaN,NaN,,,,NaN,,,,,,,,,,,,,,NaN,NaN,,,NaN,,,NaN,NaN,true,NaN,NaN,NaN,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2833799423,885,15,2,89,45,K. John,5vrsflxiv2dgfa8199a2qxsve,1,92.4,68.1,2025-08-10T15:48:30.478,2025-08-10T15:49:41,1.0,"{""id"": 5833671459, ""qualifierId"": 328}",c0oowstsjlw429lgzrkqhbu38,HB Køge vs AaB,1_Division,2025-08-10,DNK,NaN,NaN,NaN,NaN,,true,true,NaN,,NaN,NaN,,true,Center,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,53.8,5.7,,,,,,98.5,53.8,,true,NaN,NaN,NaN,NaN,830,,,,,,0.04056902229785919,0.24506781995296478,2,2,true,NaN,NaN,,,,NaN,,,,,,,,,,,,,,NaN,NaN,,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,,
36g6ifzjliec1jqnbtf7yesme,AaB,2833800783,905,16,2,91,10,K. John,5vrsflxiv2dgfa8199a2qxsve,1,97.7,56.3,2025-08-10T15:49:55.734,2025-08-10T15:51:39,1.0,"{""id"": 5833408339, ""qualifierId"": 29}",c0oowstsjlw429lgzrkqhbu38,HB Køge vs AaB,1_Division,2025-08-10,DNK,NaN,NaN,NaN,NaN,,true,true,NaN,,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,NaN,NaN,NaN,,50.6,3.8,,,,,,NaN,NaN,,NaN,true,true,93.3,46.6,NaN,,,,,,0.7637231945991516,0.994775652885437,2,0,NaN,2025-08-10 16:49:55.439,91:10.313,,,,NaN,,,,,,,,,,,,,,true,NaN,,,true,,,NaN,NaN,NaN,true,NaN,NaN,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833605,13,13,1,0,48,V. Westh,8h3cyhuw5049gcxrsld3rw1ec,1,82.2,49.7,2025-07-19T11:59:43.194,2025-07-19T12:01:04,NaN,"{""id"": 5800106507, ""qualifierId"": 56, ""value"": ""Center""}",bs7i18mhro0d46fg5m0727rpw,Kolding vs AaB,1_Division,2025-07-19,DNK,NaN,,NaN,true,,NaN,NaN,,NaN,NaN,NaN,,NaN,Center,NaN,NaN,true,NaN,NaN,,NaN,true,NaN,NaN,NaN,,NaN,NaN,,,59.3,45.8,NaN,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,98.2,50,NaN,,,,,,0.09668850153684616,0.0,1,3,true,NaN,NaN,true,NaN,NaN,true,,,,,,,,,,,NaN,,NaN,NaN,NaN,,,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,true
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827835071,58,15,1,4,21,M. Olsen,4zpmxlmdfa5wx79cr0q14pfx1,1,93.6,63.8,2025-07-19T12:03:15.250,2025-07-19T12:04:30,1.0,"{""id"": 5800115393, ""qualifierId"": 147, ""value"": ""57.2""}",bs7i18mhro0d46fg5m0727rpw,Kolding vs AaB,1_Division,2025-07-19,DNK,NaN,,NaN,NaN,,NaN,true,,NaN,NaN,NaN,,true,Center,NaN,true,true,NaN,NaN,,true,NaN,NaN,NaN,NaN,,true,NaN,,,52.1,19,true,,,NaN,,97.2,57.2,NaN,true,true,NaN,99.7,51.3,42,,,,,,0.10293349623680115,0.0,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,NaN,,NaN,NaN,NaN,,,,NaN,NaN,NaN,,true,,NaN,NaN,NaN,NaN,NaN
36g6ifzjliec1jqnbtf7yesme,AaB,2827835939,64,13,1,6,6,K. John,5vrsflxiv2dgfa8199a2qxsve,1,91.8,51.7,2025-07-19T12:05:00.772,2025-07-19T12:06:12,1.0,"{""id"": 5800119677, ""qualifierId"": 230, ""value"": ""98.6""}",bs7i18mhro0d46fg5m0727rpw,Kolding vs AaB,1_Division,2025-07-19,DNK,true,,true,NaN,,NaN,true,,NaN,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,57.1,26.4,NaN,,,NaN,,NaN,NaN,NaN,true,NaN,NaN,98.6,50.2,NaN,,,,,,0.1329995095729828,0.0,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,NaN,,NaN,NaN,true,,,,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN
