,team_name,transition_xg,transition_xg_share,set_piece_xg,set piece xg share,total_xg
0,Kolding,17.79,0.46,8.377293558791274,0.2179316742661622,38.44
1,Hillerød,18.4,0.37,9.557521544396874,0.19461457023817702,49.11
2,OB,18.78,0.38,11.052230757195497,0.22117732153683206,49.97
3,Horsens,20.55,0.43,9.247933969832951,0.1944068524244892,47.57
4,Hvidovre,15.35,0.38,8.849775630980727,0.2171191273547774,40.76
5,Hobro,16.07,0.37,6.051624090449509,0.13985727040558144,43.27
6,Vendsyssel,13.34,0.38,7.206468489021059,0.2059579448134055,34.99
7,Fredericia,20.33,0.45,5.405647387728092,0.12050038759982373,44.86
8,Roskilde,13.28,0.48,4.74071865994483,0.17095992282527334,27.73
9,Esbjerg,21.15,0.49,5.662852752022442,0.13221696829377638,42.83
10,HB Køge,10.58,0.39,3.1077925923787038,0.11455188324285676,27.13
11,B 93,15.25,0.44,4.474937942810354,0.12803828162547506,34.95
