playerName,Total score
C. Tapé,5.33
V. Pálsson,4.89
S. Hausner,3.1
A. Bruus,4.5
J. Madsen,4.1
F. Brandhof,5.33
P. Olsen,5.08
P. Olsen,6.5
F. Brandhof,5.67
K. Kirkegaard,3.5
A. Herdonsson,1.33
R. Baturina,6.25
