,timeMin,timeSec,x,y,team_name,playerName,label,date,typeId,sequence_duration,sequenceId,sequence_xG,5.0,6.0,9.0,24.0,25.0,26.0,107.0,distance to opp goal,possession_index,start_possession_distance
50,16,45,60.2,19.2,Esbjerg,Y. Bourhane,B 93 vs Esbjerg,2024-10-04,7,6,64.0,0.2579378485679626,nan,nan,none,nan,nan,nan,nan,50.32573894142042,1.0,50.32573894142042
51,16,47,60.9,24.2,Esbjerg,Y. Bourhane,B 93 vs Esbjerg,2024-10-04,1,6,64.0,0.2579378485679626,nan,nan,none,nan,nan,nan,nan,46.84495703915204,2.0,50.32573894142042
52,16,50,91.1,22.4,Esbjerg,L. From,B 93 vs Esbjerg,2024-10-04,1,6,64.0,0.2579378485679626,nan,nan,none,nan,nan,nan,nan,28.999482754007875,3.0,50.32573894142042
53,16,51,93.1,51.2,Esbjerg,L. Montano,B 93 vs Esbjerg,2024-10-04,16,6,64.0,0.2579378485679626,nan,nan,none,nan,nan,nan,nan,7.003570517957257,4.0,50.32573894142042
137,52,48,50.9,26.2,Esbjerg,Y. Bourhane,B 93 vs Esbjerg,2024-10-04,49,7,186.0,0.1750825047492981,nan,nan,none,nan,nan,nan,nan,54.56418239101544,1.0,54.56418239101544
138,52,49,51.1,25.0,Esbjerg,Y. Bourhane,B 93 vs Esbjerg,2024-10-04,1,7,186.0,0.1750825047492981,nan,nan,none,nan,nan,nan,nan,54.9200327749356,2.0,54.56418239101544
139,52,52,62.8,40.6,Esbjerg,A. Lausen,B 93 vs Esbjerg,2024-10-04,1,7,186.0,0.1750825047492981,nan,nan,none,nan,nan,nan,nan,38.36925852814985,3.0,54.56418239101544
140,52,55,87.6,55.5,Esbjerg,T. Freriks,B 93 vs Esbjerg,2024-10-04,13,7,186.0,0.1750825047492981,nan,nan,none,nan,nan,nan,nan,13.565028566132845,4.0,54.56418239101544
223,93,12,92.4,12.1,Esbjerg,J. Mortensen,B 93 vs Esbjerg,2024-10-04,1,6,281.0,0.1425919830799102,nan,nan,none,nan,nan,nan,nan,38.65449521077723,1.0,38.65449521077723
224,93,13,81.4,22.6,Esbjerg,A. Lausen,B 93 vs Esbjerg,2024-10-04,1,6,281.0,0.1425919830799102,nan,nan,none,nan,nan,nan,nan,33.11676312685163,2.0,38.65449521077723
225,93,18,85.7,48.1,Esbjerg,P. Bjur,B 93 vs Esbjerg,2024-10-04,13,6,281.0,0.1425919830799102,nan,nan,none,nan,nan,nan,nan,14.425671561490644,3.0,38.65449521077723
237,1,24,63.0,66.1,Fredericia,D. Kristjánsson,B 93 vs Fredericia,2024-11-08,1,4,5.0,0.2855134010314941,nan,nan,none,nan,nan,nan,nan,40.3510842481339,1.0,40.3510842481339
238,1,25,71.5,48.1,Fredericia,J. Lindekilde,B 93 vs Fredericia,2024-11-08,1,4,5.0,0.2855134010314941,nan,nan,none,nan,nan,nan,nan,28.563263118908527,2.0,40.3510842481339
239,1,28,86.0,55.9,Fredericia,A. Bøndergaard,B 93 vs Fredericia,2024-11-08,16,4,5.0,0.2855134010314941,nan,nan,none,nan,nan,nan,nan,15.192432326655267,3.0,40.3510842481339
412,48,18,24.1,80.5,B 93,E. Christensen,B 93 vs Fredericia,2024-11-08,1,11,170.0,0.3845649659633636,nan,nan,none,nan,nan,nan,nan,81.79889974810176,1.0,81.79889974810176
413,48,19,31.0,72.3,B 93,M. Wohlgemuth,B 93 vs Fredericia,2024-11-08,1,11,170.0,0.3845649659633636,nan,nan,none,nan,nan,nan,nan,72.51406760070766,2.0,81.79889974810176
414,48,26,76.0,55.1,B 93,N. Thomsen,B 93 vs Fredericia,2024-11-08,1,11,170.0,0.3845649659633636,nan,nan,none,nan,nan,nan,nan,24.535892076710805,3.0,81.79889974810176
415,48,29,94.3,60.9,B 93,O. Addo,B 93 vs Fredericia,2024-11-08,15,11,170.0,0.3845649659633636,nan,nan,none,nan,nan,nan,nan,12.300406497347964,4.0,81.79889974810176
416,48,57,12.9,75.0,Fredericia,D. Kristjánsson,B 93 vs Fredericia,2024-11-08,49,9,172.0,0.1285093426704406,nan,nan,none,nan,nan,nan,nan,90.61683066627303,1.0,90.61683066627303
417,48,58,20.1,84.7,Fredericia,D. Kristjánsson,B 93 vs Fredericia,2024-11-08,1,9,172.0,0.1285093426704406,nan,nan,none,nan,nan,nan,nan,87.10970095230498,2.0,90.61683066627303
418,49,3,66.4,86.5,Fredericia,A. Muçolli,B 93 vs Fredericia,2024-11-08,1,9,172.0,0.1285093426704406,nan,nan,none,nan,nan,nan,nan,49.61058354827122,3.0,90.61683066627303
