,timeMin,timeSec,x,y,team_name,playerName,label,date,typeId,sequence_duration,sequenceId,sequence_xG,5.0,6.0,9.0,24.0,25.0,26.0,107.0,distance to opp goal,possession_index,start_possession_distance
419,49,6,89.2,63.2,Fredericia,A. Bøndergaard,B 93 vs Fredericia,2024-11-08,13,9,172.0,0.1285093426704406,nan,nan,none,nan,nan,nan,nan,17.055204484262273,4.0,90.61683066627303
461,66,27,61.8,69.3,Fredericia,W. Madsen,B 93 vs Fredericia,2024-11-08,1,3,224.0,0.170932337641716,nan,nan,none,nan,nan,nan,nan,42.798714933979035,1.0,42.798714933979035
462,66,29,70.1,82.6,Fredericia,A. Muçolli,B 93 vs Fredericia,2024-11-08,1,3,224.0,0.170932337641716,nan,nan,none,nan,nan,nan,nan,44.235393069351154,2.0,42.798714933979035
463,66,30,94.8,65.0,Fredericia,A. Bøndergaard,B 93 vs Fredericia,2024-11-08,16,3,224.0,0.170932337641716,nan,nan,none,nan,nan,nan,nan,15.875767697972908,3.0,42.798714933979035
607,14,25,41.7,30.4,HB Køge,M. Chacón,B 93 vs HB Køge,2025-03-07,49,7,58.0,0.1215465739369392,nan,nan,none,nan,nan,nan,nan,61.50650372115131,1.0,61.50650372115131
608,14,25,41.7,30.4,HB Køge,M. Chacón,B 93 vs HB Køge,2025-03-07,1,7,58.0,0.1215465739369392,nan,nan,none,nan,nan,nan,nan,61.50650372115131,2.0,61.50650372115131
609,14,32,89.3,32.9,HB Køge,G. Çulhacı,B 93 vs HB Køge,2025-03-07,16,7,58.0,0.1215465739369392,nan,nan,none,nan,nan,nan,nan,20.171762441591465,3.0,61.50650372115131
759,71,18,48.6,66.2,HB Køge,M. Jensen,B 93 vs HB Køge,2025-03-07,49,8,230.0,0.3249402344226837,nan,nan,none,nan,nan,nan,nan,53.8924855615326,1.0,53.8924855615326
760,71,18,52.2,66.9,HB Køge,M. Jensen,B 93 vs HB Køge,2025-03-07,1,8,230.0,0.3249402344226837,nan,nan,none,nan,nan,nan,nan,50.699605521147795,2.0,53.8924855615326
761,71,25,90.8,40.8,HB Køge,Mohamad Al Naser,B 93 vs HB Køge,2025-03-07,3,8,230.0,0.3249402344226837,nan,nan,none,nan,nan,nan,nan,13.010764773832479,3.0,53.8924855615326
762,71,26,91.7,43.4,HB Køge,Mohamad Al Naser,B 93 vs HB Køge,2025-03-07,13,8,230.0,0.3249402344226837,nan,nan,none,nan,nan,nan,nan,10.604244433244641,4.0,53.8924855615326
1021,63,39,77.0,61.3,HB Køge,Mohamad Al Naser,B 93 vs HB Køge,2025-03-29,1,2,210.0,0.1471794545650482,nan,nan,none,nan,nan,nan,nan,25.625963396524234,1.0,25.625963396524234
1022,63,40,97.1,83.5,HB Køge,G. Çulhacı,B 93 vs HB Køge,2025-03-29,1,2,210.0,0.1471794545650482,nan,nan,none,nan,nan,nan,nan,33.625288102854974,2.0,25.625963396524234
1023,63,41,98.3,40.9,HB Køge,S. Larsen,B 93 vs HB Køge,2025-03-29,16,2,210.0,0.1471794545650482,nan,nan,none,nan,nan,nan,nan,9.257429448826496,3.0,25.625963396524234
1255,48,23,63.0,74.8,Hillerød,A. Justinussen,B 93 vs Hillerød,2024-08-23,3,5,168.0,0.3072319030761719,nan,nan,none,none,nan,nan,nan,44.542563913632094,1.0,44.542563913632094
1256,48,26,89.5,74.2,Hillerød,A. Justinussen,B 93 vs Hillerød,2024-08-23,1,5,168.0,0.3072319030761719,nan,nan,none,none,nan,nan,nan,26.379727064547126,2.0,44.542563913632094
1257,48,28,87.4,46.8,Hillerød,T. Arndal,B 93 vs Hillerød,2024-08-23,13,5,168.0,0.3072319030761719,nan,nan,none,none,nan,nan,nan,12.999999999999995,3.0,44.542563913632094
2149,33,5,69.7,16.2,B 93,N. Thomsen,B 93 vs Hobro,2025-04-25,1,4,118.0,0.4519437849521637,nan,nan,none,none,nan,nan,nan,45.39306114374751,1.0,45.39306114374751
2150,33,6,88.1,10.4,B 93,L. Henriksen,B 93 vs Hobro,2025-04-25,1,4,118.0,0.4519437849521637,nan,nan,none,none,nan,nan,nan,41.34936517045939,2.0,45.39306114374751
2151,33,7,93.1,48.4,B 93,C. Björk,B 93 vs Hobro,2025-04-25,1,4,118.0,0.4519437849521637,nan,nan,none,none,nan,nan,nan,7.083078426785918,3.0,45.39306114374751
2152,33,9,90.8,49.9,B 93,O. Addo,B 93 vs Hobro,2025-04-25,16,4,118.0,0.4519437849521637,nan,nan,none,none,nan,nan,nan,9.200543462209179,4.0,45.39306114374751
2179,38,27,70.4,76.9,B 93,O. Addo,B 93 vs Hobro,2025-04-25,1,3,133.0,0.1329522281885147,nan,nan,none,none,nan,nan,nan,39.99712489667226,1.0,39.99712489667226
2180,38,28,74.1,49.7,B 93,F. Isaki,B 93 vs Hobro,2025-04-25,3,3,133.0,0.1329522281885147,nan,nan,none,none,nan,nan,nan,25.90173739346456,2.0,39.99712489667226
2181,38,30,83.1,43.4,B 93,F. Isaki,B 93 vs Hobro,2025-04-25,15,3,133.0,0.1329522281885147,nan,nan,none,none,nan,nan,nan,18.14304274370758,3.0,39.99712489667226
2221,50,49,38.5,74.8,B 93,N. Thomsen,B 93 vs Hobro,2025-04-25,1,10,176.0,0.226839393377304,nan,nan,none,none,nan,nan,nan,66.3120652671895,1.0,66.3120652671895
2222,50,50,54.0,84.4,B 93,M. Wohlgemuth,B 93 vs Hobro,2025-04-25,49,10,176.0,0.226839393377304,nan,nan,none,none,nan,nan,nan,57.440055710279395,2.0,66.3120652671895
2223,50,51,48.8,75.4,B 93,M. Wohlgemuth,B 93 vs Hobro,2025-04-25,1,10,176.0,0.226839393377304,nan,nan,none,none,nan,nan,nan,57.15417745012171,3.0,66.3120652671895
2224,50,52,42.6,80.6,B 93,N. Mouritsen,B 93 vs Hobro,2025-04-25,1,10,176.0,0.226839393377304,nan,nan,none,none,nan,nan,nan,65.04705988743841,4.0,66.3120652671895
2225,50,53,63.1,65.1,B 93,C. Björk,B 93 vs Hobro,2025-04-25,1,10,176.0,0.226839393377304,nan,nan,none,none,nan,nan,nan,39.870038876329176,5.0,66.3120652671895
2226,50,59,84.6,53.6,B 93,F. Isaki,B 93 vs Hobro,2025-04-25,14,10,176.0,0.226839393377304,nan,nan,none,none,nan,nan,nan,15.815182578775376,6.0,66.3120652671895
2270,65,30,83.9,4.0,Hobro,E. Søgaard,B 93 vs Hobro,2025-04-25,8,8,233.0,0.155221477150917,nan,nan,none,none,nan,nan,nan,48.73612623095931,1.0,48.73612623095931
2271,65,31,87.4,12.2,Hobro,E. Søgaard,B 93 vs Hobro,2025-04-25,49,8,233.0,0.155221477150917,nan,nan,none,none,nan,nan,nan,39.844698518121575,2.0,48.73612623095931
2272,65,32,90.2,13.4,Hobro,E. Søgaard,B 93 vs Hobro,2025-04-25,1,8,233.0,0.155221477150917,nan,nan,none,none,nan,nan,nan,37.889312477267254,3.0,48.73612623095931
2273,65,38,92.1,45.2,Hobro,M. Bruhn,B 93 vs Hobro,2025-04-25,13,8,233.0,0.155221477150917,nan,nan,none,none,nan,nan,nan,9.243916918709301,4.0,48.73612623095931
2277,67,41,59.8,44.5,Hobro,S. Andreasen,B 93 vs Hobro,2025-04-25,1,7,238.0,0.2470302581787109,nan,nan,none,none,nan,nan,nan,40.57449938076871,1.0,40.57449938076871
2278,67,42,84.3,34.3,Hobro,A. Remer Bryld,B 93 vs Hobro,2025-04-25,1,7,238.0,0.2470302581787109,nan,nan,none,none,nan,nan,nan,22.203152929257598,2.0,40.57449938076871
2279,67,48,87.8,63.0,Hobro,S. Andreasen,B 93 vs Hobro,2025-04-25,15,7,238.0,0.2470302581787109,nan,nan,none,none,nan,nan,nan,17.828067758453244,3.0,40.57449938076871
2553,59,42,70.0,58.8,Horsens,K. Lusavec,B 93 vs Horsens,2024-09-21,49,4,216.0,0.1361404210329055,nan,nan,none,nan,nan,none,nan,31.26403684747061,1.0,31.26403684747061
2554,59,42,70.0,58.8,Horsens,K. Lusavec,B 93 vs Horsens,2024-09-21,1,4,216.0,0.1361404210329055,nan,nan,none,nan,nan,none,nan,31.26403684747061,2.0,31.26403684747061
2555,59,46,82.8,39.5,Horsens,E. Frederiksen,B 93 vs Horsens,2024-09-21,15,4,216.0,0.1361404210329055,nan,nan,none,nan,nan,none,nan,20.15167486835772,3.0,31.26403684747061
2763,26,30,68.6,20.0,B 93,E. Nnamani,B 93 vs Hvidovre,2025-02-21,1,8,81.0,0.1346038430929184,nan,nan,none,none,nan,nan,nan,43.42764096747601,1.0,43.42764096747601
2764,26,32,82.8,15.6,B 93,S. Koch,B 93 vs Hvidovre,2025-02-21,1,8,81.0,0.1346038430929184,nan,nan,none,none,nan,nan,nan,38.46036921299638,2.0,43.42764096747601
2765,26,35,76.5,53.3,B 93,O. Addo,B 93 vs Hvidovre,2025-02-21,1,8,81.0,0.1346038430929184,nan,nan,none,none,nan,nan,nan,23.730571000294113,3.0,43.42764096747601
2766,26,38,87.8,62.6,B 93,N. Mouritsen,B 93 vs Hvidovre,2025-02-21,16,8,81.0,0.1346038430929184,nan,nan,none,none,nan,nan,nan,17.538529014715007,4.0,43.42764096747601
3370,49,24,30.6,10.3,OB,L. Owusu,B 93 vs OB,2024-08-16,1,9,150.0,0.1119939908385276,nan,nan,none,nan,nan,nan,nan,79.95279857515933,1.0,79.95279857515933
3371,49,28,42.5,16.8,OB,J. Bonde,B 93 vs OB,2024-08-16,49,9,150.0,0.1119939908385276,nan,nan,none,nan,nan,nan,nan,66.39646074904897,2.0,79.95279857515933
3372,49,29,42.5,16.8,OB,J. Bonde,B 93 vs OB,2024-08-16,1,9,150.0,0.1119939908385276,nan,nan,none,nan,nan,nan,nan,66.39646074904897,3.0,79.95279857515933
3373,49,33,88.3,34.2,OB,L. Kjerrumgaard,B 93 vs OB,2024-08-16,15,9,150.0,0.1119939908385276,nan,nan,none,nan,nan,nan,nan,19.66036622242831,4.0,79.95279857515933
3585,15,21,28.6,75.2,Roskilde,O. Skolnik,B 93 vs Roskilde,2024-10-25,44,10,51.0,0.4431917667388916,nan,nan,nan,none,nan,nan,nan,75.71657678474378,1.0,75.71657678474378
3586,15,22,28.3,72.9,Roskilde,O. Skolnik,B 93 vs Roskilde,2024-10-25,1,10,51.0,0.4431917667388916,nan,nan,nan,none,nan,nan,nan,75.26818717094228,2.0,75.71657678474378
3587,15,24,47.0,80.5,Roskilde,R. Arabaci,B 93 vs Roskilde,2024-10-25,1,10,51.0,0.4431917667388916,nan,nan,nan,none,nan,nan,nan,61.14940719254766,3.0,75.71657678474378
3588,15,24,44.2,72.8,Roskilde,R. Arabaci,B 93 vs Roskilde,2024-10-25,49,10,51.0,0.4431917667388916,nan,nan,nan,none,nan,nan,nan,60.27835432391962,4.0,75.71657678474378
3589,15,25,34.2,62.2,Roskilde,N. Halse,B 93 vs Roskilde,2024-10-25,1,10,51.0,0.4431917667388916,nan,nan,nan,none,nan,nan,nan,66.92144648765446,5.0,75.71657678474378
3590,15,26,50.5,69.0,Roskilde,A. Maarup,B 93 vs Roskilde,2024-10-25,1,10,51.0,0.4431917667388916,nan,nan,nan,none,nan,nan,nan,53.02122216622322,6.0,75.71657678474378
3591,15,31,82.2,57.3,Roskilde,A. Taranis,B 93 vs Roskilde,2024-10-25,16,10,51.0,0.4431917667388916,nan,nan,nan,none,nan,nan,nan,19.238762953994726,7.0,75.71657678474378
3830,12,1,88.1,69.3,B 93,E. Nnamani,B 93 vs Vendsyssel,2024-08-02,1,4,38.0,0.1284220963716507,nan,nan,nan,none,nan,none,nan,22.673773395709855,1.0,22.673773395709855
3831,12,2,84.9,61.0,B 93,O. Addo,B 93 vs Vendsyssel,2024-08-02,3,4,38.0,0.1284220963716507,nan,nan,nan,none,nan,none,nan,18.681809334215995,2.0,22.673773395709855
3832,12,5,85.0,52.6,B 93,O. Addo,B 93 vs Vendsyssel,2024-08-02,15,4,38.0,0.1284220963716507,nan,nan,nan,none,nan,none,nan,15.223665787188052,3.0,22.673773395709855
3839,17,21,48.3,52.5,Vendsyssel,A. Simon Okosun,B 93 vs Vendsyssel,2024-08-02,8,8,53.0,0.3593109846115112,nan,nan,nan,none,nan,none,nan,51.760409581068814,1.0,51.760409581068814
3840,17,24,61.1,68.7,Vendsyssel,K. Kusk,B 93 vs Vendsyssel,2024-08-02,49,8,53.0,0.3593109846115112,nan,nan,nan,none,nan,none,nan,43.16132528085763,2.0,51.760409581068814
3841,17,27,80.8,79.3,Vendsyssel,K. Kusk,B 93 vs Vendsyssel,2024-08-02,1,8,53.0,0.3593109846115112,nan,nan,nan,none,nan,none,nan,35.03041535580188,3.0,51.760409581068814
3842,17,29,93.6,45.5,Vendsyssel,L. Jensen,B 93 vs Vendsyssel,2024-08-02,13,8,53.0,0.3593109846115112,nan,nan,nan,none,nan,none,nan,7.823681997627465,4.0,51.760409581068814
4004,71,38,35.6,58.2,B 93,E. Nnamani,B 93 vs Vendsyssel,2024-08-02,49,8,218.0,0.5949297547340393,nan,nan,nan,none,nan,none,nan,64.91995070854567,1.0,64.91995070854567
4005,71,42,59.0,55.0,B 93,E. Nnamani,B 93 vs Vendsyssel,2024-08-02,1,8,218.0,0.5949297547340393,nan,nan,nan,none,nan,none,nan,41.30375285612676,2.0,64.91995070854567
4006,71,44,79.9,67.5,B 93,O. Addo,B 93 vs Vendsyssel,2024-08-02,1,8,218.0,0.5949297547340393,nan,nan,nan,none,nan,none,nan,26.65070355544108,3.0,64.91995070854567
4007,71,46,91.7,57.5,B 93,E. Nnamani,B 93 vs Vendsyssel,2024-08-02,15,8,218.0,0.5949297547340393,nan,nan,nan,none,nan,none,nan,11.186599125739688,4.0,64.91995070854567
4126,95,40,76.8,21.0,B 93,M. Bøttker,B 93 vs Vendsyssel,2024-08-02,1,4,303.0,0.1387369036674499,nan,nan,nan,none,nan,none,nan,37.13812057711053,1.0,37.13812057711053
4127,95,41,88.6,15.4,B 93,L. Henriksen,B 93 vs Vendsyssel,2024-08-02,1,4,303.0,0.1387369036674499,nan,nan,nan,none,nan,none,nan,36.42965824709312,2.0,37.13812057711053
4128,95,44,90.8,43.0,B 93,T. Blidegn,B 93 vs Vendsyssel,2024-08-02,13,4,303.0,0.1387369036674499,nan,nan,nan,none,nan,none,nan,11.560276813294742,3.0,37.13812057711053
4600,41,10,36.9,28.7,Esbjerg,T. Freriks,Esbjerg vs B 93,2024-09-15,7,11,119.0,0.4797249138355255,nan,nan,nan,nan,nan,nan,nan,66.59804801944273,1.0,66.59804801944273
4601,41,13,40.7,30.4,Esbjerg,T. Freriks,Esbjerg vs B 93,2024-09-15,49,11,119.0,0.4797249138355255,nan,nan,nan,nan,nan,nan,nan,62.4551839321605,2.0,66.59804801944273
4602,41,16,75.1,21.0,Esbjerg,T. Freriks,Esbjerg vs B 93,2024-09-15,1,11,119.0,0.4797249138355255,nan,nan,nan,nan,nan,nan,nan,38.22316051819892,3.0,66.59804801944273
4603,41,21,96.4,40.3,Esbjerg,A. Lausen,Esbjerg vs B 93,2024-09-15,15,11,119.0,0.4797249138355255,nan,nan,nan,nan,nan,nan,nan,10.346496991735899,4.0,66.59804801944273
4617,52,18,69.7,9.1,B 93,L. Henriksen,Esbjerg vs B 93,2024-09-15,1,7,147.0,0.1308003067970276,nan,nan,nan,nan,nan,nan,nan,50.90088407876625,1.0,50.90088407876625
4618,52,19,67.1,28.6,B 93,M. Wohlgemuth,Esbjerg vs B 93,2024-09-15,1,7,147.0,0.1308003067970276,nan,nan,nan,nan,nan,nan,nan,39.24754769409167,2.0,50.90088407876625
4619,52,20,73.8,30.3,B 93,F. Isaki,Esbjerg vs B 93,2024-09-15,1,7,147.0,0.1308003067970276,nan,nan,nan,nan,nan,nan,nan,32.780024405115995,3.0,50.90088407876625
4620,52,25,91.7,50.0,B 93,A. Bredahl,Esbjerg vs B 93,2024-09-15,15,7,147.0,0.1308003067970276,nan,nan,nan,nan,nan,nan,nan,8.299999999999997,4.0,50.90088407876625
4654,71,0,21.4,78.7,B 93,N. Thomsen,Esbjerg vs B 93,2024-09-15,1,11,188.0,0.403709352016449,nan,nan,nan,nan,nan,nan,nan,83.67586270842985,1.0,83.67586270842985
4655,71,1,35.3,69.1,B 93,E. Nnamani,Esbjerg vs B 93,2024-09-15,49,11,188.0,0.403709352016449,nan,nan,nan,nan,nan,nan,nan,67.4603587301461,2.0,83.67586270842985
4656,71,4,57.4,56.8,B 93,E. Nnamani,Esbjerg vs B 93,2024-09-15,3,11,188.0,0.403709352016449,nan,nan,nan,nan,nan,nan,nan,43.139309220245984,3.0,83.67586270842985
4657,71,8,75.9,46.7,B 93,E. Nnamani,Esbjerg vs B 93,2024-09-15,3,11,188.0,0.403709352016449,nan,nan,nan,nan,nan,nan,nan,24.32488437793692,4.0,83.67586270842985
4658,71,11,89.2,46.6,B 93,E. Nnamani,Esbjerg vs B 93,2024-09-15,15,11,188.0,0.403709352016449,nan,nan,nan,nan,nan,nan,nan,11.322543883774527,5.0,83.67586270842985
4737,94,26,42.8,47.3,Esbjerg,M. Ladefoged,Esbjerg vs B 93,2024-09-15,49,7,265.0,0.1633778661489486,nan,nan,nan,nan,nan,nan,nan,57.26368831991177,1.0,57.26368831991177
4738,94,27,41.5,50.6,Esbjerg,M. Ladefoged,Esbjerg vs B 93,2024-09-15,1,7,265.0,0.1633778661489486,nan,nan,nan,nan,nan,nan,nan,58.503076842162756,2.0,57.26368831991177
4739,94,32,80.1,34.4,Esbjerg,P. Bjur,Esbjerg vs B 93,2024-09-15,3,7,265.0,0.1633778661489486,nan,nan,nan,nan,nan,nan,nan,25.285766747322498,3.0,57.26368831991177
4740,94,33,86.6,40.3,Esbjerg,P. Bjur,Esbjerg vs B 93,2024-09-15,15,7,265.0,0.1633778661489486,nan,nan,nan,nan,nan,nan,nan,16.542369842317036,4.0,57.26368831991177
4789,31,21,86.0,14.9,Fredericia,A. Dahl,Esbjerg vs Fredericia,2024-10-19,1,4,78.0,0.1050422936677932,nan,nan,none,nan,nan,nan,nan,37.78901956918173,1.0,37.78901956918173
4790,31,24,89.0,27.8,Fredericia,W. Madsen,Esbjerg vs Fredericia,2024-10-19,1,4,78.0,0.1050422936677932,nan,nan,none,nan,nan,nan,nan,24.77579463912308,2.0,37.78901956918173
4791,31,25,91.8,43.8,Fredericia,J. Jessen,Esbjerg vs Fredericia,2024-10-19,15,4,78.0,0.1050422936677932,nan,nan,none,nan,nan,nan,nan,10.280077820717121,3.0,37.78901956918173
4855,54,57,57.2,22.7,Fredericia,A. Dahl,Esbjerg vs Fredericia,2024-10-19,49,7,159.0,0.4813354313373565,nan,nan,none,nan,nan,nan,nan,50.7654410007438,1.0,50.7654410007438
4856,54,57,55.3,26.4,Fredericia,A. Dahl,Esbjerg vs Fredericia,2024-10-19,1,7,159.0,0.4813354313373565,nan,nan,none,nan,nan,nan,nan,50.547502411098414,2.0,50.7654410007438
4857,55,1,75.3,15.8,Fredericia,O. Buch,Esbjerg vs Fredericia,2024-10-19,1,7,159.0,0.4813354313373565,nan,nan,none,nan,nan,nan,nan,42.18684629123159,3.0,50.7654410007438
4858,55,4,93.0,52.2,Fredericia,A. Bøndergaard,Esbjerg vs Fredericia,2024-10-19,16,7,159.0,0.4813354313373565,nan,nan,none,nan,nan,nan,nan,7.3375745311376575,4.0,50.7654410007438
5228,87,59,60.8,51.9,Esbjerg,T. Freriks,Esbjerg vs Fredericia,2025-04-22,1,3,295.0,0.1283594518899917,nan,nan,none,nan,nan,none,nan,39.24601890638081,1.0,39.24601890638081
5229,88,1,88.0,16.4,Esbjerg,P. Tjørnelund,Esbjerg vs Fredericia,2025-04-22,1,3,295.0,0.1283594518899917,nan,nan,none,nan,nan,none,nan,35.678564993564414,2.0,39.24601890638081
5230,88,2,86.1,39.5,Esbjerg,T. Freriks,Esbjerg vs Fredericia,2025-04-22,13,3,295.0,0.1283594518899917,nan,nan,none,nan,nan,none,nan,17.42010332919986,3.0,39.24601890638081
5298,15,35,71.7,84.2,HB Køge,G. Larsen,Esbjerg vs HB Køge,2024-08-24,1,4,55.0,0.268411636352539,nan,nan,nan,nan,nan,none,nan,44.390652169122276,1.0,44.390652169122276
5299,15,36,74.7,70.8,HB Køge,J. Arias,Esbjerg vs HB Køge,2024-08-24,49,4,55.0,0.268411636352539,nan,nan,nan,nan,nan,none,nan,32.75255715207592,2.0,44.390652169122276
5300,15,36,74.7,70.8,HB Køge,J. Arias,Esbjerg vs HB Køge,2024-08-24,1,4,55.0,0.268411636352539,nan,nan,nan,nan,nan,none,nan,32.75255715207592,3.0,44.390652169122276
5301,15,39,93.0,66.9,HB Køge,G. Larsen,Esbjerg vs HB Køge,2024-08-24,15,4,55.0,0.268411636352539,nan,nan,nan,nan,nan,none,nan,18.292348127017487,4.0,44.390652169122276
5470,78,22,42.1,66.8,Esbjerg,N. Strunck,Esbjerg vs HB Køge,2024-08-24,8,6,243.0,0.3661189675331116,nan,nan,nan,nan,nan,none,nan,60.288058519079875,1.0,60.288058519079875
5471,78,24,49.8,61.5,Esbjerg,L. From,Esbjerg vs HB Køge,2024-08-24,49,6,243.0,0.3661189675331116,nan,nan,nan,nan,nan,none,nan,51.50038834805035,2.0,60.288058519079875
5472,78,24,49.8,61.5,Esbjerg,L. From,Esbjerg vs HB Køge,2024-08-24,1,6,243.0,0.3661189675331116,nan,nan,nan,nan,nan,none,nan,51.50038834805035,3.0,60.288058519079875
5473,78,26,78.3,68.1,Esbjerg,N. Strunck,Esbjerg vs HB Køge,2024-08-24,1,6,243.0,0.3661189675331116,nan,nan,nan,nan,nan,none,nan,28.257742301889582,4.0,60.288058519079875
5474,78,28,83.3,53.6,Esbjerg,L. From,Esbjerg vs HB Køge,2024-08-24,13,6,243.0,0.3661189675331116,nan,nan,nan,nan,nan,none,nan,17.08361788380904,5.0,60.288058519079875
5481,85,47,36.7,13.7,Esbjerg,J. Mortensen,Esbjerg vs HB Køge,2024-08-24,8,11,259.0,0.1317125409841537,nan,nan,nan,nan,nan,none,nan,72.9697197473034,1.0,72.9697197473034
5482,85,49,43.3,23.0,Esbjerg,P. Bjur,Esbjerg vs HB Køge,2024-08-24,49,11,259.0,0.1317125409841537,nan,nan,nan,nan,nan,none,nan,62.80039808791024,2.0,72.9697197473034
5483,85,53,71.5,17.5,Esbjerg,P. Bjur,Esbjerg vs HB Køge,2024-08-24,1,11,259.0,0.1317125409841537,nan,nan,nan,nan,nan,none,nan,43.22614949310197,3.0,72.9697197473034
5484,85,56,91.4,16.9,Esbjerg,J. Mortensen,Esbjerg vs HB Køge,2024-08-24,1,11,259.0,0.1317125409841537,nan,nan,nan,nan,nan,none,nan,34.19897659287482,4.0,72.9697197473034
5485,85,58,91.8,59.3,Esbjerg,E. Andersen,Esbjerg vs HB Køge,2024-08-24,16,11,259.0,0.1317125409841537,nan,nan,nan,nan,nan,none,nan,12.398790263570072,5.0,72.9697197473034
5974,47,28,61.8,57.7,Hobro,S. Andreasen,Esbjerg vs Hobro,2024-11-03,1,8,188.0,0.1720895767211914,nan,nan,none,nan,nan,nan,nan,38.96832046675864,1.0,38.96832046675864
