playerName,Total_Passes,Successful_Passes,Percentage_Successful_Passes,Total_Defensive_Actions,Successful_Defensive_Actions,Percentage_Successful_Defensive_Actions,bypassed_opponents,bypassed_defenders,bypassed_opponents_received,bypassed_defenders_received,xA,possessionValue.pvValue,TotalControlArea_perframe,CenterControlArea_perframe,PenaltyAreaControl_perframe
Y. Bourhane,243.0,209.0,86.01,45.0,36.0,80.0,56,42,30.0,-14.0,0.75,1.55,445.05,404.78,28.09
A. Herdonsson,124.0,109.0,87.9,27.0,21.0,77.78,-41,1,54.0,-1.0,0.08,0.69,738.76,669.24,42.24
F. Christensen,282.0,251.0,89.01,32.0,23.0,71.88,156,21,-61.0,-9.0,0.12,1.11,951.69,833.61,86.81
J. Madsen,201.0,146.0,72.64,36.0,33.0,91.67,177,36,66.0,-3.0,0.68,2.84,1081.02,943.75,55.82
