description,match_id,game_id,team_name,timeMin,timeSec,contestantId,frames_ball40,frames_success,success_pct,def_line_from_own_goal_mean,ball_from_own_goal_mean,percent_succes_mean
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,0,54,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,52.495336773681636,87.48853677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,0,55,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,51.89773677368164,87.65893677368163,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,0,56,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,51.30773677368165,87.82893677368163,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,0,57,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,50.80453677368164,87.99973677368163,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,0,58,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,50.29573677368164,88.16973677368163,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,0,59,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,49.91013677368164,88.34013677368165,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,0,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,49.40653677368164,88.51053677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,1,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,49.07613677368164,88.68053677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,2,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,48.93653677368164,88.85093677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,3,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,48.68413677368164,89.02093677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,4,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,48.407336773681635,89.19133677368166,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,5,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,48.135736773681636,89.36173677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,6,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,47.80133677368164,89.53173677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,7,a9vw7ikerpr4cuweeeka5aneg,4,4,100.0,47.50253677368164,89.63003677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,30,a9vw7ikerpr4cuweeeka5aneg,24,24,100.0,34.929620107014976,57.51587010701497,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,31,a9vw7ikerpr4cuweeeka5aneg,16,16,100.0,31.87378677368164,45.26941177368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,33,a9vw7ikerpr4cuweeeka5aneg,6,6,100.0,29.279203440348308,40.98753677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,34,a9vw7ikerpr4cuweeeka5aneg,19,19,100.0,29.424642036839533,41.8693788789448,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,53,a9vw7ikerpr4cuweeeka5aneg,3,0,0.0,20.70253677368164,40.349203440348305,90.0
