Player,Metric,per 90
Adam Herdonsson,High Speed Running Distance,486.24
Adam Herdonsson,Sprinting Distance,327.28
Adam Herdonsson,Total Distance,9674.33
Frederik Juul Christensen,High Speed Running Distance,614.22
Frederik Juul Christensen,Sprinting Distance,260.55
Frederik Juul Christensen,Total Distance,10753.16
Julius Madsen,High Speed Running Distance,620.78
Julius Madsen,Sprinting Distance,349.92
Julius Madsen,Total Distance,9489.13
Yacine Bourhane,High Speed Running Distance,785.61
Yacine Bourhane,Sprinting Distance,330.92
Yacine Bourhane,Total Distance,10117.32
