contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,league_name,date,country,9,15,16,17,18,19,20,22,23,25,26,29,56,63,72,73,74,76,78,80,81,82,84,100,102,103,108,146,147,153,154,160,214,215,230,231,233,280,281,282,321,322,323,324,326,327,328,338,353,374,375,390,458,468,472,sequenceId,possessionId,keyPass,140,141,318,210,6,24,107,64,68,85,87,254,300,65,75,77,79,83,89,113,120,121,133,138,216,217,273,395,396,60,61,86,101,391,192,275,69,136,139,21,62,114
b2vft81kyjurzbmekvgrqwr64,Hobro,2827660541,640,15,2,59,55,S. Andreasen,4qyfoq5fjiochtj89w426lm21,1,85.6,42.4,2025-07-18T17:49:20.644,2025-07-21T15:29:22,"{""id"": 5799157241, ""qualifierId"": 103, ""value"": ""9.5""}",NaN,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,,NaN,51.2,9.5,NaN,98.4,47.3,,NaN,NaN,NaN,NaN,NaN,NaN,478,NaN,NaN,NaN,0.18918916583061218,0.30448633432388306,,NaN,1,2,NaN,,NaN,NaN,NaN,NaN,true,,NaN,,,,,,,,,NaN,,NaN,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,,NaN,,,NaN,NaN,NaN,,,,NaN,NaN,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827663949,666,13,2,82,25,S. Hald,67p0s4o54xcmiustgy8k5gljo,1,94.0,49.7,2025-07-18T18:11:51.031,2025-07-18T18:12:59,"{""id"": 5799177013, ""qualifierId"": 230, ""value"": ""98.8""}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,NaN,40.3,65.3,NaN,NaN,NaN,,true,NaN,true,NaN,98.8,49.5,NaN,NaN,NaN,NaN,0.31960636377334595,0.0,,NaN,3,1,true,,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,true,,NaN,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,,NaN,,,NaN,NaN,NaN,,,,NaN,NaN,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827664563,711,13,2,86,10,A. Gøthler,d2ukggo2v5jsw4pctznmaijo4,1,90.9,39.7,2025-07-18T18:15:36.206,2025-07-18T18:16:49,"{""id"": 5799180969, ""qualifierId"": 230, ""value"": ""93.8""}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,58.0,15.3,NaN,NaN,NaN,,true,NaN,true,true,93.8,43.0,NaN,NaN,NaN,NaN,0.3776838779449463,0.0,,NaN,2,1,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,NaN,,NaN,,,,,,,NaN,,NaN,true,true,,NaN,NaN,,NaN,,,NaN,NaN,NaN,,,,NaN,NaN,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827661809,713,15,2,67,28,O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,1,83.0,33.1,2025-07-18T17:56:54.423,2025-07-21T15:29:22,"{""id"": 5804319365, ""qualifierId"": 328}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,50.2,32.3,NaN,97.5,48.7,,NaN,NaN,NaN,NaN,NaN,NaN,536,NaN,NaN,NaN,0.03411634638905525,0.024784579873085022,,NaN,2,2,true,,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,NaN,,NaN,,,,,,,NaN,,true,NaN,NaN,,NaN,NaN,,NaN,,,NaN,NaN,NaN,,,,NaN,NaN,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827661867,718,13,2,68,28,M. Boye,5jyv1dctfxa6335l1mlifwavo,1,94.2,50.7,2025-07-18T17:57:54.013,2025-07-18T17:59:06,"{""id"": 5799165237, ""qualifierId"": 327, ""value"": ""2""}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,NaN,50.9,66.7,NaN,NaN,NaN,,true,NaN,true,NaN,98.5,50.5,NaN,NaN,NaN,NaN,0.23839838802814484,0.0,,NaN,1,2,true,,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,NaN,,NaN,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,,NaN,,,NaN,NaN,NaN,,,,NaN,NaN,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827665521,744,15,2,91,25,N. Jakobsen,4ti8pdx03j8dh4mdb626ltmvo,1,81.3,60.9,2025-07-18T18:20:50.504,2025-07-18T18:22:01,"{""id"": 5799190905, ""qualifierId"": 78}",NaN,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,,NaN,Center,NaN,true,NaN,NaN,NaN,true,NaN,NaN,true,,NaN,51.1,19,NaN,84.9,59.0,,NaN,NaN,NaN,true,97.3,53.8,918,NaN,NaN,NaN,0.08833841234445572,0.0,,NaN,3,2,NaN,,NaN,NaN,NaN,NaN,true,,NaN,,,,,,,,,NaN,,NaN,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,,NaN,,,NaN,NaN,NaN,,,,NaN,NaN,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2827665729,757,15,2,92,24,B. Alkhoudari,6orujbbswf771s9rv0dcd8kd0,1,91.8,34.8,2025-07-18T18:21:50.216,2025-07-21T15:51:12,"{""id"": 5799190435, ""qualifierId"": 233, ""value"": ""938""}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,true,Center,true,true,NaN,NaN,NaN,true,NaN,NaN,NaN,,NaN,50.1,13.3,NaN,97.5,43.9,,true,NaN,NaN,NaN,NaN,NaN,938,NaN,NaN,NaN,0.10568642616271973,0.12180562317371368,,NaN,3,2,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,NaN,,NaN,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,,true,,,true,NaN,NaN,,,,NaN,NaN,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827662425,777,15,2,73,24,M. Boye,5jyv1dctfxa6335l1mlifwavo,1,95.4,50.3,2025-07-18T18:02:50.321,2025-07-21T15:29:20,"{""id"": 5799168963, ""qualifierId"": 103, ""value"": ""13.3""}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,,NaN,50.9,13.3,NaN,99.0,48.9,,true,NaN,true,NaN,NaN,NaN,571,NaN,NaN,NaN,0.5547385215759277,0.33785682916641235,,NaN,2,1,true,,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,true,,NaN,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,,NaN,,,NaN,NaN,NaN,,,,NaN,true,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827664047,847,15,2,83,5,O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,1,89.2,41.3,2025-07-18T18:12:30.932,2025-07-18T18:13:41,"{""id"": 5799177735, ""qualifierId"": 82}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,NaN,NaN,true,NaN,NaN,true,true,NaN,NaN,,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,,NaN,48.8,19,NaN,93.4,45.1,,true,NaN,NaN,NaN,99.8,49.1,677,NaN,NaN,NaN,0.17173472046852112,0.0,,NaN,1,2,true,,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,NaN,,NaN,,,,,,,NaN,,NaN,NaN,NaN,,NaN,NaN,,NaN,,,NaN,NaN,NaN,,,,NaN,NaN,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2827665087,899,13,2,88,56,M. Boye,5jyv1dctfxa6335l1mlifwavo,1,94.8,51.6,2025-07-18T18:18:22.397,2025-07-18T18:20:17,"{""id"": 5799184639, ""qualifierId"": 75}",1.0,brnzj43frth2y4gjyeex6n5lg,HB Køge vs Hobro,1_Division,2025-07-18,DNK,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,true,,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,38.3,1.4,NaN,NaN,NaN,,true,NaN,NaN,NaN,99.1,50.7,NaN,NaN,NaN,NaN,0.1858915239572525,0.0,,NaN,3,2,true,,NaN,NaN,NaN,NaN,NaN,,NaN,,,,,,,,,NaN,,NaN,,,,,,,true,,NaN,NaN,NaN,,NaN,NaN,,NaN,,,NaN,NaN,NaN,,,,NaN,NaN,,,,,,,,
