contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,league_name,date,country,9,15,16,17,18,19,20,22,23,24,25,29,56,63,64,72,73,74,75,76,78,79,80,81,82,83,89,100,101,102,103,108,120,121,138,146,147,154,160,214,215,230,231,233,273,280,281,282,321,322,324,326,327,328,353,374,375,390,391,395,396,458,472,sequenceId,possessionId,keyPass,140,141,318,210,6,26,107,61,65,77,86,113,114,153,60,85,87,323,338,468,62,122,133,71,84,136,139,216,217,68,276,69,300
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2859662319,797,13,2,96,20,M. Maden,15yli690oxmbr4dl1ksti2p9m,1,81.2,49.5,2025-10-16T18:23:33.944,2025-10-16T18:25:34,"{""id"": 5978388781, ""qualifierId"": 215}",1.0,cj1ilp8tkmw3wcmehknxnt4b8,Esbjerg vs Hobro,1_Division,2025-10-16,DNK,,NaN,,NaN,true,,NaN,true,,NaN,NaN,true,Center,NaN,NaN,true,true,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,,,68.1,15.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.5,49.8,NaN,NaN,,,,0.08974223583936691,0.0,,1,2,true,,NaN,NaN,,,NaN,NaN,NaN,,,,,,,,,,NaN,,,,NaN,,,,NaN,,,,,,NaN,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2868049575,35,15,1,3,28,O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,1,89.2,44.5,2025-11-02T14:04:00.584,2025-11-02T21:08:58,"{""id"": 6025182919, ""qualifierId"": 56, ""value"": ""Center""}",NaN,cp5su3bodte3bnqkb70tta4gk,Lyngby vs Hobro,1_Division,2025-11-02,DNK,,NaN,,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,,NaN,true,NaN,NaN,NaN,true,NaN,,NaN,NaN,50.3,19,true,,NaN,,91.4,45.7,NaN,true,NaN,NaN,98.8,50,32,,NaN,NaN,NaN,0.06605841219425201,0.0,,3,2,true,,NaN,NaN,,NaN,NaN,NaN,true,NaN,,,,,,,,,,,NaN,NaN,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,
anga7587r1zv4ey71ge9zxol3,Lyngby,2868055793,68,15,1,7,56,Í. Þorvaldsson,5k2hgogp2g5ivgdnq99ejp27e,1,90.6,48.3,2025-11-02T14:08:28.620,2025-11-02T14:09:43,"{""id"": 4611686018472093919, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,cp5su3bodte3bnqkb70tta4gk,Lyngby vs Hobro,1_Division,2025-11-02,DNK,,true,,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,,true,NaN,NaN,NaN,NaN,true,NaN,,true,true,52.8,19,NaN,,NaN,,98.9,52.3,true,NaN,NaN,NaN,98.0,47.5,80,,NaN,NaN,NaN,0.08839472383260727,0.0,,3,2,true,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,NaN,NaN,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2868054277,74,15,1,7,1,O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,1,83.5,49.6,2025-11-02T14:07:33.273,2025-11-02T14:14:10,"{""id"": 6025538743, ""qualifierId"": 233, ""value"": ""59""}",NaN,cp5su3bodte3bnqkb70tta4gk,Lyngby vs Hobro,1_Division,2025-11-02,DNK,,NaN,,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,true,NaN,NaN,,NaN,true,NaN,NaN,NaN,true,NaN,,NaN,NaN,50.6,19,NaN,,NaN,,90.1,50.0,NaN,NaN,NaN,NaN,98.2,51.4,59,,NaN,NaN,NaN,0.07605638355016708,0.0,,1,3,true,,NaN,NaN,,NaN,NaN,NaN,true,NaN,,,,,,,,,,,NaN,NaN,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,
anga7587r1zv4ey71ge9zxol3,Lyngby,2868063305,153,15,1,13,22,O. Buur,8822s8ns7oyvjqade4oaxzg0l,1,84.3,32.7,2025-11-02T14:13:54.736,2025-11-02T14:15:04,"{""id"": 6025258641, ""qualifierId"": 22}",1.0,cp5su3bodte3bnqkb70tta4gk,Lyngby vs Hobro,1_Division,2025-11-02,DNK,,NaN,,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,true,NaN,NaN,NaN,NaN,,true,NaN,NaN,NaN,NaN,true,NaN,,true,true,52.2,19,true,,NaN,,98.1,49.8,true,NaN,NaN,NaN,98.9,46.8,113,,NaN,NaN,NaN,0.039900269359350204,0.0,,1,3,true,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,NaN,NaN,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,
anga7587r1zv4ey71ge9zxol3,Lyngby,2868064527,158,15,1,14,17,G. Mortensen,bvw5oc4c040ey5dt5wn0choiy,1,83.4,53.6,2025-11-02T14:14:49.904,2025-11-02T14:16:05,"{""id"": 6025265163, ""qualifierId"": 327, ""value"": ""3""}",1.0,cp5su3bodte3bnqkb70tta4gk,Lyngby vs Hobro,1_Division,2025-11-02,DNK,,NaN,,true,NaN,NaN,NaN,NaN,NaN,NaN,true,true,Center,NaN,NaN,true,NaN,NaN,,NaN,true,NaN,NaN,NaN,true,NaN,,NaN,NaN,49.1,19,NaN,,NaN,,92.0,51.3,true,NaN,NaN,NaN,98.8,49.1,NaN,,NaN,NaN,NaN,0.06430771201848984,0.0,,1,3,true,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,NaN,NaN,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,,,,NaN,,true,,,,,,
anga7587r1zv4ey71ge9zxol3,Lyngby,2868064613,160,15,1,14,19,C. Winther,d854rlweyk5wq6d2veyviukq2,1,91.7,51.7,2025-11-02T14:14:51.208,2025-11-02T14:16:28,"{""id"": 6025271657, ""qualifierId"": 230, ""value"": ""99.8""}",1.0,cp5su3bodte3bnqkb70tta4gk,Lyngby vs Hobro,1_Division,2025-11-02,DNK,,NaN,,true,NaN,NaN,NaN,NaN,NaN,NaN,true,true,Center,NaN,NaN,true,NaN,NaN,,NaN,true,NaN,NaN,NaN,true,NaN,,true,NaN,50.5,19,NaN,,NaN,,94.6,51.3,NaN,NaN,NaN,NaN,99.8,51.4,115,,NaN,NaN,NaN,0.09207865595817566,0.0,,3,3,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,NaN,NaN,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2868073163,194,13,1,20,46,O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,1,84.6,61.1,2025-11-02T14:21:18.471,2025-11-04T07:45:20,"{""id"": 6030693161, ""qualifierId"": 102, ""value"": ""41.0""}",1.0,cp5su3bodte3bnqkb70tta4gk,Lyngby vs Hobro,1_Division,2025-11-02,DNK,,NaN,,true,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,41.0,6.9,true,,NaN,,92.1,49.8,true,NaN,true,NaN,92.7,53.3,NaN,,NaN,NaN,NaN,0.22286774218082428,0.0,,1,1,true,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,NaN,NaN,NaN,,,true,true,,,,NaN,NaN,NaN,,,,,true,,NaN,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2868078683,229,15,1,25,28,E. Søgaard,cflwegqpzch8y30pb3dhigqnd,1,79.6,33.8,2025-11-02T14:26:00.861,2025-11-02T14:27:09,"{""id"": 6025343617, ""qualifierId"": 215}",NaN,cp5su3bodte3bnqkb70tta4gk,Lyngby vs Hobro,1_Division,2025-11-02,DNK,,NaN,,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,,NaN,true,NaN,NaN,NaN,true,NaN,,NaN,NaN,48.6,19,NaN,,NaN,,82.3,35.7,NaN,NaN,NaN,true,98.5,49.6,256,,NaN,NaN,NaN,0.028842998668551445,0.0,,2,3,NaN,,NaN,NaN,,NaN,NaN,NaN,true,NaN,,,,,,,,,,,NaN,NaN,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,
anga7587r1zv4ey71ge9zxol3,Lyngby,2868077311,252,16,1,23,45,C. Winther,d854rlweyk5wq6d2veyviukq2,1,92.0,48.5,2025-11-02T14:24:17.506,2025-11-04T07:29:22,"{""id"": 6030694053, ""qualifierId"": 395, ""value"": ""98.4""}",1.0,cp5su3bodte3bnqkb70tta4gk,Lyngby vs Hobro,1_Division,2025-11-02,DNK,,NaN,,true,NaN,NaN,NaN,NaN,NaN,NaN,true,true,Center,NaN,NaN,true,NaN,NaN,,NaN,NaN,true,NaN,NaN,NaN,NaN,,NaN,NaN,50.6,20.9,NaN,,NaN,,NaN,NaN,true,NaN,true,NaN,98.4,49.3,NaN,,NaN,NaN,NaN,0.2249271124601364,0.3124554753303528,,1,2,true,,2025-11-02 14:24:16.998,23:44.864,,NaN,98.4,49.3,NaN,NaN,,,,,,,,,,,NaN,NaN,NaN,,,NaN,NaN,,,,NaN,NaN,NaN,,,,,NaN,,NaN,,,,,,
