playerName,playerId,contestantId,team_name,typeId,321,322,9,24,25,26,label,match_id,date
M. Bomholt,ejixz16616b7krftxyzv9yiac,36g6ifzjliec1jqnbtf7yesme,AaB,16,0.0340024009346962,0.21947892010211945,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
M. Wohlgemuth,e8vt8711wb40afht2v13omket,ajtb177oqwawkdwbqhldmq6mx,B 93,15,0.053215477615594864,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
M. Wohlgemuth,e8vt8711wb40afht2v13omket,ajtb177oqwawkdwbqhldmq6mx,B 93,15,0.018997404724359512,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
E. Makolli,697f50qoetodmfe8ybcuey2ac,36g6ifzjliec1jqnbtf7yesme,AaB,13,0.023105397820472717,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
F. Isaki,86mx27krl6c613x6e3t9g3cic,ajtb177oqwawkdwbqhldmq6mx,B 93,15,0.035796187818050385,0.019703533500432968,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
N. Helenius,rv6r0bwbl75er38wklyfpsr9,36g6ifzjliec1jqnbtf7yesme,AaB,15,0.09465976059436798,0.10609381645917892,,,true,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
L. Henriksen,6g671k5lvgoo2bgub2516q1w4,ajtb177oqwawkdwbqhldmq6mx,B 93,15,0.019365273416042328,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
K. Hansen,48sqqhgtmfmpqb3602iirspd6,36g6ifzjliec1jqnbtf7yesme,AaB,16,0.12307429313659668,0.1692602038383484,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
R. Arabaci,7h02v4ymnko5fh01iylbh34es,ajtb177oqwawkdwbqhldmq6mx,B 93,13,0.026734914630651474,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
L. Henriksen,6g671k5lvgoo2bgub2516q1w4,ajtb177oqwawkdwbqhldmq6mx,B 93,13,0.010089910589158535,0.0,,,true,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
M. Kaasa,e0j0uakuzduvis9wqsocngwrt,36g6ifzjliec1jqnbtf7yesme,AaB,13,0.18072609603405,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
R. Arabaci,7h02v4ymnko5fh01iylbh34es,ajtb177oqwawkdwbqhldmq6mx,B 93,15,0.03754830360412598,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
N. Mouritsen,eyvv6b94feknnp1uew6n0ytat,ajtb177oqwawkdwbqhldmq6mx,B 93,13,0.015486023388803005,0.0,,,true,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
K. Hansen,48sqqhgtmfmpqb3602iirspd6,36g6ifzjliec1jqnbtf7yesme,AaB,13,0.044437751173973083,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
K. John,5vrsflxiv2dgfa8199a2qxsve,36g6ifzjliec1jqnbtf7yesme,AaB,15,0.25241032242774963,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
F. Isaki,86mx27krl6c613x6e3t9g3cic,ajtb177oqwawkdwbqhldmq6mx,B 93,13,0.0669025406241417,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
R. Arabaci,7h02v4ymnko5fh01iylbh34es,ajtb177oqwawkdwbqhldmq6mx,B 93,13,0.16183078289031982,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
F. Isaki,86mx27krl6c613x6e3t9g3cic,ajtb177oqwawkdwbqhldmq6mx,B 93,14,0.17444679141044617,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
R. Arabaci,7h02v4ymnko5fh01iylbh34es,ajtb177oqwawkdwbqhldmq6mx,B 93,15,0.021649539470672607,0.0,,,NaN,,AaB vs B 93,cc9l2gokl9ksda5v0gpbvdkwk,2025-09-21
