player_matchName,player_playerId,contestantId,team_name,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,label,match_id,date,totalLongBalls,accurateCrossNocorner,totalCross,possLostAll,goals,attemptsConcededIbox,goalAssist
B. Bayrak,dqqswfn9s1tdxjoslts8ks6xg,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,NaN,NaN,Goalkeeper,Centre,NaN,15,NaN,1,NaN,16,2,NaN,2,22,19,90,23,13,7,17,1,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,20,NaN,NaN,18,NaN,9,NaN
L. Bust,6gmm4awyvlf9p7jr9dvnmp0tm,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,4,2,Defender,Left/Centre,NaN,23,NaN,2,2,10,NaN,NaN,14,28,12,62,18,7,1,17,4,7,NaN,2,NaN,1,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,9,NaN,NaN,6,NaN,5,NaN
M. Westergren,7al9w77ailhli8g487tkl32tw,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,4,3,Defender,Centre,NaN,46,NaN,10,6,30,3,NaN,16,56,34,90,23,4,4,22,6,7,NaN,7,NaN,1,3,NaN,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,4,NaN,NaN,14,NaN,9,NaN
H. Bonnesen,2pm5oqzyonn0dysa5nszgq3xm,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,1,NaN,Defender,Centre/Right,NaN,32,NaN,2,1,23,1,NaN,10,42,27,90,18,6,5,16,6,10,NaN,1,NaN,3,1,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,4,NaN,NaN,10,NaN,9,NaN
N. Jakobsen,4ti8pdx03j8dh4mdb626ltmvo,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2,1,Midfielder,Left,NaN,32,NaN,3,6,16,2,NaN,22,35,16,90,5,7,5,25,10,12,1,1,2,3,1,4,1,1,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,1,1,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,3,4,5,6,NaN,9,NaN
G. Larsen,3mgrufy83uhzs9liw8pwxi784,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,5,2,Midfielder,Left/Centre,NaN,40,NaN,1,4,13,3,NaN,27,53,17,90,16,7,7,38,11,17,3,NaN,3,4,2,2,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,4,3,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,7,NaN,2,16,NaN,9,NaN
M. Schütt,k43cten7yb6p59yo0firhb84,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,4,NaN,Midfielder,Centre/Right,NaN,19,1,3,2,6,1,NaN,15,20,6,62,2,2,5,17,4,5,NaN,NaN,NaN,3,NaN,2,NaN,1,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,1,1,2,5,NaN,5,NaN
S. Larsen,4m7gr5z6b40dj02yrmlwgeluc,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,4,1,Midfielder,Right,NaN,22,3,5,1,9,2,2,14,26,10,90,10,5,4,18,6,8,NaN,1,NaN,2,NaN,2,NaN,2,3,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,2,1,2,10,NaN,9,NaN
C. Tue Jensen,74m58jsznzu8l89b8h7rkh1bd,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,4,2,Striker,Left/Centre,NaN,17,1,2,4,3,NaN,1,14,18,3,80,4,NaN,NaN,17,11,11,NaN,NaN,NaN,NaN,NaN,1,NaN,2,7,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,1,NaN,2,8,2,7,NaN
M. Rochester,444n8m1tirk6lp739iigw42c5,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,9,6,Striker,Centre,NaN,9,1,2,1,3,NaN,NaN,7,11,3,62,3,NaN,2,9,5,6,NaN,1,1,1,NaN,NaN,NaN,NaN,6,NaN,NaN,1,NaN,1,NaN,1,1,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,6,NaN,5,1
G. Çulhacı,1icurh5jrnw1e6jdgqxjnhdnu,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,6,3,Striker,Centre/Right,NaN,17,3,4,7,1,NaN,1,16,19,1,71,4,NaN,1,21,9,11,2,NaN,2,NaN,NaN,3,NaN,2,2,NaN,NaN,1,NaN,NaN,NaN,4,4,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,3,9,NaN,6,NaN
Mohamad Al Naser,abhfq12njxxutqjtb9zvcusyc,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2,1,Substitute,NaN,Attacker,5,NaN,1,NaN,NaN,NaN,NaN,5,5,NaN,19,3,2,1,5,2,2,1,NaN,1,1,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,1,NaN,3,NaN
B. Alkhoudari,6orujbbswf771s9rv0dcd8kd0,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,1,NaN,Substitute,NaN,Attacker,1,1,2,NaN,1,1,NaN,NaN,1,1,10,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,2,NaN,2,NaN
I. Dorgu,bmvcofmie6om4muxij4kdkro4,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A. Gøthler,d2ukggo2v5jsw4pctznmaijo4,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,3,1,Substitute,NaN,Attacker,1,NaN,1,NaN,1,NaN,NaN,NaN,1,1,28,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,1,NaN,4,NaN
S. Hald,67p0s4o54xcmiustgy8k5gljo,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2,2,Substitute,NaN,Defender,15,NaN,1,1,12,NaN,NaN,3,19,14,28,8,2,NaN,5,NaN,2,NaN,1,NaN,NaN,1,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,3,NaN,NaN,4,NaN,4,NaN
