contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,outcome,x,y,playerId,playerName,possessionValue.pvValue,possessionValue.pvAdded,assist,keyPass,label,match_id,date
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827819813,1,34,16,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833257,2,32,1,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833259,3,1,1,0,0,1,50.0,50.0,9fvf8z6p8ok0n5vu999ysfywa,C. Jørgensen,0.0002811,0.0002811,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833309,4,1,1,0,2,1,26.9,53.2,8ewvm6ux4yvpwgrzjkc1chqwa,A. Nørager,0.008386,0.0,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833335,5,1,1,0,7,1,82.5,10.0,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,0.0712523,0.0628663,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833339,6,50,1,0,12,1,83.2,7.4,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,0.0,-0.0712523,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833387,7,5,1,0,13,1,82.5,-1.7,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,NaN,NaN,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833527,8,1,1,0,36,0,85.2,0.0,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,0.0038833,0.0030719,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827836371,74,44,1,0,40,0,90.0,45.0,9ircna8pbskreztmy1wiqwx9m,S. Yatéké,NaN,NaN,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833571,9,1,1,0,44,1,81.4,67.0,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,0.0145354,0.0106521,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833581,10,1,1,0,46,1,72.6,68.2,423hv4unq5vvnp7kecv6wp3is,M. Saaby,0.0584425,0.0439071,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833591,12,1,1,0,48,0,92.3,68.2,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,0.0964946,0.0380521,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833587,11,43,1,0,49,1,0.0,0.0,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,NaN,NaN,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2827833605,13,13,1,0,51,1,82.2,49.7,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,NaN,NaN,NaN,NaN,Kolding vs AaB,bs7i18mhro0d46fg5m0727rpw,2025-07-19
