team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,24.0,25.0,26.0,107.0
Hobro,2705185815,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,Hobro vs HB Køge,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
HB Køge,2705184601,1,34,0,0,1,50.0,50.0,NaN,NaN,NaN,NaN,NaN,Hobro vs HB Køge,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
HB Køge,2705193027,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Hobro vs HB Køge,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
Hobro,2705193029,2,32,0,0,1,0.0,0.0,NaN,NaN,NaN,NaN,NaN,Hobro vs HB Køge,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
HB Køge,2705193033,3,1,0,0,1,50.4,50.0,J. Arias,1.0,1.0,NaN,NaN,Hobro vs HB Køge,2024-08-02,37.2,46.1,0.00002694,NaN,NaN,14.1,3.3,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
Hobro,2705193139,3,1,0,23,0,31.8,11.5,E. Søgaard,5.0,4.0,NaN,NaN,Hobro vs HB Køge,2024-08-02,42.3,16.6,NaN,NaN,NaN,11.6,0.3,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
Hobro,2705193143,4,50,0,23,1,61.2,16.4,J. Cornelius,3.0,2.0,NaN,NaN,Hobro vs HB Køge,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
HB Køge,2705193043,4,1,0,2,1,37.2,46.4,M. Jensen,1.0,1.0,NaN,NaN,Hobro vs HB Køge,2024-08-02,27.2,76.3,0.00000553,NaN,NaN,22.9,2.0,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
Hobro,2705193181,5,5,0,28,1,38.2,-1.4,F. Christensen,NaN,4.0,NaN,NaN,Hobro vs HB Køge,2024-08-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
HB Køge,2705193053,5,1,0,5,1,21.9,80.8,H. Bonnesen,1.0,1.0,NaN,NaN,Hobro vs HB Køge,2024-08-02,18.9,51.6,0.0000017,NaN,NaN,20.1,4.6,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
