contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,league_name,date,country,15,17,18,20,22,23,24,25,26,29,56,63,64,66,72,73,74,75,76,77,78,79,80,82,83,84,102,103,108,120,146,147,154,214,215,230,231,233,321,322,324,326,327,328,374,375,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,6,9,107,16,19,61,65,70,81,87,89,121,153,160,323,338,391,85,100,133,69,114,138,139,275,280,281,282,353,390,472,60,468,86,62,68,101,254,300,276,113,136,216,217,474,475,122,314,21,137
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2742744817,590,15,2,77,45,J. Rothmann,e2aqcawslcbpp88nia8eko2y1,1,81.8,73.6,2024-11-02T15:34:23.361,2024-11-05T02:29:15,"{""id"": 5343385367, ""qualifierId"": 324}",1.0,6shw9y7wavr5eoj2ure7d0opg,Vendsyssel vs HB Køge,1_Division,2024-11-02,DNK,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,50.3,3.8,NaN,NaN,98.9,51.8,NaN,NaN,true,NaN,NaN,828,0.020913466811180115,0.010908798314630985,true,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2742749665,619,15,2,79,47,Y. Dhaflaoui,98zlz2sscsf6vb7d52ici074k,1,85.7,34.6,2024-11-02T15:36:25.561,2024-11-02T15:37:49,"{""id"": 5333666839, ""qualifierId"": 72}",1.0,6shw9y7wavr5eoj2ure7d0opg,Vendsyssel vs HB Køge,1_Division,2024-11-02,DNK,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,51.3,19,NaN,NaN,92.4,42.4,true,NaN,true,98.9,46.8,847,0.03024933487176895,0.0,true,3,3,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2742700919,619,13,2,55,34,K. Kusk,11cna826ls27ahux2w0ckapqt,1,83.4,65.4,2024-11-02T15:12:11.660,2024-11-02T15:13:20,"{""id"": 4611686018468269157, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,6shw9y7wavr5eoj2ure7d0opg,Vendsyssel vs HB Køge,1_Division,2024-11-02,DNK,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,true,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.3,62.5,NaN,NaN,NaN,NaN,true,NaN,NaN,97.7,55.4,NaN,0.09542601555585861,0.0,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2742708241,656,15,2,58,48,F. Børsting,egwhlgopjtjkop7ozy7ltk1cl,1,94.0,53.4,2024-11-02T15:15:26.552,2024-11-05T00:29:05,"{""id"": 5333453481, ""qualifierId"": 103, ""value"": ""25.3""}",1.0,6shw9y7wavr5eoj2ure7d0opg,Vendsyssel vs HB Køge,1_Division,2024-11-02,DNK,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,52.3,25.3,true,NaN,96.7,52.7,true,true,NaN,NaN,NaN,468,0.2648657262325287,0.6547014117240906,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2742709475,660,13,2,59,21,M. Lauritsen,oywgthoxa153nf48la1j8v10,1,91.5,57.0,2024-11-02T15:15:58.746,2024-11-02T15:29:14,"{""id"": 5333571793, ""qualifierId"": 458}",NaN,6shw9y7wavr5eoj2ure7d0opg,Vendsyssel vs HB Køge,1_Division,2024-11-02,DNK,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,43.0,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.8,52.0,NaN,0.05983259901404381,0.0,NaN,3,3,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2742718119,694,16,2,63,34,M. Kaastrup,9nafz0c0x2qvmo5ldm0djmcq1,1,83.4,64.0,2024-11-02T15:20:11.806,2024-11-05T01:29:23,"{""id"": 5333507109, ""qualifierId"": 374, ""value"": ""2024-11-02 15:20:10.614""}",1.0,6shw9y7wavr5eoj2ure7d0opg,Vendsyssel vs HB Køge,1_Division,2024-11-02,DNK,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,45.9,1.9,NaN,NaN,NaN,NaN,true,NaN,true,96.7,55.6,NaN,0.050342630594968796,0.7435927987098694,NaN,3,2,NaN,2024-11-02 15:20:10.614,63:32.968,97.3,54.0,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2742781113,730,15,2,94,30,Y. Dhaflaoui,98zlz2sscsf6vb7d52ici074k,1,89.7,14.7,2024-11-02T15:51:08.104,2024-11-05T02:24:05,"{""id"": 5343415229, ""qualifierId"": 26}",NaN,6shw9y7wavr5eoj2ure7d0opg,Vendsyssel vs HB Køge,1_Division,2024-11-02,DNK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,Right,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,48.9,24.7,NaN,NaN,99.5,47.1,NaN,NaN,NaN,NaN,NaN,1018,0.03947310894727707,0.03795047849416733,NaN,1,2,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2742728583,743,15,2,69,15,F. Børsting,egwhlgopjtjkop7ozy7ltk1cl,1,92.3,30.9,2024-11-02T15:25:52.675,2024-11-05T01:29:23,"{""id"": 5334607197, ""qualifierId"": 328}",1.0,6shw9y7wavr5eoj2ure7d0opg,Vendsyssel vs HB Køge,1_Division,2024-11-02,DNK,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,true,Center,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,49.0,19.6,NaN,NaN,98.6,45.7,true,NaN,NaN,NaN,NaN,522,0.025583870708942413,0.030069829896092415,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2746771825,27,13,1,1,48,A. Iljazovski,bfvdr7ckiersz26ya2kq9f1g4,1,55.5,15.0,2024-11-10T12:02:01.139,2024-11-10T12:03:11,"{""id"": 5355515845, ""qualifierId"": 22}",NaN,6ueatfbq3p7e6j7fs4je9w8wk,HB Køge vs Hvidovre,1_Division,2024-11-10,DNK,NaN,NaN,NaN,true,true,NaN,,NaN,,NaN,Right,,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,true,41.2,31.9,NaN,NaN,NaN,NaN,NaN,NaN,true,77.3,24.2,NaN,0.022201798856258392,0.0,,1,3,true,NaN,NaN,NaN,NaN,true,,,,,,,,,,,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2746773747,67,13,1,5,31,M. Olsen,dshwz1df0rbe0fztksawvd0wl,1,95.2,46.4,2024-11-10T12:05:43.650,2024-11-10T12:07:03,"{""id"": 5355525771, ""qualifierId"": 327, ""value"": ""2""}",1.0,6ueatfbq3p7e6j7fs4je9w8wk,HB Køge vs Hvidovre,1_Division,2024-11-10,DNK,true,NaN,NaN,NaN,NaN,NaN,,true,,true,Center,,NaN,,NaN,NaN,true,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,54.5,70.8,NaN,NaN,NaN,NaN,true,NaN,NaN,97.6,48.0,NaN,0.17588762938976288,0.0,,3,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
