contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,league_name,date,country,15,16,17,18,20,22,24,25,29,56,61,62,64,72,73,76,77,78,79,80,81,82,83,84,85,100,102,103,108,113,114,133,136,146,147,154,160,214,215,216,217,230,231,233,321,322,324,326,327,328,374,375,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,23,6,9,26,107,63,74,75,138,153,273,314,323,338,391,19,60,87,120,121,468,89,69,280,281,282,353,390,472,139,192,101,254,300,21,67
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2840521037,229,16,1,25,1,A. Smed,dncrhma6gwcn6pxiu7hfc6qz8,1,85.9,63.6,2025-08-29T17:25:15.427,2025-09-01T12:29:20,"{""id"": 5871241357, ""qualifierId"": 103, ""value"": ""25.9""}",NaN,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,NaN,,NaN,NaN,true,NaN,,NaN,NaN,Center,,,true,NaN,NaN,NaN,NaN,NaN,,,true,NaN,NaN,NaN,,,46.7,25.9,NaN,,,,NaN,NaN,NaN,NaN,true,,true,,,99.0,52.9,NaN,0.06811510026454926,0.6423774361610413,,2,3,NaN,2025-08-29 18:25:14.380,25:00.565,97.6,51.1,true,,,,,,,,NaN,,,,,,NaN,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2840521499,242,13,1,27,7,M. Egho,4m9sp9mxlsjk6fv7v218yqfv9,1,88.6,59.6,2025-08-29T17:27:21.280,2025-08-29T17:28:34,"{""id"": 4611686018471440277, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,NaN,,true,NaN,NaN,true,,NaN,true,Center,,,NaN,true,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,38.5,31.9,NaN,,,,NaN,NaN,NaN,true,NaN,,NaN,,,99.3,50.7,NaN,0.13746385276317596,0.0,,3,1,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,true,,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2840521365,249,13,1,26,30,V. Rasmussen,dwuxps3jv2852642q000wep6,1,88.6,43.6,2025-08-29T17:26:44.235,2025-08-29T17:27:54,"{""id"": 5871242265, ""qualifierId"": 230, ""value"": ""98.8""}",1.0,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,NaN,,true,NaN,true,true,,NaN,true,Center,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,52.4,80.6,NaN,,,,NaN,NaN,NaN,true,NaN,,NaN,,,98.8,49.5,NaN,0.23513314127922058,0.0,,1,3,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,NaN,,,,,,true,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2840528751,348,13,1,41,14,O. Kjærgaard,cl4xl80n4gew1ox03r3ooshrd,1,88.5,47.9,2025-08-29T17:41:28.416,2025-08-29T17:42:42,"{""id"": 5871284945, ""qualifierId"": 230, ""value"": ""99.8""}",NaN,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,true,,true,NaN,NaN,NaN,,NaN,NaN,Center,,,NaN,NaN,true,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,60.0,25,NaN,,,,NaN,NaN,NaN,NaN,true,,NaN,,,99.8,50.2,NaN,0.036157961934804916,0.0,,2,3,true,NaN,NaN,NaN,NaN,true,,,,,,,,NaN,,,,,,NaN,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2840547817,456,13,2,52,11,D. Stenderup,a30gduuv9d1s4pkthgu2jhyol,1,90.6,53.3,2025-08-29T18:08:29.204,2025-08-29T18:09:42,"{""id"": 5871390079, ""qualifierId"": 327, ""value"": ""3""}",1.0,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,true,,true,NaN,NaN,NaN,,true,true,Center,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,true,NaN,,,59.2,2.8,NaN,,,,NaN,94.2,57.8,true,NaN,,NaN,,,99.3,52.0,NaN,0.04399152845144272,0.0,,3,3,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,NaN,,true,,,,,,,,,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2840551875,490,13,2,55,32,M. Egho,4m9sp9mxlsjk6fv7v218yqfv9,1,90.4,66.4,2025-08-29T18:11:50.263,2025-08-29T18:13:15,"{""id"": 4611686018471441033, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,NaN,,NaN,NaN,NaN,true,,NaN,true,Center,,,true,true,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,true,,,41.0,15.3,NaN,,,,NaN,94.2,46.6,true,NaN,,NaN,,,98.5,52.5,NaN,0.040933214128017426,0.0,,3,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,NaN,,true,,,,,,,,,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2840551943,491,13,2,55,33,S. Koch,8viazilbghyogmhd7w3lg2six,1,93.3,44.0,2025-08-29T18:11:51.376,2025-08-29T18:13:08,"{""id"": 5871982059, ""qualifierId"": 328}",1.0,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,NaN,,true,NaN,true,true,,NaN,true,Center,,,NaN,NaN,NaN,NaN,true,NaN,,,NaN,NaN,NaN,NaN,,,62.2,50,true,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,,98.8,50.9,NaN,0.2383721023797989,0.0,,1,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2840545705,519,15,2,50,32,V. Rasmussen,dwuxps3jv2852642q000wep6,1,84.2,68.5,2025-08-29T18:06:50.394,2025-08-29T18:08:04,"{""id"": 5871378677, ""qualifierId"": 326, ""value"": ""3""}",1.0,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,NaN,,NaN,NaN,true,NaN,,NaN,true,Center,,,true,NaN,NaN,true,NaN,NaN,,,NaN,true,NaN,NaN,,,51.9,19,NaN,,,,NaN,87.7,64.8,NaN,NaN,,true,,,98.2,51.8,442,0.029194748029112816,0.0,,3,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,true,,,,,,NaN,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2840571675,645,15,2,72,44,N. Clausen,6dzg820946z4848whaa6ny2nd,1,83.6,56.8,2025-08-29T18:29:02.456,2025-09-01T15:29:17,"{""id"": 5882605077, ""qualifierId"": 17}",NaN,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,NaN,,true,NaN,NaN,true,,NaN,NaN,Center,,,NaN,true,NaN,NaN,NaN,true,,,NaN,NaN,NaN,NaN,,,50.0,16.5,NaN,,,,NaN,99.0,50.7,NaN,NaN,,NaN,,,NaN,NaN,724,0.08727750182151794,0.022936731576919556,,2,2,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,NaN,,,,,,NaN,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2840578469,807,13,2,78,47,S. Andreasen,4qyfoq5fjiochtj89w426lm21,1,88.7,37.6,2025-08-29T18:35:05.541,2025-08-29T18:36:17,"{""id"": 5871559375, ""qualifierId"": 327, ""value"": ""1""}",1.0,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,NaN,,true,NaN,true,true,,NaN,true,Center,,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,true,NaN,,,57.0,15.3,NaN,,,,NaN,NaN,NaN,NaN,NaN,,true,,,99.4,47.3,NaN,0.1586359292268753,0.0,,3,1,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2840597959,949,16,2,93,32,O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,1,90.3,41.5,2025-08-29T18:49:50.967,2025-09-01T16:26:37,"{""id"": 5871665161, ""qualifierId"": 17}",1.0,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,NaN,,true,NaN,true,true,,NaN,true,Center,,,NaN,NaN,NaN,NaN,NaN,true,,,NaN,NaN,NaN,NaN,,,51.1,15.2,NaN,,,,true,NaN,NaN,true,NaN,,true,,,99.1,49.8,NaN,0.16394463181495667,0.08441774547100067,,2,3,NaN,2025-08-29 19:49:50.264,93:32.243,99.3,48.2,NaN,,,,,,,,NaN,,,,,,NaN,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2842555453,981,15,2,62,54,R. Hauge,4iwabfgtbuz5xmm2d99ov6v6y,1,85.3,66.3,2025-08-29T18:19:12.143,2025-09-01T14:14:41,"{""id"": 5882587043, ""qualifierId"": 230, ""value"": ""98.0""}",1.0,c8ihdlzimmekpcme0tmw2d6vo,Hvidovre vs Hobro,1_Division,2025-08-29,DNK,NaN,,NaN,NaN,true,true,,NaN,true,Center,,,true,NaN,NaN,NaN,NaN,true,,,NaN,true,NaN,NaN,,,51.8,19,NaN,,,,NaN,86.8,64.8,NaN,NaN,,NaN,,,98.0,52.0,856,0.02359163761138916,0.0,,3,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2845169045,32,13,1,3,28,E. Voufack,5d57rssywlhqtf3a70gh2ra7e,1,93.4,40.1,2025-09-13T12:03:02.591,2025-09-13T12:11:47,"{""id"": 5897106151, ""qualifierId"": 56, ""value"": ""Center""}",1.0,cbii4phhs6ftdfmjp3o6w6ec4,Kolding vs Hvidovre,1_Division,2025-09-13,DNK,true,,true,NaN,NaN,true,,NaN,true,Center,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,38.8,15.3,NaN,NaN,,,,NaN,NaN,true,NaN,NaN,NaN,,,99.3,47.8,NaN,0.04647347331047058,0.0,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,NaN,,,,,NaN,NaN,true,,NaN,,,,,,,,,,,,,,,,,,,,,,,NaN,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2845169615,58,15,1,4,6,O. Kjærgaard,cl4xl80n4gew1ox03r3ooshrd,1,90.6,29.9,2025-09-13T12:03:40.678,2025-09-13T12:04:49,"{""id"": 5897109805, ""qualifierId"": 147, ""value"": ""35.9""}",1.0,cbii4phhs6ftdfmjp3o6w6ec4,Kolding vs Hvidovre,1_Division,2025-09-13,DNK,NaN,,NaN,NaN,true,true,,NaN,true,Center,NaN,,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,,NaN,NaN,,53.0,19,NaN,NaN,,,,93.0,35.9,true,NaN,NaN,NaN,,,99.1,46.4,36,0.03279684856534004,0.0,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,NaN,,,,,true,NaN,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,NaN,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2845172503,66,14,1,7,4,M. Olsen,4zpmxlmdfa5wx79cr0q14pfx1,1,96.1,61.7,2025-09-13T12:06:38.764,2025-09-13T12:08:15,"{""id"": 4611686018471544239, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,cbii4phhs6ftdfmjp3o6w6ec4,Kolding vs Hvidovre,1_Division,2025-09-13,DNK,NaN,,NaN,NaN,true,true,,NaN,true,Center,true,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,55.0,39.2,NaN,NaN,,,,NaN,NaN,true,NaN,NaN,NaN,,,99.0,54.9,NaN,0.22448201477527618,0.0,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,NaN,,,,,NaN,true,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,NaN,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2845176587,102,13,1,10,54,M. Elvius,6c2isptqoy4cq5c8rlr9s1roq,1,76.5,59.5,2025-09-13T12:10:28.799,2025-09-13T12:11:35,"{""id"": 4611686018471544303, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,cbii4phhs6ftdfmjp3o6w6ec4,Kolding vs Hvidovre,1_Division,2025-09-13,DNK,NaN,,NaN,true,true,true,,NaN,true,Center,NaN,,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,62.2,5.6,NaN,NaN,,,,NaN,NaN,true,NaN,NaN,NaN,,,98.8,49.3,NaN,0.039356209337711334,0.0,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,NaN,,,,,NaN,NaN,NaN,,NaN,,,,,,,,,,,,,,,,,,,,,,,NaN,,,
