contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,17,18,20,22,24,25,26,29,56,63,64,72,73,74,75,76,77,78,81,82,84,85,102,103,108,139,146,147,153,154,160,215,230,231,233,276,321,322,324,326,327,328,458,sequenceId,possessionId,keyPass,140,141,318,210,23,6,9,107,16,61,79,80,83,87,100,101,120,121,138,192,214,275,280,281,282,323,338,353,374,375,390,391,395,396,468,472,19,89,216,217,60,69,133,136,65,273,86,28,62,114
a9vw7ikerpr4cuweeeka5aneg,Horsens,2827911289,459,15,2,49,47,K. Kirkegaard,3ylgelxr6ssp42hidfnchqp2i,1,87.5,50.7,2025-07-19T15:09:25.747,2025-07-19T15:10:52,1.0,"{""id"": 5800542393, ""qualifierId"": 147, ""value"": ""50.5""}",btk54zcps9pizk65pevt2pzis,Horsens vs Aarhus Fremad,1_Division,2025-07-19,DNK,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,49.8,19,NaN,NaN,89.7,50.5,NaN,true,NaN,NaN,98.9,50,454,NaN,0.18473945558071136,0.0,NaN,3,2,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2827913655,492,15,2,54,29,P. Olsen,8jotzm26md7pzdy2gn474chqt,1,81.8,49.1,2025-07-19T15:14:07.002,2025-07-19T15:15:15,1.0,"{""id"": 5800550643, ""qualifierId"": 103, ""value"": ""10.8""}",btk54zcps9pizk65pevt2pzis,Horsens vs Aarhus Fremad,1_Division,2025-07-19,DNK,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,49.6,10.8,NaN,NaN,98.5,49.6,NaN,true,NaN,NaN,NaN,NaN,496,NaN,0.1267714947462082,0.035469233989715576,NaN,1,2,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2827913883,498,13,2,54,56,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,92.0,43.8,2025-07-19T15:14:34.810,2025-07-19T15:15:43,1.0,"{""id"": 5800551681, ""qualifierId"": 22}",btk54zcps9pizk65pevt2pzis,Horsens vs Aarhus Fremad,1_Division,2025-07-19,DNK,true,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.1,75,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,99.1,47.8,NaN,NaN,0.05131543055176735,0.0,NaN,3,2,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfwi3pjyg3whbn0tpsz19e8hq,Aarhus Fremad,2827915413,535,15,2,57,59,J. Beluli,29y19vqfjkvlc8s9gr5v5atqs,1,71.0,47.9,2025-07-19T15:17:37.516,2025-07-19T15:18:45,1.0,"{""id"": 5800560183, ""qualifierId"": 72}",btk54zcps9pizk65pevt2pzis,Horsens vs Aarhus Fremad,1_Division,2025-07-19,DNK,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,51.2,4.4,NaN,NaN,97.7,49.8,NaN,NaN,NaN,true,NaN,NaN,542,NaN,0.012370780110359192,0.018555963411927223,NaN,2,2,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2827916101,565,13,2,59,32,S. Doua,6qko3f8w2ap9ynbuq2g55i5n8,1,86.1,35.2,2025-07-19T15:19:10.927,2025-07-19T15:20:18,NaN,"{""id"": 5800564185, ""qualifierId"": 103, ""value"": ""62.5""}",btk54zcps9pizk65pevt2pzis,Horsens vs Aarhus Fremad,1_Division,2025-07-19,DNK,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,Center,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.1,62.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,99.5,46.4,NaN,NaN,0.11355254799127579,0.0,NaN,1,2,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfwi3pjyg3whbn0tpsz19e8hq,Aarhus Fremad,2827922261,659,15,2,72,32,M. Kaastrup,9nafz0c0x2qvmo5ldm0djmcq1,1,91.2,52.7,2025-07-19T15:32:10.345,2025-07-19T15:33:16,1.0,"{""id"": 5800597201, ""qualifierId"": 22}",btk54zcps9pizk65pevt2pzis,Horsens vs Aarhus Fremad,1_Division,2025-07-19,DNK,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,51.0,7.6,NaN,NaN,98.1,51.8,NaN,true,NaN,NaN,NaN,NaN,653,NaN,0.2970629632472992,0.22445231676101685,NaN,2,2,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfwi3pjyg3whbn0tpsz19e8hq,Aarhus Fremad,2827923009,668,13,2,73,54,M. Kaastrup,9nafz0c0x2qvmo5ldm0djmcq1,1,84.8,46.7,2025-07-19T15:33:32.121,2025-07-19T15:34:39,1.0,"{""id"": 5800601483, ""qualifierId"": 22}",btk54zcps9pizk65pevt2pzis,Horsens vs Aarhus Fremad,1_Division,2025-07-19,DNK,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,49.2,59.7,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,99.1,49.1,NaN,NaN,0.09704726189374924,0.0,NaN,2,2,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfwi3pjyg3whbn0tpsz19e8hq,Aarhus Fremad,2827924085,680,13,2,75,52,M. Berthelsen,6yh22sf7jss7huppjtromrkes,1,70.5,28.9,2025-07-19T15:35:30.898,2025-07-19T15:36:42,NaN,"{""id"": 5800607533, ""qualifierId"": 327, ""value"": ""3""}",btk54zcps9pizk65pevt2pzis,Horsens vs Aarhus Fremad,1_Division,2025-07-19,DNK,NaN,NaN,true,true,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.5,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.4,46.8,NaN,NaN,0.026332279667258263,0.0,NaN,1,3,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2827925025,690,13,2,77,46,A. Saine,7353ysa16qgg30b9z5qiagys4,1,91.0,39.5,2025-07-19T15:37:24.499,2025-07-19T15:38:33,1.0,"{""id"": 5800613575, ""qualifierId"": 102, ""value"": ""41.5""}",btk54zcps9pizk65pevt2pzis,Horsens vs Aarhus Fremad,1_Division,2025-07-19,DNK,true,true,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,41.5,38.9,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,99.5,48.2,NaN,NaN,0.02199326641857624,0.0,NaN,3,2,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfwi3pjyg3whbn0tpsz19e8hq,Aarhus Fremad,2827928585,747,13,2,83,53,S. Bækgård,5o1k2hd9rdooxpjgbnabuh94a,1,84.2,71.7,2025-07-19T15:43:31.680,2025-07-19T15:44:40,1.0,"{""id"": 5800633003, ""qualifierId"": 230, ""value"": ""98.2""}",btk54zcps9pizk65pevt2pzis,Horsens vs Aarhus Fremad,1_Division,2025-07-19,DNK,NaN,NaN,NaN,true,NaN,NaN,true,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,40.3,75,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.2,51.6,NaN,NaN,0.02424974925816059,0.0,NaN,2,2,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
