team,team_side,ID,player_name,number,position,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,games
AAB,away,83572,Nicklas Helenius,9,CF,9295.20389387722,3060.9216916959986,4382.62055216394,1279.4646894401078,452.3852160551492,119.81517265813362,59.5346676031145,78.17064083256521,33.98374638912662,3491.4256165598526,189.29800130776286,38.21420864601515,23.41356083241918,2026.8676756779416,18.997305898367877,3.430323179553255,2.137360381568705,4
AAB,away,172829,Mikkel Kallesoe,2,RB,10600.155481000862,2919.4110808516175,4954.556741741507,1613.2973781491048,835.3512129148604,277.5316448608528,95.0017231917381,146.70211569161262,44.482710603222586,3840.150701068986,419.1999570642372,119.17708879846576,42.98851937811134,2322.394140997539,78.61457101642954,11.649353421709058,7.530493210404153,3
AAB,away,192161,Frederik Borsting,25,LCM,11047.408024224073,3025.662376987131,4833.9878879636635,2102.6207418622257,893.3368660105981,191.80015140045418,95.38228614685843,92.47993943981832,42.24072672218017,4488.772142316428,397.0764572293718,88.92354277062832,49.05374716124149,2272.9735049205146,59.60030280090841,10.410295230885692,4.087812263436791,6
AAB,away,192161,Frederik Borsting,25,LDM,10991.52164309628,2753.5113128363337,5118.7476297110425,1999.3287449361937,859.8683585824193,260.07012951308275,111.87581440575698,109.30340180095718,50.50018212282364,4540.8892182654945,469.8637956930328,135.23005742411812,55.71316447116283,2152.5912480956285,36.71940935192781,15.53667028800745,5.662467811770519,6
AAB,away,192161,Frederik Borsting,25,RB,10632.135601634576,2864.5455282830335,4976.035615887828,1844.1076224462133,736.1477654140626,211.29606359141516,86.63693439900777,69.50810166376438,33.53878498316107,4151.244968654611,354.5307708563405,121.62073286877414,44.070495969688466,2091.7419646585467,75.46566262283329,20.1642033402685,9.027653446158242,6
AAB,away,204165,Adam Andersson,3,RB,10688.630214794048,2672.5842096314773,5028.81210063135,1839.3084777623458,827.0956092638166,320.8298175050561,119.57222149544936,135.7956122266188,55.268263510720104,4293.637313121249,397.8847108920359,176.73787377459638,60.409892295301134,1995.8392421334183,37.73804889899989,8.29633150384093,3.894065689428129,2
AAB,away,228900,Markus Kaasa,23,LCM,11520.929752066115,2583.942148760331,5240.652892561984,2429.876033057851,986.00826446281,280.4504132231405,140.0826446280992,148.26446280991735,84.29752066115702,4052.3429752066118,396.1363636363637,128.34297520661158,53.30578512396695,2281.7727272727275,33.49586776859504,3.8429752066115705,2.479338842975207,1
AAB,away,247510,Kornelius Hansen,11,LW,11203.26657190326,2578.509776778255,5187.775943316123,2119.0294586990735,947.62383170671,370.32910463284156,131.37644227703672,213.46721753800344,66.57533243027736,4719.384767749192,496.3028517887105,119.93336482404635,57.28218409757119,2066.4131793370616,36.11365122831287,36.92852227079177,7.518925749188174,3
AAB,away,427398,Andres Jasson,17,CDM,11293.479464327587,2313.612889020173,5880.531916196017,2210.2456189459795,695.7259728864991,193.36429887641395,88.74302586284038,38.78154497071412,26.841520075908775,4831.861696375313,461.0892529593098,146.14324670925237,58.01435470326894,1875.7083381543996,25.864770019250273,8.434618548973257,3.8871510836626686,6
AAB,away,427398,Andres Jasson,17,LCM,11622.87851662404,2436.0767263427106,5486.846547314578,2446.906649616368,948.2340153452685,304.8145780051151,155.3708439897698,124.28516624040921,75.95907928388746,4699.208439897699,425.12915601023013,180.52941176470588,75.95907928388746,2034.9782608695652,49.4539641943734,0.0,3.452685421994885,6
