team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,game_id,match_description,season,competition
RFC,16,1105.9666666666667,110670.17,15421.11,6384.389999999999,2198.99,712,356,337,19,2ae7f5a4-037e-4568-829d-009632de344f,RFC - AAB : 2024-9-1,2024,Superliga
AAB,16,1134.8333333333333,125632.6,20977.56,7994.73,2187.56,892,503,355,34,f2911952-80aa-45a1-8997-3bd971b0b9c8,AAB - LBK : 2024-9-13,2024,Superliga
LBK,14,1134.8333333333333,120419.5,19282.45,6821.0599999999995,1752.77,765,411,339,15,f2911952-80aa-45a1-8997-3bd971b0b9c8,AAB - LBK : 2024-9-13,2024,Superliga
FCK,16,1062.1666666666667,106909.76,16290.78,6118.17,2706.2599999999998,751,392,329,30,8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM - FCK : 2024-9-14,2024,Superliga
FCM,15,1062.1666666666667,107407.19,16687.4,7339.8,2454.14,812,455,318,39,8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM - FCK : 2024-9-14,2024,Superliga
AGF,15,1065.2833333333333,119810.62,18895.44,7797.66,2651.21,901,470,395,36,6ecd9ffb-94cf-4dc4-8a71-0172a3ec0d15,AGF - SIF : 2024-9-15,2024,Superliga
SIF,16,1065.3,118155.76,17748.64,6891.66,2438.76,836,434,372,30,6ecd9ffb-94cf-4dc4-8a71-0172a3ec0d15,AGF - SIF : 2024-9-15,2024,Superliga
VB,16,1049.0333333333333,105495.74,15119.09,5840.82,2248.29,722,491,222,9,9b0559e1-f181-4d39-b718-8a5b7eb8f331,VB - VFF : 2024-9-15,2024,Superliga
VFF,16,1049.0333333333333,112408.11,16849.32,5488.47,1821.41,622,259,354,9,9b0559e1-f181-4d39-b718-8a5b7eb8f331,VB - VFF : 2024-9-15,2024,Superliga
BIF,16,1062.4166666666667,116791.93000000001,17897.56,6733.88,2411.0,794,392,376,26,435c3041-cdb4-4bfd-a487-0215e27c5d1f,BIF - SJE : 2024-9-15,2024,Superliga
SJE,16,1062.4,117484.93,18716.45,7544.93,2355.83,908,527,359,22,435c3041-cdb4-4bfd-a487-0215e27c5d1f,BIF - SJE : 2024-9-15,2024,Superliga
FCN,15,1088.8,122754.85,19664.36,7122.12,1928.1000000000001,792,446,340,6,f361a535-4d7e-4470-a187-01074c0046fe,FCN - RFC : 2024-9-16,2024,Superliga
RFC,16,1088.8,119111.96,17785.67,6207.33,1740.65,701,358,330,13,f361a535-4d7e-4470-a187-01074c0046fe,FCN - RFC : 2024-9-16,2024,Superliga
FCN,16,1087.1666666666667,124894.88,20604.93,6932.89,1870.79,767,422,335,10,70049fba-c41b-4f3b-9c34-e40a87591c0e,VFF - FCN : 2024-9-20,2024,Superliga
VFF,16,1087.1166666666666,123423.43000000001,19169.29,6064.64,1407.55,670,385,276,9,70049fba-c41b-4f3b-9c34-e40a87591c0e,VFF - FCN : 2024-9-20,2024,Superliga
FCM,16,1122.95,110094.32,15283.13,6165.27,2385.54,755,448,292,15,5f38bbb6-7072-4a3a-a0c4-b5d2c2f5d9da,RFC - FCM : 2024-9-22,2024,Superliga
RFC,14,1159.0333333333333,111725.24,14632.460000000001,5756.09,1660.3799999999999,625,288,317,20,5f38bbb6-7072-4a3a-a0c4-b5d2c2f5d9da,RFC - FCM : 2024-9-22,2024,Superliga
SJE,16,1117.3333333333333,115042.39,17163.12,6346.3,2066.35,720,355,329,36,c5df0c69-5c0d-4e53-a567-237c07f709b2,SJE - VB : 2024-9-22,2024,Superliga
VB,16,1117.3333333333333,111642.76999999999,14796.51,5998.75,1842.71,663,363,277,23,c5df0c69-5c0d-4e53-a567-237c07f709b2,SJE - VB : 2024-9-22,2024,Superliga
AGF,14,1105.45,114629.55,17521.190000000002,7058.86,1952.77,830,355,445,30,e297d0fa-c08f-44dd-992c-236de88ae09d,LBK - AGF : 2024-9-22,2024,Superliga
LBK,16,1105.4166666666667,108957.72,15990.12,5624.64,1789.51,671,405,238,28,e297d0fa-c08f-44dd-992c-236de88ae09d,LBK - AGF : 2024-9-22,2024,Superliga
BIF,16,1042.2666666666667,110276.84,17409.46,7010.45,2710.98,865,489,339,37,b067ac67-dcb5-400b-b4e6-069a3542008a,SIF - BIF : 2024-9-22,2024,Superliga
SIF,14,1067.7333333333333,114757.58,17564.11,6708.47,2320.18,783,388,373,22,b067ac67-dcb5-400b-b4e6-069a3542008a,SIF - BIF : 2024-9-22,2024,Superliga
AAB,16,1108.8,118971.12,17294.2,6287.35,2391.02,723,437,259,27,7e346382-3339-4997-bdb9-b14b90131962,FCK - AAB : 2024-9-23,2024,Superliga
FCK,16,1108.8,116216.84,16273.07,6380.14,2316.63,775,372,373,30,7e346382-3339-4997-bdb9-b14b90131962,FCK - AAB : 2024-9-23,2024,Superliga
AGF,14,1112.9833333333333,116386.68000000001,18738.71,7528.53,2694.2400000000002,858,435,391,32,62d48f8b-05eb-46a0-b390-51c3beb0e206,AGF - RFC : 2024-9-28,2024,Superliga
RFC,14,1112.9833333333333,109494.36,16686.8,5943.88,2355.52,732,378,329,25,62d48f8b-05eb-46a0-b390-51c3beb0e206,AGF - RFC : 2024-9-28,2024,Superliga
FCM,16,1093.1333333333334,112139.13,15978.470000000001,6398.2300000000005,2155.66,709,362,323,24,90073b6e-1a08-448c-b9ac-7e1285f2e09e,FCM - VFF : 2024-9-29,2024,Superliga
VFF,16,1093.1333333333334,114008.53,18037.2,6810.81,1835.31,731,438,276,17,90073b6e-1a08-448c-b9ac-7e1285f2e09e,FCM - VFF : 2024-9-29,2024,Superliga
AAB,16,1060.5833333333333,117028.57,17654.78,6542.63,2363.9,816,361,415,40,e1f3466b-6e62-421b-9543-19ab09bd906d,AAB - SJE : 2024-9-29,2024,Superliga
SJE,16,1060.5833333333333,112414.67,18280.17,6721.48,1921.94,801,431,337,33,e1f3466b-6e62-421b-9543-19ab09bd906d,AAB - SJE : 2024-9-29,2024,Superliga
LBK,16,1057.5666666666666,108923.96,16373.970000000001,6504.75,1965.91,740,388,322,30,5f8b584e-015c-4440-a744-9c0c97a661d8,LBK - SIF : 2024-9-29,2024,Superliga
SIF,16,1057.5666666666666,113700.08,17693.48,6800.11,1994.05,755,389,332,34,5f8b584e-015c-4440-a744-9c0c97a661d8,LBK - SIF : 2024-9-29,2024,Superliga
FCK,15,1095.3833333333334,110873.63,15660.54,6065.7,2068.6,741,313,397,31,ca4d5721-5d57-4cb4-ab8a-96e16ac5611e,VB - FCK : 2024-9-29,2024,Superliga
VB,15,1095.3833333333334,107363.58,14676.26,5594.5,2249.44,697,435,227,35,ca4d5721-5d57-4cb4-ab8a-96e16ac5611e,VB - FCK : 2024-9-29,2024,Superliga
BIF,16,1074.7,119538.01000000001,18907.36,7572.92,2525.54,865,538,287,40,b862711c-91d3-4e2d-aff5-52f656b537df,FCN - BIF : 2024-9-30,2024,Superliga
FCN,16,1074.7,123878.6,20111.16,7684.38,2766.0099999999998,883,435,416,32,b862711c-91d3-4e2d-aff5-52f656b537df,FCN - BIF : 2024-9-30,2024,Superliga
AAB,14,1129.2833333333333,121669.52,17844.87,6677.93,2063.84,755,347,384,24,394c4b91-9c0a-4c2e-8bdb-b5dba728cbad,VB - AAB : 2024-10-4,2024,Superliga
VB,16,1129.2833333333333,117807.54000000001,16688.88,6409.79,1869.85,774,468,289,17,394c4b91-9c0a-4c2e-8bdb-b5dba728cbad,VB - AAB : 2024-10-4,2024,Superliga
LBK,16,1096.9833333333333,113985.4,16443.22,5371.62,1543.49,643,314,309,20,cbb3a0a1-f908-4435-93c2-c329f5dcda03,RFC - LBK : 2024-10-6,2024,Superliga
RFC,14,1097.0166666666667,112581.51,16491.9,5717.17,1719.96,700,412,269,19,cbb3a0a1-f908-4435-93c2-c329f5dcda03,RFC - LBK : 2024-10-6,2024,Superliga
AGF,16,1110.2833333333333,116509.61,19247.24,6663.15,1939.1,765,413,344,8,d49c0a1f-a7cd-40c9-ba57-a14c503cd413,VFF - AGF : 2024-10-6,2024,Superliga
VFF,15,1123.4666666666667,115263.87,17998.57,6197.8099999999995,1612.94,743,457,278,8,d49c0a1f-a7cd-40c9-ba57-a14c503cd413,VFF - AGF : 2024-10-6,2024,Superliga
BIF,15,1094.3166666666666,113213.66,17652.07,6821.35,2741.81,797,388,371,38,5108533e-6a81-4b54-99d9-f435df88cb54,BIF - FCM : 2024-10-6,2024,Superliga
FCM,16,1091.6,111378.03,18023.59,7151.21,2631.95,801,440,344,17,5108533e-6a81-4b54-99d9-f435df88cb54,BIF - FCM : 2024-10-6,2024,Superliga
FCK,16,1068.4166666666667,117721.78,19163.85,7431.17,1627.02,803,482,310,11,8cea801a-939f-4705-bd12-3c806c0a157a,SIF - FCK : 2024-10-6,2024,Superliga
SIF,14,1068.4666666666667,120994.06999999999,19042.77,6244.0,1488.2,669,308,341,20,8cea801a-939f-4705-bd12-3c806c0a157a,SIF - FCK : 2024-10-6,2024,Superliga
FCK,15,1096.8833333333334,121288.55,17346.5,6491.860000000001,2205.33,804,401,364,39,418dd5f2-48eb-4766-8548-6b78dc9e566c,FCK - VB : 2024-10-18,2024,Superliga
VB,16,1096.8833333333334,117625.18,17689.72,5768.27,1555.1299999999999,687,391,270,26,418dd5f2-48eb-4766-8548-6b78dc9e566c,FCK - VB : 2024-10-18,2024,Superliga
AAB,16,1144.9166666666667,118892.41,18076.09,7281.54,2316.13,829,470,333,26,5ab9bd03-a29c-4fe1-9a21-7f34f1bac362,AAB - RFC : 2024-10-20,2024,Superliga
RFC,16,1144.8833333333334,114511.45999999999,16212.88,6339.67,2246.06,754,393,342,19,5ab9bd03-a29c-4fe1-9a21-7f34f1bac362,AAB - RFC : 2024-10-20,2024,Superliga
LBK,16,1059.9833333333333,108744.7,16223.42,5720.3099999999995,1345.91,629,315,295,19,dd36f84a-d7ba-4926-92f7-882a14dcfd7b,LBK - VFF : 2024-10-20,2024,Superliga
VFF,16,1049.9666666666667,111280.07,17934.5,6506.34,1402.98,700,433,253,14,dd36f84a-d7ba-4926-92f7-882a14dcfd7b,LBK - VFF : 2024-10-20,2024,Superliga
FCN,15,1035.4333333333334,118247.99,18815.77,7562.33,2170.79,854,447,385,22,ca380f77-ca15-44a4-99c6-b522c8905b0d,FCN - SIF : 2024-10-20,2024,Superliga
SIF,13,1035.4333333333334,120109.95,19185.64,6832.55,1756.27,764,438,314,12,ca380f77-ca15-44a4-99c6-b522c8905b0d,FCN - SIF : 2024-10-20,2024,Superliga
FCM,16,1101.2666666666667,112592.92,17344.82,6600.34,1933.38,794,486,289,19,788ae668-357a-4fbf-8092-cd141829cfb7,SJE - FCM : 2024-10-20,2024,Superliga
SJE,16,1101.25,116650.71,17792.8,6655.86,1948.54,782,381,369,32,788ae668-357a-4fbf-8092-cd141829cfb7,SJE - FCM : 2024-10-20,2024,Superliga
AGF,15,1084.0333333333333,120547.44,18737.16,7575.58,2490.78,879,442,403,34,541c7800-dc2a-4a6a-9235-fee7e0aa623e,AGF - BIF : 2024-10-21,2024,Superliga
BIF,16,1084.05,113537.39,16942.69,6281.06,2403.11,816,460,337,19,541c7800-dc2a-4a6a-9235-fee7e0aa623e,AGF - BIF : 2024-10-21,2024,Superliga
AAB,14,1098.7166666666667,122160.16,18831.42,6557.66,1848.24,773,487,269,17,9191e32a-33da-49a5-9b29-c2b7fd6a6741,SIF - AAB : 2024-10-25,2024,Superliga
SIF,14,1098.7,122441.36,18939.36,6173.96,1584.56,698,273,410,15,9191e32a-33da-49a5-9b29-c2b7fd6a6741,SIF - AAB : 2024-10-25,2024,Superliga
BIF,14,1069.3333333333333,106493.59,15261.03,5169.96,1809.2,663,347,296,20,266e82bf-9316-4a89-bba9-81482f18055e,BIF - FCK : 2024-10-27,2024,Superliga
