competition,season,team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,games
Superliga,2025,AGF,15.944444444444445,1089.4250000000002,116507.58166666667,18687.17111111111,6849.373888888888,1922.3038888888889,742.4444444444445,398.6666666666667,321.6666666666667,22.11111111111111,18
Superliga,2025,BIF,15.5,1079.6685185185186,115037.21,17893.09,6719.222222222223,1992.987222222222,768.3333333333334,417.1666666666667,331.3333333333333,19.833333333333332,18
Superliga,2025,FCK,15.5,1090.587037037037,116897.91055555556,17860.95333333333,6783.803888888889,1980.4372222222223,771.6666666666666,404.1666666666667,344.72222222222223,22.77777777777778,18
Superliga,2025,FCM,15.944444444444445,1087.0833333333333,111692.54555555555,16506.626666666667,6699.508333333333,2362.436111111111,804.2222222222222,439.1666666666667,337.8333333333333,27.22222222222222,18
Superliga,2025,FCN,15.555555555555555,1072.875925925926,119987.87277777778,19703.428333333333,7240.306666666667,2047.8161111111112,811.0555555555555,429.0,365.22222222222223,16.833333333333332,18
Superliga,2025,FRE,15.88888888888889,1070.8194444444443,117881.88277777779,18683.615,6551.764444444444,1745.515,704.1666666666666,376.3888888888889,303.8888888888889,23.88888888888889,18
Superliga,2025,OB,15.38888888888889,1104.2444444444445,122542.87888888888,19273.493333333332,6754.85,1922.352222222222,785.2222222222222,452.3333333333333,305.94444444444446,26.944444444444443,18
Superliga,2025,RFC,15.777777777777779,1084.9574074074073,112776.81444444443,16839.20888888889,6090.706111111112,1837.5277777777778,699.3333333333334,391.5,291.3888888888889,16.444444444444443,18
Superliga,2025,SIF,15.277777777777779,1063.8064814814816,119194.98888888888,18638.63388888889,6546.783333333333,1735.1961111111111,716.8888888888889,351.1111111111111,348.3333333333333,17.444444444444443,18
Superliga,2025,SJE,15.833333333333334,1080.837037037037,116878.07444444444,18651.086666666666,7111.091666666667,2132.055,802.4444444444445,415.72222222222223,356.6666666666667,30.055555555555557,18
Superliga,2025,VB,15.833333333333334,1074.1027777777779,113312.7711111111,18210.193888888887,6951.667777777778,2149.2216666666664,792.8888888888889,458.5,311.8888888888889,22.5,18
Superliga,2025,VFF,15.88888888888889,1084.1712962962963,117001.0711111111,18303.88111111111,6730.876666666667,1989.896111111111,771.5555555555555,422.6666666666667,327.6111111111111,21.27777777777778,18
