competition,season,team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,games
Superliga,2024,AAB,15.625,1082.9489583333334,118135.931875,18528.223125,6958.3178125,2251.67625,800.71875,444.46875,337.0,19.25,32
Superliga,2024,AGF,15.4375,1083.6166666666666,118090.3771875,18951.4690625,7205.29625,2281.5203125,824.15625,430.4375,371.46875,22.25,32
Superliga,2024,BIF,15.28125,1080.7677083333333,111908.9825,16339.1971875,6093.5996875,2046.649375,724.84375,386.90625,318.78125,19.15625,32
Superliga,2024,FCK,15.3125,1094.85625,117812.085,18191.104375,6773.2265625,2047.59,776.875,416.09375,343.9375,16.84375,32
Superliga,2024,FCM,15.8125,1084.6979166666667,114769.94499999999,17975.83,7250.224375,2415.665625,831.125,479.9375,332.1875,19.0,32
Superliga,2024,FCN,15.129032258064516,1079.965053763441,118188.2058064516,18896.851290322582,7069.252258064516,2212.5193548387097,813.9677419354839,430.8709677419355,368.35483870967744,14.741935483870968,31
Superliga,2024,LBK,15.28125,1081.2880208333333,113778.571875,16935.969375,6338.885625,1957.6546875,731.875,411.46875,304.9375,15.46875,32
Superliga,2024,RFC,15.666666666666666,1086.379797979798,111917.1309090909,16433.855151515152,6046.887272727273,1850.0957575757577,695.6666666666666,371.09090909090907,311.27272727272725,13.303030303030303,33
Superliga,2024,SIF,15.242424242424242,1067.1217171717174,119299.11393939394,18124.627575757575,6480.534545454546,1872.5981818181817,738.8484848484849,358.6060606060606,367.1818181818182,13.06060606060606,33
Superliga,2024,SJE,15.935483870967742,1080.468817204301,116143.12258064515,18472.089032258064,7000.772580645162,2171.9338709677418,816.8064516129032,440.64516129032256,354.38709677419354,21.774193548387096,31
Superliga,2024,VB,15.46875,1078.4151041666667,112033.3684375,16132.606875,6068.2103125,1959.42,711.78125,392.65625,303.21875,15.90625,32
Superliga,2024,VFF,15.875,1085.4697916666667,115951.9346875,18012.8721875,6753.524375,1950.6546875,764.96875,437.1875,314.75,13.03125,32
