team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,game_id,match_description,season,competition
FCM,16,1066.4,109617.86,15568.81,6301.64,2255.94,738,332,379,27,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,16,1066.4333333333334,112500.21,16285.34,6242.4,2076.61,743,455,267,21,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
FCK,15,1103.8,116005.9,18493.93,6773.18,1871.15,736,353,358,25,a9722409-76fa-4bca-b6bb-bbee1195ad78,LBK - FCK : 2023-7-22,2023,Superliga
LBK,16,1103.7833333333333,117042.65,18636.13,6985.27,1709.4,762,426,306,30,a9722409-76fa-4bca-b6bb-bbee1195ad78,LBK - FCK : 2023-7-22,2023,Superliga
AGF,16,1079.2,113642.67,15459.49,6035.39,2297.86,708,343,344,21,b932224c-0be0-4b91-ad55-5630b54da3e2,AGF - VB : 2023-7-23,2023,Superliga
VB,16,1042.3666666666666,103939.83,14044.22,4938.38,1797.64,583,305,264,14,b932224c-0be0-4b91-ad55-5630b54da3e2,AGF - VB : 2023-7-23,2023,Superliga
OB,16,1097.5333333333333,115148.11,16884.69,6080.11,2084.45,707,323,347,37,e3c0433b-b5f3-4e12-9adf-9ba5743c52e7,OB - RFC : 2023-7-23,2023,Superliga
RFC,15,1097.5666666666666,114146.17,18112.760000000002,6809.84,1782.59,717,394,279,44,e3c0433b-b5f3-4e12-9adf-9ba5743c52e7,OB - RFC : 2023-7-23,2023,Superliga
BIF,14,1090.4166666666667,119561.35,18550.14,7454.69,1904.34,810,452,336,22,26ce3d5d-ecf3-4cab-93eb-cff5db128a54,SIF - BIF : 2023-7-23,2023,Superliga
SIF,14,1090.4333333333334,122306.67,18403.37,6884.09,2171.33,823,390,408,25,26ce3d5d-ecf3-4cab-93eb-cff5db128a54,SIF - BIF : 2023-7-23,2023,Superliga
FCN,16,1113.3833333333334,121406.75,18869.05,7916.98,2785.24,920,439,448,33,05215286-7eb5-4a1a-8cc6-742cef5cd42c,FCN - VFF : 2023-7-24,2023,Superliga
VFF,16,1113.35,114942.04,17043.24,6481.55,2570.23,804,486,286,32,05215286-7eb5-4a1a-8cc6-742cef5cd42c,FCN - VFF : 2023-7-24,2023,Superliga
LBK,16,1053.25,112473.31,17008.56,6529.23,1687.71,725,410,295,20,cbe3abfc-37d2-46df-beb9-a4d91df3e063,VFF - LBK : 2023-7-28,2023,Superliga
VFF,13,1053.25,112454.13,16778.87,5857.15,1833.68,658,299,345,14,cbe3abfc-37d2-46df-beb9-a4d91df3e063,VFF - LBK : 2023-7-28,2023,Superliga
FCK,15,1124.5666666666666,113571.45999999999,15595.460000000001,6457.4,2220.04,717,418,288,11,722dcc72-633d-474d-a980-e8147ab20e24,VB - FCK : 2023-7-29,2023,Superliga
VB,16,1124.5666666666666,110657.99,14864.84,5364.96,1855.3600000000001,656,339,293,24,722dcc72-633d-474d-a980-e8147ab20e24,VB - FCK : 2023-7-29,2023,Superliga
FCM,16,1064.7666666666667,113846.43,16308.96,7088.2699999999995,3132.17,913,480,378,55,7fd98e44-bbe5-457c-8e4f-3919f101ea8b,FCM - SIF : 2023-7-30,2023,Superliga
SIF,16,1064.7833333333333,116183.3,17236.53,7133.97,2546.65,834,393,396,45,7fd98e44-bbe5-457c-8e4f-3919f101ea8b,FCM - SIF : 2023-7-30,2023,Superliga
HVI,15,1134.0333333333333,119665.01,18637.05,6549.67,1872.74,729,380,289,60,e1eebde3-23b2-4474-8c3e-cbd559fa5b15,RFC - HVI : 2023-7-30,2023,Superliga
RFC,16,1134.0333333333333,120078.08,19420.12,6673.04,2322.73,823,412,362,49,e1eebde3-23b2-4474-8c3e-cbd559fa5b15,RFC - HVI : 2023-7-30,2023,Superliga
BIF,16,1077.7833333333333,115954.83,17297.46,6796.62,2511.4300000000003,816,449,355,12,52e7ecc3-70a8-4d6d-8930-3bb97512b6de,BIF - OB : 2023-7-30,2023,Superliga
OB,15,1077.75,119036.59,17592.350000000002,6592.26,2281.9,774,409,344,21,52e7ecc3-70a8-4d6d-8930-3bb97512b6de,BIF - OB : 2023-7-30,2023,Superliga
AGF,16,1179.3333333333333,124522.78,18979.07,7482.45,2356.35,817,450,333,34,78a54aae-6058-4ddf-b4eb-f453033d0bb0,AGF - FCN : 2023-7-31,2023,Superliga
FCN,16,1179.3333333333333,125160.27,21231.46,7709.35,2425.05,862,449,383,30,78a54aae-6058-4ddf-b4eb-f453033d0bb0,AGF - FCN : 2023-7-31,2023,Superliga
SIF,14,1058.3333333333333,119928.68,18086.43,7089.0,2560.57,869,376,456,37,c305f32b-cd18-49c4-af31-67198eb51537,SIF - VB : 2023-8-4,2023,Superliga
VB,15,1058.3833333333334,116871.09,17933.7,7109.47,2246.26,851,545,279,27,c305f32b-cd18-49c4-af31-67198eb51537,SIF - VB : 2023-8-4,2023,Superliga
FCK,16,1057.75,116313.99,17023.26,6200.48,1809.49,722,353,342,27,801e0ca7-829d-4eba-856e-24be72c07547,FCK - RFC : 2023-8-5,2023,Superliga
RFC,16,1057.7666666666667,111418.67,16086.2,5108.36,1390.77,579,345,216,18,801e0ca7-829d-4eba-856e-24be72c07547,FCK - RFC : 2023-8-5,2023,Superliga
AGF,16,1103.05,118110.88,17972.56,6635.87,1737.4299999999998,768,354,388,26,828b6629-8b9f-4989-8719-6d3fb48952ba,HVI - AGF : 2023-8-6,2023,Superliga
HVI,14,1103.1,115193.92,17354.58,7091.01,1858.69,823,500,297,26,828b6629-8b9f-4989-8719-6d3fb48952ba,HVI - AGF : 2023-8-6,2023,Superliga
FCM,16,976.9666666666667,99106.17,13650.91,5175.52,1954.96,629,411,199,19,6fa239b8-e8bf-4dfa-94fa-68faad1718a3,LBK - FCM : 2023-8-6,2023,Superliga
LBK,16,1068.9666666666667,108865.81,15750.86,5318.74,2028.8899999999999,706,283,401,22,6fa239b8-e8bf-4dfa-94fa-68faad1718a3,LBK - FCM : 2023-8-6,2023,Superliga
BIF,14,1080.3333333333333,116570.3,18393.170000000002,6852.65,2654.5,803,507,288,8,fe9f3727-14b4-46fb-9beb-b032f32f288e,FCN - BIF : 2023-8-6,2023,Superliga
FCN,16,1080.3,121600.89,20826.88,7818.38,2955.59,923,465,444,14,fe9f3727-14b4-46fb-9beb-b032f32f288e,FCN - BIF : 2023-8-6,2023,Superliga
OB,16,1069.7166666666667,115785.15,17513.79,6889.43,2130.8,752,423,305,24,1de25a06-1c4e-4da4-8f53-3b3a6082b768,OB - VFF : 2023-8-7,2023,Superliga
VFF,16,1069.7,119325.26,18880.95,7150.5,2155.71,791,409,350,32,1de25a06-1c4e-4da4-8f53-3b3a6082b768,OB - VFF : 2023-8-7,2023,Superliga
FCK,16,1101.0666666666666,122943.52,17833.74,6376.04,1850.79,709,367,332,10,a283bec8-f6d3-451f-86b3-05c3bd60a054,FCK - OB : 2023-8-11,2023,Superliga
OB,15,1101.0833333333333,119483.01,15659.650000000001,5244.61,1513.58,557,334,218,5,a283bec8-f6d3-451f-86b3-05c3bd60a054,FCK - OB : 2023-8-11,2023,Superliga
FCN,16,1057.25,115597.26,16586.95,5485.62,1505.06,648,250,382,16,2fca3455-18a5-48f0-9cf1-d7321e7a8879,RFC - FCN : 2023-8-13,2023,Superliga
RFC,16,1057.2333333333333,111665.11,16645.98,5922.03,1404.79,674,484,171,19,2fca3455-18a5-48f0-9cf1-d7321e7a8879,RFC - FCN : 2023-8-13,2023,Superliga
FCM,16,1067.5666666666666,102697.05,13737.85,5585.55,2307.04,733,435,265,33,98b3a473-1439-4eb1-b6b5-e3a320256496,VB - FCM : 2023-8-13,2023,Superliga
VB,16,1087.3333333333333,102422.92,13951.69,5429.37,2023.8,664,288,349,27,98b3a473-1439-4eb1-b6b5-e3a320256496,VB - FCM : 2023-8-13,2023,Superliga
BIF,15,1070.4833333333333,112879.41,15286.29,6097.39,1839.68,670,295,359,16,731e3cd8-f8e1-4a76-96d3-362f1f41168c,BIF - LBK : 2023-8-13,2023,Superliga
LBK,16,1023.0,106944.1,14217.19,5052.59,1510.55,536,323,200,13,731e3cd8-f8e1-4a76-96d3-362f1f41168c,BIF - LBK : 2023-8-13,2023,Superliga
AGF,14,1143.2166666666667,121465.9,18575.68,7378.3,2343.5,842,419,391,32,62450a59-e3db-4385-bf3f-71d4955b558f,AGF - SIF : 2023-8-13,2023,Superliga
SIF,16,1143.2,124019.38,19435.13,7462.09,2463.41,861,442,401,18,62450a59-e3db-4385-bf3f-71d4955b558f,AGF - SIF : 2023-8-13,2023,Superliga
HVI,15,1062.9,113021.11,17708.62,7115.23,1836.98,756,502,239,15,66c2c3be-3c4d-41b4-9e62-2aa032e8e196,VFF - HVI : 2023-8-14,2023,Superliga
VFF,15,1062.9,112634.38,17353.1,6148.82,2239.62,768,311,441,16,66c2c3be-3c4d-41b4-9e62-2aa032e8e196,VFF - HVI : 2023-8-14,2023,Superliga
FCK,16,1090.8,125242.79,20563.75,6589.82,1782.6,740,344,389,7,ccf589b2-15fc-4fdc-9b1f-8955e337a76a,HVI - FCK : 2023-8-18,2023,Superliga
HVI,15,1100.7166666666667,119955.99,18152.99,7169.02,2001.83,796,554,238,4,ccf589b2-15fc-4fdc-9b1f-8955e337a76a,HVI - FCK : 2023-8-18,2023,Superliga
FCN,16,1052.6833333333334,118998.20999999999,17710.02,6907.38,1935.9299999999998,818,491,311,16,d6867709-c38d-4314-9ae5-435f3824a803,SIF - FCN : 2023-8-20,2023,Superliga
SIF,16,1052.7,116061.12,14655.119999999999,4606.75,1741.81,597,278,302,17,d6867709-c38d-4314-9ae5-435f3824a803,SIF - FCN : 2023-8-20,2023,Superliga
LBK,15,1140.15,113782.72,14657.82,5365.4,1658.29,685,282,295,108,820a7ba9-2e5a-4a40-8e74-fe3176b014d1,LBK - RFC : 2023-8-20,2023,Superliga
RFC,16,1140.15,113655.55,17027.64,5813.68,1563.8700000000001,742,384,246,112,820a7ba9-2e5a-4a40-8e74-fe3176b014d1,LBK - RFC : 2023-8-20,2023,Superliga
BIF,16,1057.75,108682.53,15724.87,5732.27,2355.8,736,345,371,20,ad973e17-dd4b-455c-a876-0f064ec8ec11,FCM - BIF : 2023-8-20,2023,Superliga
