team,ID,player_name,number,position,ssiId_player,optaUuid_player,Minutes_seconds,Distance,Walking,Jogging,Running,High Speed Running,Sprinting,No. of High Intensity Runs,Sprint Distance TIP,No. of High Intensity Runs TIP,Distance OTIP,HSR Distance OTIP,Sprint Distance OTIP,No. of High Intensity Runs OTIP,Distance BOP,HSR Distance BOP,Sprint Distance BOP,No. of High Intensity Runs BOP,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,game_id,match_description,season,competition
FCM,449903,Nikolas Dyhr,44,SUB,a76e7659-8922-4e62-bc2a-58b221ab8f9f,60z63hezwwosjnhvamcwxtre1,545,944.36,400.52,370.64,66.49,84.71,22.0,10,6.05,2,362.27,45.35,0.0,6,254.71,4.91,15.95,2,9356.961467889907,3968.4550458715594,3672.3963302752286,658.8,839.3284403669722,217.98165137614677,99.08256880733944,59.944954128440365,19.81651376146789,3589.4642201834854,449.3394495412844,0.0,59.449541284403665,2523.732110091743,48.64954128440366,158.0366972477064,19.81651376146789,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
FCM,474838,Emiliano Martinez,5,LDM,91c9c091-5116-4696-8f0c-a2585f3d2502,arhoud4vfjvmjaf2pkbm6s48a,5817,10263.54,3640.76,4918.67,1314.22,328.83,61.06,36,0.0,3,3586.31,252.4,58.9,31,2974.95,49.36,2.16,2,9527.783393501806,3379.7668901495617,4566.068076328004,1220.0082516761217,305.25734914904587,56.68282619907169,33.4192882929345,0.0,2.784940691077875,3329.220216606498,234.30634347601855,54.67766890149561,28.777720474471376,2761.6864363073746,45.82155750386797,2.00515729757607,1.8566271273852502,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
FCM,477672,Aral Simsir,58,LW,aab38c5b-87be-4d1a-be86-6aad039c6afa,4zrsiizdbzwwkmit3ta0f0dbe,3985,6899.43,2794.83,2586.92,881.62,433.0,203.07,59,137.6,38,1941.58,153.2,65.47,19,2176.41,15.9,0.0,2,9349.290338770388,3787.2225846925967,3505.4875784190717,1194.667001254705,586.750313676286,275.1764115432873,79.94981179422835,186.45922208281053,51.49309912170639,2630.999247176913,207.59849435382682,88.71718946047677,25.746549560853197,2949.2130489335004,21.545796737766622,0.0,2.710163111668758,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
FCM,478686,Gue-Sung Cho,10,ST,9fbca735-ece1-4373-bc51-cc3234b06ae2,ou0gnms7vf5ff66o508nowoa,4508,8432.4,2562.06,3626.35,1374.35,639.6,230.04,82,174.01,53,2555.26,210.15,54.08,28,2459.43,47.12,1.95,1,10100.922803904168,3069.0159716060334,4343.89751552795,1646.2932564330079,766.1579414374445,275.55811889973376,98.22537710736468,208.44143744454303,63.48713398402839,3060.8704525288376,251.73247559893522,64.78083407275953,33.54037267080745,2946.078527062999,56.44365572315882,2.335847382431233,1.1978704525288375,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
FCM,484403,Armin Gigovic,37,SUB,23a9bc72-fcdb-4cbe-bcfb-610ede2348ec,9km5yidmp0mbjrqqxlapdztre,1831,3612.25,1149.37,1542.16,596.4,286.76,37.57,26,16.34,13,1369.56,81.83,21.23,12,970.33,18.23,0.0,1,10653.276897870017,3389.7312943746583,4548.150737302021,1758.9077007099945,845.7149098853087,110.80174767886402,76.6794101583834,48.19006007646095,38.3397050791917,4039.1174221736755,241.3336974330967,62.61168760240306,35.39049699617696,2861.7050791916986,53.76406335335882,0.0,2.9492080830147462,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
FCM,494784,Oliver Sorensen,24,RDM,b07f51f9-9824-4daf-a7b5-c5966b610ba3,drlp4xtkta08jiu0px6m4ocq2,5817,12204.26,3162.24,5286.3,2319.01,988.4,448.3,119,269.44,58,4072.3,423.72,166.53,54,3346.79,56.87,12.33,7,11329.380092831356,2935.5502836513665,4907.343991748324,2152.7684373388347,917.5451263537906,416.1629706034038,110.46931407942238,250.12480660134088,53.842186694172256,3780.371325425477,393.34502320783906,154.59205776173286,50.12893243940175,3106.8705518308407,52.79319236719958,11.446106240330066,6.498194945848375,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,39664,Martin Spelmann,10,LDM,ac02bb20-bc95-4373-baa7-6461462c45ae,615e0bjcd0tyge047sy43y5sl,4542,8202.93,2836.91,3365.92,1238.5,552.5,209.1,63,16.83,21,3539.12,369.91,192.27,41,2415.32,4.33,0.0,1,9752.492734478203,3372.8124174372524,4001.75429326288,1472.457067371202,656.8692206076619,248.59973579920737,74.9009247027741,20.00924702774108,24.9669749009247,4207.672391017173,439.7873183619551,228.5904887714663,48.7450462351387,2871.5825627476884,5.147952443857331,0.0,1.1889035667107,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,79465,Daniel Stenderup,2,LCB,d4b1b018-6c1f-4120-98d4-3535afe1b603,a30gduuv9d1s4pkthgu2jhyol,5817,9370.34,3378.93,4450.5,1162.62,289.19,89.1,38,0.0,2,4195.38,254.93,89.1,35,2405.49,7.77,0.0,1,8698.613718411552,3136.706549767921,4131.459515214028,1079.2759154203197,268.45899948427024,82.71273852501288,35.27591542031975,0.0,1.8566271273852502,3894.628158844765,236.65497679216094,82.71273852501288,32.49097472924188,2233.048994326972,7.212996389891695,0.0,0.9283135636926251,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,171191,Jonas Gemmer,6,RDM,ff46950a-31a4-414d-9261-2307b28144f6,4oxf446ya7jwulq6hxlp8r36d,4240,7748.77,2256.86,3372.22,1600.02,438.44,81.23,40,4.9,11,3429.97,313.32,76.33,28,2040.25,9.48,0.0,1,9868.716509433962,2874.3028301886793,4294.808490566037,2037.761320754717,558.3905660377358,103.45330188679245,50.943396226415096,6.2405660377358485,14.00943396226415,4368.358018867924,399.0396226415094,97.2127358490566,35.660377358490564,2598.431603773585,12.073584905660377,0.0,1.2735849056603772,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,212394,Christian Jakobsen,14,CAM,45cd3a17-e7f7-484d-a1cf-8fd4c26329e6,9r07ooissj5mz15g87x5rmbx1,4240,8307.15,2739.14,3609.38,1343.4,452.91,162.32,60,117.93,32,3377.79,233.54,28.37,26,2505.32,23.26,16.02,2,10579.860849056602,3488.527358490566,4596.851886792453,1710.933962264151,576.8193396226415,206.72830188679245,76.41509433962264,150.1938679245283,40.75471698113207,4301.902358490565,297.4330188679245,36.13160377358491,33.11320754716981,3190.737735849056,29.623584905660376,20.402830188679243,2.5471698113207544,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
