team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,game_id,match_description,season,competition
FCK,16,1084.5166666666667,116938.17,17548.47,7054.85,1924.42,777,406,348,23,bc3e1b8e-9112-4f82-83e0-a8f07d35d2a7,VFF - FCK : 2025-7-18,2025,Superliga
VFF,16,1084.5166666666667,116402.59,17797.53,5563.79,1738.51,628,379,234,15,bc3e1b8e-9112-4f82-83e0-a8f07d35d2a7,VFF - FCK : 2025-7-18,2025,Superliga
RFC,16,1122.4666666666667,107356.03,14478.17,5458.6,1746.21,649,349,270,30,3cc3944d-75ed-4cc2-a960-560498b7a6b1,VB - RFC : 2025-7-20,2025,Superliga
VB,16,1122.4666666666667,112028.64,17673.43,6036.0,2135.61,743,393,326,24,3cc3944d-75ed-4cc2-a960-560498b7a6b1,VB - RFC : 2025-7-20,2025,Superliga
FCN,15,1105.4333333333334,118664.68000000001,17880.52,5878.24,1605.18,654,288,352,14,583be20c-80a7-488b-8672-94d2da5babcd,FRE - FCN : 2025-7-20,2025,Superliga
FRE,16,1105.4666666666667,118228.89,18202.0,6482.2300000000005,1480.37,682,427,235,20,583be20c-80a7-488b-8672-94d2da5babcd,FRE - FCN : 2025-7-20,2025,Superliga
AGF,16,1049.7166666666667,112678.39,17394.1,6751.76,2559.01,766,432,310,24,e088708d-ab3c-4fec-b331-1b765d32599c,SJE - AGF : 2025-7-20,2025,Superliga
SJE,15,1049.7166666666667,109670.86,17221.7,6377.43,2317.23,754,406,332,16,e088708d-ab3c-4fec-b331-1b765d32599c,SJE - AGF : 2025-7-20,2025,Superliga
FCM,16,1199.6833333333334,113142.45,16771.87,6855.55,2515.08,836,420,373,43,4f97ce09-24ca-45a0-939b-cf099fa25f3c,FCM - OB : 2025-7-20,2025,Superliga
OB,16,1199.6833333333334,122533.76,20213.68,7202.98,2169.37,817,429,330,58,4f97ce09-24ca-45a0-939b-cf099fa25f3c,FCM - OB : 2025-7-20,2025,Superliga
BIF,16,1057.3833333333334,114145.59,16379.39,5852.5,1725.92,704,380,311,13,14eda14e-97d3-4476-ae21-86c18bfe56cf,BIF - SIF : 2025-7-20,2025,Superliga
SIF,16,1057.4166666666667,116016.15,16698.88,5841.17,1373.79,640,324,303,13,14eda14e-97d3-4476-ae21-86c18bfe56cf,BIF - SIF : 2025-7-20,2025,Superliga
AGF,16,1072.6,113976.32,17637.7,6864.74,1904.71,774,436,304,34,918a5fc7-21e5-457a-8bcc-69fcbbf4ad3e,AGF - RFC : 2025-7-25,2025,Superliga
RFC,16,1072.6,108873.69,16099.6,4784.42,1452.04,624,324,275,25,918a5fc7-21e5-457a-8bcc-69fcbbf4ad3e,AGF - RFC : 2025-7-25,2025,Superliga
FCK,16,1079.9833333333333,110166.36,16488.82,6426.34,2350.61,759,385,357,17,f76bac23-a723-49e1-ad9a-8b5de2e45154,FCK - VB : 2025-7-26,2025,Superliga
VB,15,1079.9666666666667,109981.24,16361.28,6575.55,2069.02,743,469,262,12,f76bac23-a723-49e1-ad9a-8b5de2e45154,FCK - VB : 2025-7-26,2025,Superliga
OB,16,1084.05,123985.26000000001,20166.7,6596.21,1472.67,741,474,255,12,a14e129f-4587-4d72-8be4-892f72b45df0,OB - VFF : 2025-7-27,2025,Superliga
VFF,16,1084.05,117035.23999999999,18085.3,6142.64,1874.13,746,354,384,8,a14e129f-4587-4d72-8be4-892f72b45df0,OB - VFF : 2025-7-27,2025,Superliga
FRE,16,1055.0333333333333,121007.23,17738.0,6227.8,2049.07,703,353,324,26,cbdbd527-41f4-412d-a0c7-98ef87942d41,SIF - FRE : 2025-7-27,2025,Superliga
SIF,16,1055.05,121834.97,18830.65,6406.82,1779.33,676,339,315,22,cbdbd527-41f4-412d-a0c7-98ef87942d41,SIF - FRE : 2025-7-27,2025,Superliga
BIF,16,1074.8333333333333,114601.05,15897.93,5812.54,1917.01,708,357,335,16,79b0bb20-d7fb-4def-8140-be580a225961,FCN - BIF : 2025-7-27,2025,Superliga
FCN,15,1074.8833333333334,119720.05,19795.83,6282.91,1925.03,753,449,287,17,79b0bb20-d7fb-4def-8140-be580a225961,FCN - BIF : 2025-7-27,2025,Superliga
FCM,16,1081.7666666666667,113622.18,16939.43,7065.96,2561.62,858,423,401,34,dad615e4-b29a-4fb9-9918-aca7050c3dfc,FCM - SJE : 2025-7-28,2025,Superliga
SJE,16,1081.7666666666667,114068.49,17209.78,7322.6900000000005,2033.6,801,447,328,26,dad615e4-b29a-4fb9-9918-aca7050c3dfc,FCM - SJE : 2025-7-28,2025,Superliga
FCK,16,1058.9166666666667,118767.51,18039.93,6843.9,1664.76,737,327,399,11,723271cb-225d-495f-898e-aac300252144,FRE - FCK : 2025-8-1,2025,Superliga
FRE,16,1058.9166666666667,119114.79,18877.04,6464.5,1777.15,693,430,253,10,723271cb-225d-495f-898e-aac300252144,FRE - FCK : 2025-8-1,2025,Superliga
OB,16,1079.2333333333333,119180.2,19656.06,6934.85,1575.8600000000001,752,458,269,25,f7079c25-0276-4f2d-91c7-8f575fa4ff07,VB - OB : 2025-8-1,2025,Superliga
VB,16,1079.2333333333333,115115.26,17701.329999999998,6471.04,2064.64,774,379,364,31,f7079c25-0276-4f2d-91c7-8f575fa4ff07,VB - OB : 2025-8-1,2025,Superliga
FCN,16,1136.4666666666667,121785.64,20782.79,8188.35,2534.65,896,457,425,14,3154a0b0-d24e-4aa7-b509-9bb98929a201,SJE - FCN : 2025-8-3,2025,Superliga
SJE,16,1136.45,121422.48,19600.45,7702.12,2100.02,802,459,329,14,3154a0b0-d24e-4aa7-b509-9bb98929a201,SJE - FCN : 2025-8-3,2025,Superliga
RFC,16,1062.6,111916.73000000001,15617.32,5618.2699999999995,1521.32,632,371,254,7,78e4e37e-ee1e-4189-acfd-ddb7737b4c1f,RFC - SIF : 2025-8-3,2025,Superliga
SIF,16,1062.6,115382.06999999999,16524.18,5781.47,1367.1,612,298,312,2,78e4e37e-ee1e-4189-acfd-ddb7737b4c1f,RFC - SIF : 2025-8-3,2025,Superliga
AGF,16,1105.85,117138.1,17369.34,6430.01,1969.67,719,346,339,34,c2d8d1cf-729f-417f-8909-b97b4ea48a3c,AGF - FCM : 2025-8-3,2025,Superliga
FCM,16,1033.0833333333333,106779.92,15386.529999999999,6194.26,2119.4,729,449,256,24,c2d8d1cf-729f-417f-8909-b97b4ea48a3c,AGF - FCM : 2025-8-3,2025,Superliga
BIF,16,1090.7833333333333,116310.04000000001,18480.58,7521.7,2515.13,872,501,357,14,90d9eb1f-a31f-48b6-aef8-c95a26ac2414,BIF - VFF : 2025-8-3,2025,Superliga
VFF,16,1090.7666666666667,122750.1,20746.15,6999.14,2452.49,811,442,358,11,90d9eb1f-a31f-48b6-aef8-c95a26ac2414,BIF - VFF : 2025-8-3,2025,Superliga
AGF,15,1197.15,118988.14,17275.1,5925.55,1657.08,656,410,228,18,a3670a48-1767-40b5-adc1-fef80ce48d1d,FCK - AGF : 2025-8-8,2025,Superliga
FCK,16,1197.15,118308.07,18359.37,6339.76,1725.0,720,332,364,24,a3670a48-1767-40b5-adc1-fef80ce48d1d,FCK - AGF : 2025-8-8,2025,Superliga
SJE,16,1127.6833333333334,118283.89,18422.49,7715.400000000001,1493.18,801,408,363,30,d4d775b5-6501-4199-a302-d3df944eefca,VFF - SJE : 2025-8-8,2025,Superliga
VFF,16,1127.6833333333334,119728.20999999999,18416.35,6566.929999999999,1900.26,789,466,305,18,d4d775b5-6501-4199-a302-d3df944eefca,VFF - SJE : 2025-8-8,2025,Superliga
FCM,16,1079.2166666666667,114456.71,17529.97,7040.18,1823.32,744,419,303,22,4ad8b414-ad07-4c48-b6f9-19c106e9836e,FCM - FRE : 2025-8-10,2025,Superliga
FRE,16,1079.2,121403.02,20526.71,7107.32,1685.4099999999999,726,323,382,21,4ad8b414-ad07-4c48-b6f9-19c106e9836e,FCM - FRE : 2025-8-10,2025,Superliga
FCN,16,1095.9333333333334,120407.01999999999,20307.91,7976.26,2054.0,860,549,299,12,2748bedd-867b-45e4-a7f4-629ae9105414,SIF - FCN : 2025-8-10,2025,Superliga
SIF,16,1095.95,120080.41,17666.34,6215.74,1757.8600000000001,688,310,368,10,2748bedd-867b-45e4-a7f4-629ae9105414,SIF - FCN : 2025-8-10,2025,Superliga
BIF,16,1050.3166666666666,109050.36,17104.54,7251.0,2253.35,819,387,395,37,a7e7de8b-87b2-47ca-91ce-1c1a105a9909,BIF - VB : 2025-8-10,2025,Superliga
VB,16,1050.3,110640.87,18779.62,7014.06,1985.72,748,432,289,27,a7e7de8b-87b2-47ca-91ce-1c1a105a9909,BIF - VB : 2025-8-10,2025,Superliga
OB,16,1260.7,129507.19,19173.2,6309.9800000000005,1993.86,782,461,291,30,8669b7de-2a6e-42a1-a851-38e31e59a15a,OB - RFC : 2025-8-11,2025,Superliga
RFC,15,1260.7166666666667,118180.86,16124.630000000001,5666.65,1949.32,698,340,337,21,8669b7de-2a6e-42a1-a851-38e31e59a15a,OB - RFC : 2025-8-11,2025,Superliga
FCK,16,1148.0166666666667,121068.41,19390.68,6841.23,1762.7,782,442,308,32,2c471839-9401-4c21-b9e1-0360ff0efcfd,FCN - FCK : 2025-8-15,2025,Superliga
FCN,16,1089.3666666666666,112780.39,18346.97,6556.14,1645.82,743,378,335,30,2c471839-9401-4c21-b9e1-0360ff0efcfd,FCN - FCK : 2025-8-15,2025,Superliga
FRE,16,1091.1666666666667,121013.58,19061.77,5952.12,1486.21,670,308,329,33,a2b27713-45fd-4aef-9de0-ff623bd24402,FRE - SJE : 2025-8-15,2025,Superliga
SJE,16,1024.6833333333334,113450.01000000001,17586.34,5844.72,1874.8999999999999,700,390,272,38,a2b27713-45fd-4aef-9de0-ff623bd24402,FRE - SJE : 2025-8-15,2025,Superliga
FCM,15,1139.9333333333334,109438.74,15332.46,6480.68,2221.25,755,392,346,17,1b887e8a-cb2c-49b7-a4d3-36684e8365e3,VB - FCM : 2025-8-17,2025,Superliga
VB,16,1130.6833333333334,109968.24,17664.99,7138.58,2141.95,781,425,337,19,1b887e8a-cb2c-49b7-a4d3-36684e8365e3,VB - FCM : 2025-8-17,2025,Superliga
SIF,16,1120.3,117117.0,17524.239999999998,5788.12,1561.46,666,285,366,15,63767b11-0f31-4355-99a9-abe7a7970594,VFF - SIF : 2025-8-17,2025,Superliga
VFF,16,1120.2666666666667,118467.66,17403.08,7001.69,1899.82,799,527,253,19,63767b11-0f31-4355-99a9-abe7a7970594,VFF - SIF : 2025-8-17,2025,Superliga
