competition,season,team,ID,player_name,number,position,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,games
Superliga,2025,AGF,51705,Jesper Hansen,1,GK,4380.0744831711045,3206.428382045751,1022.0481173869041,126.443211164329,22.173460472027944,2.981773227188105,2.8202613898519466,0.5825094476684506,0.8406450903876816,1459.4263033967734,12.998963490654981,1.9625743475951012,1.6057794340103095,1264.8954947072518,3.480659948777321,0.43668943192455345,0.37383686545395567,17
Superliga,2025,AGF,60479,Henrik Dalsgaard,3,CB,9183.571414342687,2945.0511202154116,4367.392317194707,1387.7096062096066,382.5871013253025,100.83126939765965,44.56264102372963,14.890503877259297,9.878844907500833,3600.221607219723,269.6091837279406,79.83095319509114,32.442509505064145,2036.3563169473866,33.35291399703136,6.111163575215403,2.2412866111646625,13
Superliga,2025,AGF,60479,Henrik Dalsgaard,3,RCB,9313.192102748368,2956.5093883492077,4623.438043179789,1281.0987420397998,367.8324728142627,84.30957925833646,40.25978374498417,21.806835450719294,9.398952451863764,3549.704245342305,256.05893040593685,62.50349396276288,28.983901615819377,2066.32586452843,27.00768466310896,0.0,1.8769296773010307,13
Superliga,2025,AGF,85050,Patrick Mortensen,9,CF,9633.490319427041,3136.7973672220805,4501.228042283941,1405.836960218437,516.0223330724523,73.60647656275349,47.98203517454472,55.41533383535348,24.86818136894177,3680.8843298191655,241.65427918935887,17.149401900030643,22.23151992747168,2257.542664884233,10.747006700188127,1.0425467373066484,0.882333878131269,18
Superliga,2025,AGF,85050,Patrick Mortensen,9,LF,9452.335236118319,3049.482096523093,4389.169693824599,1414.237675142709,543.2506486766996,56.19512195121951,51.37519460300987,45.58380902957966,28.022833419823563,3747.390762843799,232.52413077322265,10.611312921639854,22.41826673585885,2136.488842760768,19.989621172807475,0.0,0.934094447327452,18
Superliga,2025,AGF,85050,Patrick Mortensen,9,ST,9970.819829424307,3265.6087420042645,4832.203624733475,1396.592750533049,433.2569296375267,43.15778251599147,43.17697228144989,28.698294243070364,21.108742004264393,4696.954157782517,192.74200426439234,14.46908315565032,21.108742004264393,1698.32302771855,13.135394456289978,0.0,0.9594882729211087,18
Superliga,2025,AGF,144301,Nicolai Poulsen,6,CDM,10456.78768823432,2772.2651001158365,5401.134866788019,1832.273705113354,420.5977163660434,30.516299851067348,35.74383584312427,0.0,4.467979480390534,4339.79314909813,360.5838159854377,30.516299851067348,30.38226046665563,2151.9844448121794,9.722323349329804,0.0,0.8935958960781069,16
Superliga,2025,AGF,144301,Nicolai Poulsen,6,LCM,9815.120870829174,2940.9090785872286,4760.720471219284,1680.066362439543,381.1344115041397,52.29464264211825,37.34020425423306,3.1325431815419837,7.29201267189688,3724.0709366610367,293.37170997040425,49.162099460576265,29.294106957283812,2585.124954491089,13.121212496369282,0.0,0.754084625052367,16
Superliga,2025,AGF,144301,Nicolai Poulsen,6,RCM,10671.965660649612,2892.1301367290266,5316.254387698012,1854.5956849814377,508.1742674168691,100.81196573313116,49.96161851357922,6.80583766133672,11.508483999923946,3972.868916790409,381.760832992986,94.00556040727652,37.76244851623681,2195.4566100864326,11.527980134496781,0.0,0.6906859974184626,16
Superliga,2025,AGF,221234,Frederik Tingager,5,CB,9168.102250877648,3337.2273139393633,4212.627533839145,1102.4344653649466,387.50620278993676,128.30583782262767,47.50994752890583,17.95528493201489,8.407410826046105,3460.5734341123634,282.6435040675867,108.87945644589323,37.46609774237333,2253.5430070212037,16.610442975523906,1.4693758962966736,1.6364389604863994,10
Superliga,2025,AGF,223096,Markus Solbakken,7,LCM,11157.32507739938,2703.6,5511.8117647058825,2145.5219814241486,703.5715170278638,92.81981424148609,60.18575851393189,43.94674922600619,22.291021671826627,4042.1758513931886,500.21052631578954,48.873065015479874,36.78018575851393,1822.0904024767804,11.858823529411765,0.0,1.1145510835913313,5
Superliga,2025,AGF,223096,Markus Solbakken,7,RCM,10906.489881126518,2726.5138716740566,5259.812375250623,2169.3588143583634,646.1024112572799,104.69925566974558,60.52907146150003,39.612052408746855,23.699011734622434,4425.499393870166,396.594796511977,64.56660463984521,35.59412920343532,2104.1031376550245,14.380617330825865,0.5175718849840255,1.2359305234422722,5
Superliga,2025,AGF,223096,Markus Solbakken,7,RDM,11795.81632653061,2499.9591836734694,6113.795918367347,2493.234693877551,635.4285714285714,53.397959183673464,57.14285714285714,1.1632653061224487,15.306122448979592,5432.673469387755,470.67346938775506,52.23469387755102,40.816326530612244,1534.1224489795918,8.346938775510203,0.0,1.0204081632653061,5
Superliga,2025,AGF,223813,Felix Beijmo,2,LCB,10292.169452258813,2805.3192123117656,4732.1532351481055,1814.3124276021842,773.2553367532682,167.12030448452757,77.7428429587953,88.14429918914446,36.637431739202384,4012.1025980473273,399.39268575210986,78.97600529538309,39.3182194274367,2363.4360417011417,44.7959622703955,0.0,1.7871917921562137,17
Superliga,2025,AGF,223813,Felix Beijmo,2,RCB,10386.3090129089,2866.1286266705224,4914.681019886784,1705.9249756194197,677.3955116128477,222.1800564960077,70.605572719599,98.30929325325093,25.52387118366137,4040.2413252787555,414.71446193161,121.5789788721163,43.90169682761483,2314.4093191974493,23.427778430203528,2.2947222953820807,1.1800047083228122,17
